Kategori,Fråga,Rätt svar,Fel svar 1,Fel svar 2,Fel svar 3
mode,Vem grundade modehuset Chanel?,Coco Chanel,Elsa Schiaparelli,Donatella Versace,Miuccia Prada
mode,Vilket land kommer designern Issey Miyake från?,Japan,Kina,Sydkorea,Thailand
mode,Vilket material används traditionellt i kashmirtröjor?,Getull,Alpacka,Siden,Bomull
mode,Vem anses ha populariserat den lilla svarta klänningen?,Coco Chanel,Valentino,Yves Saint Laurent,Christian Dior
mode,I vilken stad hålls Met Gala?,New York,Paris,London,Milano
mode,Vem var kreativ chef för Dior 1996–2011?,John Galliano,Alexander McQueen,Karl Lagerfeld,Raf Simons
mode,Vilket modehus är känt för sitt röda skosulor?,Christian Louboutin,Jimmy Choo,Manolo Blahnik,Prada
mode,Vem designade brudklänningen för prinsessan Diana?,David Emanuel,Hubert de Givenchy,Giorgio Armani,Oscar de la Renta
mode,Vilken modeskola är belägen i London och känd för sina stjärndesigner?,Central Saint Martins,Parsons,Royal Academy of Fine Arts,Polimoda
mode,Vem populariserade minikjolen på 1960-talet?,Mary Quant,Vivienne Westwood,Elsa Schiaparelli,Miuccia Prada
mode,Vem designade korsettdräkterna för Madonna på 1990-talet?,Jean Paul Gaultier,Thierry Mugler,Versace,Karl Lagerfeld
mode,Vilket modehus skapade parfymen No. 5?,Chanel,Dior,Lanvin,Yves Saint Laurent
mode,Vem grundade modehuset Balenciaga?,Cristóbal Balenciaga,Pierre Balmain,Giambattista Valli,Olivier Rousteing
mode,Från vilket land kommer märket Acne Studios?,Sverige,Norge,Danmark,Finnland
mode,Vilket modehus lanserade logotypen med dubbla G?,Gucci,Giorgio Armani,Givenchy,Chloé
mode,I vilken stad föddes Giorgio Armani?,Piacenza,Rom,Florens,Milano
mode,"Vem låg bakom ""New Look"" 1947?",Christian Dior,Hubert de Givenchy,Yves Saint Laurent,Balmain
mode,Vad heter det ikoniska brittiska rutmönstret?,Burberryrutan,Tartan,Houndstooth,Argyle
mode,"Vem gjorde väskan ""Baguette"" känd?",Fendi,Gucci,Louis Vuitton,Prada
mode,Vilken designer är känd för sina plisseringar?,Issey Miyake,Paco Rabanne,Karl Lagerfeld,Valentino
mode,Vem blev kreativ chef för Louis Vuitton 2018?,Virgil Abloh,Marc Jacobs,Olivier Rousteing,Demna Gvasalia
mode,Vad heter den italienska modeveckan?,Milano Fashion Week,Roma Alta Moda,Florens Pitti Uomo,Venezia Moda
mode,Vem är grundare av modehuset Prada?,Mario Prada,Miuccia Prada,Giorgio Armani,Giacomo Prada
mode,Vad var Yves Saint Laurent först med som kvinno-plagg?,Smoking,Skräddad rock,Minitunika,Basker
mode,Vad heter den ikoniska handväskan från Hermès uppkallad efter en prinsessa?,Kelly,Birkin,Jackie,Ophidia
