Kategori,Fråga,Rätt svar,Fel svar 1,Fel svar 2,Fel svar 3
sverige,Vad heter Sveriges huvudstad?,Stockholm,Göteborg,Malmö,Uppsala
sverige,Vilket år blev Sverige medlem i EU?,1995,1992,1998,2001
sverige,Vad heter Sveriges längsta flod?,Klarälven,Göta älv,Dalälven,Torneälv
sverige,Vilken svensk uppfinnare skapade dynamiten?,Alfred Nobel,Gustaf Dalén,Jonas Sima,Lars Magnus Ericsson
sverige,Vad heter Sveriges största sjö?,Vänern,Vättern,Mälaren,Storsjön
sverige,Vilket berg är högst i Sverige?,Kebnekaise,Sarektjåkkå,Sylarna,Åreskutan
sverige,Vad heter Sveriges nationalsång?,Du gamla du fria,Sverige älskade vänner,Hej tomtegubbar,Ack Värmeland
sverige,Vilket år blev Gustav Vasa kung av Sverige?,1523,1520,1527,1530
sverige,Vad heter den svenska valutan?,Krona,Euro,Mark,Öre
sverige,Vilken svensk författare skrev Pippi Långstrump?,Astrid Lindgren,Selma Lagerlöf,August Strindberg,Vilhelm Moberg
sverige,Vilket län har flest invånare?,Stockholms län,Västra Götalands län,Skåne län,Uppsala län
sverige,Vad heter Sveriges nationaldjur?,Älg,Björn,Varg,Järv
sverige,Vilket år infördes allmän rösträtt för kvinnor i Sverige?,1919,1921,1917,1924
sverige,Vad heter Sveriges äldsta universitet?,Uppsala universitet,Lunds universitet,Stockholms universitet,Göteborgs universitet
sverige,Vilken svensk tennis spelare vann Wimbledon fem gånger?,Björn Borg,Stefan Edberg,Mats Wilander,Robin Söderling
sverige,Vad heter Sveriges största ö?,Gotland,Öland,Orust,Hisingen
sverige,Vilket parti grundade Olof Palme?,Socialdemokraterna,Centerpartiet,Vänsterpartiet,Folkpartiet
sverige,Vad heter den svenska designmöbel kedjan?,IKEA,Lammhults,Källemo,Norrlands Möbler
sverige,Vilket år fick Sverige sin första kvinnliga statsminister?,1986,1982,1991,1994
sverige,Vad heter Sveriges nationaldag?,6 juni,Midsommar,Första maj,Lucia
sverige,Vilken svensk skådespelare vann Oscar för Casablanca?,Ingrid Bergman,Greta Garbo,Max von Sydow,Stellan Skarsgård
sverige,Vad heter Sveriges äldsta stad?,Sigtuna,Stockholm,Uppsala,Lund
sverige,Vilket svenskt företag tillverkar bilar i Göteborg?,Volvo,Saab,Scania,Koenigsegg
sverige,Vad heter den berömda svenska glassorten?,Piggelin,Magnum,Cornetto,Nogger
sverige,Vilket år gick Sverige med i NATO?,Sverige är inte medlem,1949,1995,2004
sverige,Vad heter Sveriges längsta tunnelbana?,Röda linjen,Blå linjen,Grön linjen,Gul linjen
sverige,Vad heter det svenska nobelpriset som delas ut i Oslo?,Fredspriset,Litteraturpriset,Fysikpriset,Kemi priset
sverige,Vilket år blev Sverige neutralt?,1814,1809,1721,1658
sverige,Vad heter Sveriges största hamn?,Göteborg,Stockholm,Malmö,Helsingborg
sverige,Vilken svensk ishockeyspelare kallas "Foppa"?,Peter Forsberg,Mats Sundin,Henrik Lundqvist,Daniel Sedin
sverige,Vad heter den svenska midsommartraditionen med stång?,Midsommarstång,Majstång,Blomsterstång,Festpole
sverige,Vilket svenskt prinsessa gifte sig med kronprins Daniel?,Victoria,Madeleine,Sofia,Silvia
sverige,Vad heter Sveriges största nationalpark?,Sarek,Padjelanta,Stora Sjöfallet,Abisko
sverige,Vilket år avskaffades dödsstraffet i Sverige?,1972,1965,1975,1980
sverige,Vad heter den svenska traditionsrätten på torsdagar?,Ärtsoppa och pannkakor,Köttbullar,Janssons frestelse,Pytt i panna
sverige,Vilken svensk filmregissör regisserade "Det sjunde inseglet"?,Ingmar Bergman,Bo Widerberg,Lukas Moodysson,Roy Andersson
sverige,Vad heter Sveriges största dagstidning?,Aftonbladet,Expressen,Dagens Nyheter,Svenska Dagbladet
sverige,Vilket år splittrades Sverige-Norge unionen?,1905,1814,1901,1918
sverige,Vad heter den svenska alkoholmonopol kedjan?,Systembolaget,Vin & Sprit,Alkoholmonopolet,Spritbutiken
sverige,Vilken svensk popgrupp hade hit med "The Final Countdown"?,Europe,ABBA,Roxette,Ace of Base
