Kategori,Fråga,Rätt svar,Fel svar 1,Fel svar 2,Fel svar 3
disney,Vilket år öppnade Disneyland i Kalifornien?,1955,1950,1960,1965
disney,"Vilket år släpptes ""Toy Story""?",1995,1994,1996,1997
disney,"Vad heter spöket i ""Spökhuset""?",999 spöken,Boo,Casper,Phantom
disney,Vilken Pixar-film handlar om en myra som vill vara hjälte?,A Bug's Life,Toy Story,Monsters Inc,Cars
disney,Vad heter den traditionella easter egget i alla Pixar-filmer?,A113,Pizza Planet Truck,Luxo Ball,Both A113 and others
disney,Vad heter Aladdins apa?,Abu,Jago,Pascal,Olaf
disney,"Vad heter den onde leksakssamlaren i ""Toy Story 2""?",Al McWhiggin,Stinky Pete,Zurg,Sid
disney,Vad heter karaktären som Al Pacino spelar?,Al Pacino spelar inte i Disney,Scarface,Tony Montana,Michael Corleone
disney,Vad heter kompositören bakom många klassiska Disney-låtar?,Alan Menken,Elton John,Phil Collins,Randy Newman
disney,"Vilket djur är Pepita i ""Coco""?",Alebrije,Hund,Katt,Papegoja
disney,"Vilket yrke har Génie i ""Aladdin""?",Ande i en lampa,Trollkarl,Alkemist,Magiker
disney,"Vad heter pojken i ""Toy Story""?",Andy,Sid,Molly,Buster
disney,"Vilket Disney-temapark har ""Expedition Everest""?",Animal Kingdom,Magic Kingdom,EPCOT,Hollywood Studios
disney,Vad heter djurparken på Walt Disney World?,Animal Kingdom,Animal Park,Safari Kingdom,Wild Kingdom
disney,"Vad heter Elsas syster i ""Frozen""?",Anna,Elsa har ingen syster,Ingrid,Emma
disney,Vilken prinsessa lever under havet?,Ariel,Moana,Elsa,Pocahontas
disney,Vilken prinsessa har en vän som heter Sebastian?,Ariel,Belle,Jasmine,Tiana
disney,Vilken prinsessa har en vän som heter Flounder?,Ariel,Belle,Jasmine,Tiana
disney,"Vilken prinsessa sjunger ""Part of Your World""?",Ariel,Belle,Jasmine,Tiana
disney,"Vad heter dinosaurien i ""The Good Dinosaur""?",Arlo,Spot,Buck,Ramsey
disney,Vad heter Sleeping Beautys riktiga namn?,Aurora,Belle,Cinderella,Ariel
disney,Vad heter prinsessan som prickar sig på en spinnrock?,Aurora,Belle,Cinderella,Ariel
disney,Vilken prinsessa väcker upp med en kyss?,Aurora,Belle,Cinderella,Ariel
disney,"Vad heter Mowglis pantervän i ""Djungelboken""?",Bagheera,Baloo,King Louie,Shere Khan
disney,"Vad heter Mowglis björnvän i ""Djungelboken""?",Baloo,Bagheera,King Louie,Shere Khan
disney,"Vad heter roboten i ""Big Hero 6""?",Baymax,Hiro,Tadashi,Fred
disney,"Vad heter roboten i ""Big Hero 6""?",Baymax,Hiro,Tadashi,Fred
disney,Vilken Disney-film hade flest Oscar-nomineringar?,Beauty and the Beast,Lion King,Little Mermaid,Aladdin
disney,Vilken prinsessa bor i ett slott med ett berömt bibliotek?,Belle,Ariel,Rapunzel,Tiana
disney,Vilken prinsessa blir kidnappad av Beast?,Belle,Aurora,Cinderella,Ariel
disney,Vilken prinsessa dansar med Beast?,Belle,Cinderella,Aurora,Ariel
disney,Vilken Pixar-film handlar om en superhero-team med en uppblåsbar robot?,Big Hero 6,The Incredibles,Monsters Inc,WALL-E
disney,"Vilket djur förvandlar sig Merida mamma till i ""Brave""?",Björn,Varg,Älg,Räv
disney,Vilken färg har Donald Ducks matrosdräkt?,Blå,Röd,Grön,Gul
disney,"Vilken färg har Sulley i ""Monsters Inc""?",Blå,Grön,Lila,Orange
disney,Vad heter CEO:n för Pixar efter Steve Jobs?,Bob Iger,John Lasseter,Pete Docter,Kevin Feige
disney,"Vad heter flickan i ""Monsters Inc""?",Boo,Sulley,Mike,Randall
disney,Vilken Pixar-film handlar om en princess som förvandlas till en björn?,Brave,Moana,Frozen,Tangled
disney,"Vad heter kompisen till Woody i ""Toy Story""?",Buzz Lightyear,Rex,Mr Potato Head,Slinky Dog
disney,"Vad heter skurken i ""Peter Pan""?",Captain Hook,Jafar,Maleficent,Scar
disney,Vilken Pixar-film utspelar sig i en värld där bilar är levande?,Cars,Planes,Trains,Boats
disney,"Vad heter tekoppen i ""Beauty and the Beast""?",Chip,Mrs Potts,Lumiere,Cogsworth
disney,Vilken prinsessa tappar sin sko?,Cinderella,Belle,Aurora,Ariel
disney,Vilket djur är Nemo?,Clownfisk,Gul tang,Blå tang,Angelfish
disney,Vilken Pixar-film handlar om Day of the Dead?,Coco,The Book of Life,Moana,Encanto
disney,"Vilken Pixar-film vann Oscar för bästa originallåt med ""Remember Me""?",Coco,Moana,Frozen,Beauty and the Beast
disney,"Vad heter klockan i ""Beauty and the Beast""?",Cogsworth,Lumiere,Mrs Potts,Chip
disney,Vilket Disney-hotell har monorail genom lobbyn?,Contemporary Resort,Grand Floridian,Polynesian,Wilderness Lodge
disney,"Vad heter skurken i ""101 dalmatiner""?",Cruella de Vil,Maleficent,Queen of Hearts,Lady Tremaine
disney,"Vad heter skurken i ""101 Dalmatians""?",Cruella de Vil,Maleficent,Evil Queen,Jafar
disney,Vad heter Donald Ducks flickvän?,Daisy Duck,Minnie Mouse,Clarabelle Cow,Petunia Pig
disney,"Vad heter fåret i ""Tangled""?",Det finns inget får,Pascal,Maximus,Flynn
disney,"Vad heter pianot i ""Beauty and the Beast""?",Det finns inget piano,Forte,Cadenza,Allegro
disney,Vad heter fadern till Beast?,Detta nämns inte,King,Lord,Duke
disney,Vad heter Aslans land i Narnia?,Detta är inte Disney,Aslan rike,Narnia,Magiska landet
disney,Vad heter Goofy ursprungliga namn?,Dippy Dawg,Silly Dog,Funny Pup,Goofy Goof
disney,Vad heter företaget innan det blev Walt Disney Company?,Disney Brothers Studio,Walt Disney Productions,Disney Entertainment,Disney Studios
disney,"Vilken Disney-park har ""Cars Land""?",Disney California Adventure,Magic Kingdom,EPCOT,Hollywood Studios
disney,"Vilket Disney-temapark har ""Guardians of the Galaxy""?",Disney California Adventure,Magic Kingdom,EPCOT,Hollywood Studios
disney,Vad heter TV-kanalen som Disney äger?,Disney Channel,Disney TV,Disney Network,Disney Broadcasting
disney,Vilket Disney-kryssningsfartyg har AquaDuck?,Disney Dream,Disney Magic,Disney Wonder,Disney Fantasy
disney,Vilket Disney-cruise ship var först?,Disney Magic,Disney Wonder,Disney Dream,Disney Fantasy
disney,Vad heter shoppingdistriktet på Walt Disney World?,Disney Springs,Downtown Disney,Disney Marketplace,Disney Village
disney,Vad heter Disneys andra temapark i Florida?,Disney World,Magic Kingdom,EPCOT,Hollywood Studios
disney,Vad heter Disneys strömningtjänst?,Disney+,Disney Stream,Disney Play,Disney Now
disney,Vad heter Pirates of the Caribbean-attraktionens första placering?,Disneyland,Disney World,Disneyland Paris,Tokyo Disneyland
disney,Vilket Disney-resort ligger i Paris?,Disneyland Paris,Euro Disney,Disney Paris,Magic Kingdom Paris
disney,"Vad heter fisken med minnesförlust i ""Finding Nemo""?",Dory,Marlin,Bruce,Crush
disney,"Vilket djur är Mushu i ""Mulan""?",Drake,Ödla,Orm,Kameleont
disney,"Vad heter katten i ""Aristocats""?",Duchess,Thomas O'Malley,Marie,Berlioz
disney,Vad heter Donald Ducks hemstad?,Duckburg,Mousetown,Quackville,Featherfield
disney,Vad heter Scrooge McDucks hemstad?,Duckburg,Mousetown,Quackville,Featherfield
disney,"Vad heter hunden i ""Up""?",Dug,Alpha,Beta,Gamma
disney,Vad heter den lilla elefanten med stora öron?,Dumbo,Jumbo,Bambo,Mumbo
disney,"Vad heter flyget i ""Planes""?",Dusty,Skipper,Chupacabra,Ripslinger
disney,"Vilken prinsessa sjunger ""Let It Go""?",Elsa,Anna,Ariel,Belle
disney,Vilken prinsessa har magiska krafter över naturen?,Elsa,Moana,Pocahontas,Rapunzel
disney,"Vad heter den magiska rosen i ""Beauty and the Beast""?",Enchanted Rose,Magic Rose,Cursed Rose,Fairy Rose
disney,Vad heter häxan som förvandlar Beast?,Enchantress,Maleficent,Evil Queen,Ursula
disney,Vilket Disney-temapark öppnade 1982?,EPCOT,Magic Kingdom,Hollywood Studios,Animal Kingdom
disney,"Vilket Disney-temapark har ""Test Track""?",EPCOT,Magic Kingdom,Hollywood Studios,Animal Kingdom
disney,"Vad heter robotflickan i ""WALL-E""?",EVE,WALL-E,AUTO,M-O
disney,"Vad heter häxan i ""Snövit""?",Evil Queen,Maleficent,Ursula,Jafar
disney,"Vad heter den gamla häxan i ""Snow White""?",Evil Queen,Old Hag,Witch,Crone
disney,"Vad heter den goda fen i ""Cinderella""?",Fairy Godmother,Blue Fairy,Flora,Fauna
disney,"Vilken Pixar-film är uppföljaren till ""Finding Nemo""?",Finding Dory,Finding Marlin,Finding Bruce,Finding Crush
disney,Vilken Pixar-film handlar om en fisk som letar efter sin son?,Finding Nemo,Finding Dory,A Bug's Life,Monsters Inc
disney,"Vilket djur är Flounder i ""Lilla sjöjungfrun""?",Fisk,Krabba,Sjöstjärna,Bläckfisk
disney,"Vilket djur är Dory i ""Hitta Nemo""?",Fisk,Sköldpadda,Haj,Krabba
disney,"Vad heter myran i ""A Bug's Life""?",Flik,Dot,Atta,Hopper
disney,"Vad heter de tre feer i ""Sleeping Beauty""?",Flora Fauna och Merryweather,Faith Hope och Charity,Rose Lily och Violet,Dawn Noon och Dusk
disney,Vilken Disney-film var först med att använda Technicolor?,Flowers and Trees,Snow White,Fantasia,Pinocchio
disney,"Vilket djur är Scuttle i ""The Little Mermaid""?",Fågel,Fisk,Krabba,Sjöstjärna
