Kategori,Fråga,Rätt svar,Fel svar 1,Fel svar 2,Fel svar 3
Star Wars,Vad heter Luke Skywalkers far?,Darth Vader,Obi-Wan,Yoda,Han Solo
Star Wars,Vilken planet kommer Chewbacca från?,Kashyyyk,Tatooine,Hoth,Endor
Star Wars,Vad heter den röda roboten i Star Wars?,C-3PO,R2-D2,BB-8,K-2SO
Star Wars,Vilken färg har Luke Skywalkers ljusvärja?,Grön,Blå,Röd,Lila
Star Wars,Vad heter den farliga planeten med två solar?,Tatooine,Hoth,Endor,Naboo
starwars,Vilket år hade den första Star Wars-filmen premiär?,1977,1980,1983,1975
starwars,Vem regisserade originalfilmen Star Wars: Episod IV – Ett nytt hopp?,George Lucas,Irvin Kershner,Richard Marquand,J.J. Abrams
starwars,Vad heter huvudkaraktären som är känd som ”The Chosen One”?,Anakin Skywalker,Luke Skywalker,Obi-Wan Kenobi,Han Solo
starwars,Vad är namnet på det lilla gröna mästare som tränar Luke Skywalker?,Yoda,KYLO Ren,Mace Windu,Ahsoka Tano
starwars,I vilken film introduceras karaktären Rey?,The Force Awakens,A New Hope,The Last Jedi,The Rise of Skywalker
starwars,Vad heter maskinen som används för att förstöra Dödsstjärnan i Episod IV?,X-wing,Falcon,AT-AT,TIE Fighter
starwars,Vem är skaparen av Star Wars-universumet?,George Lucas,Steven Spielberg,James Cameron,Christopher Nolan
starwars,Vad kallas det metalliska ämnet som används för att bygga Mandaloriansk rustning?,Beskar,Durasteel,Admantium,Carbonite
starwars,Vilken roll spelar skådespelaren Mark Hamill?,Luke Skywalker,Anakin Skywalker,Han Solo,Obi Wan Kenobi
starwars,Vad är döden och återuppståndelsen av Anakin Skywalker ofta en symbol för?,Balans i Kraften,Övergång till mörk sida,Hat och försoning,Slutet på Sith
starwars,I vilken serie får man följa Ahsoka Tano?,The Clone Wars,Rebels,Mandalorian,ROTS
starwars,Vad är namnet på Han Solos fartyg?,Millennium Falcon,X-wing,Slave I,TIE Advanced
starwars,Varifrån kommer karaktären Boba Fett?,Star Wars-originalfilmerna,The Mandalorian,Star Wars Rebels,Star Wars The Clone Wars
