Kategori,Fråga,Rätt svar,Fel svar 1,Fel svar 2,Fel svar 3
flaggor,Vilket land har en flagga med en röd cirkel på vit bakgrund?,Japan,Bangladesh,Palau,Monaco
flaggor,Vilket land har en flagga med en vit kors på röd bakgrund?,Schweiz,Danmark,Norge,England
flaggor,Vilket land har en flagga med tre horisontella ränder i blått-vitt-rött?,Nederländerna,Frankrike,Ryssland,Luxemburg
flaggor,Vilket land har en flagga med en lönn löv i mitten?,Kanada,USA,Australien,Nya Zeeland
flaggor,Vilket land har en flagga med en grön färg och en vit månskära och stjärna?,Pakistan,Turkiet,Algeriet,Saudiarabien
flaggor,Vilket land har en flagga med Union Jack i övre vänstra hörnet och stjärnor?,Australien,Nya Zeeland,Fiji,Cook Islands
flaggor,Vilket land har en flagga med en gul sol på blå bakgrund?,Kazakstan,Uruguay,Argentina,Filippinerna
flaggor,Vilket land har en flagga med fem horisontella ränder i rött och vitt?,USA,Malaysia,Liberia,Uruguay
flaggor,Vilket land har en flagga med ett träd i mitten?,Libanon,Cypern,Belize,Ekvatorialguinea
flaggor,Vilket land har en flagga som är helt grön?,Libyen,Saudiarabien,Bangladesh,Pakistan
flaggor,Vilket land har en flagga med ett dragehuvud?,Bhutan,Wales,Malta,Montenegro
flaggor,Vilket land har en flagga med en dubbel örn?,Albanien,Montenegro,Serbien,Ryssland
flaggor,Vilket land har en flagga med en svart örn på gul bakgrund?,Tyskland,Österrike,Moldavien,Rumänien
flaggor,Vilket land har en flagga med tre vertikala ränder i svart-gul-röd?,Belgien,Tyskland,Chad,Rumänien
flaggor,Vilket land har en flagga med en vit kors på blå bakgrund?,Skottland,Finland,Norge,Island
flaggor,Vilket land har en flagga med en röd kors på vit bakgrund?,England,Schweiz,Danmark,Norge
flaggor,Vilket land har en flagga med tre vertikala ränder i grön-vit-orange?,Irland,Italien,Ungern,Bulgarien
flaggor,Vilket land har en flagga med tre vertikala ränder i grön-vit-röd?,Italien,Ungern,Bulgarien,Iran
flaggor,Vilket land har en flagga med tre horisontella ränder i svart-röd-gul?,Tyskland,Belgien,Uganda,Angola
flaggor,Vilket land har en flagga med en gul stjärna på röd bakgrund?,Vietnam,Kina,Angola,Moçambique
flaggor,Vilket land har en flagga med fem stjärnor på röd bakgrund?,Kina,Vietnam,Angola,Turkiet
flaggor,Vilket land har en flagga med en månskära och stjärna på röd bakgrund?,Turkiet,Pakistan,Tunisien,Malaysia
flaggor,Vilket land har en flagga med tre horisontella ränder i vit-blå-röd?,Ryssland,Nederländerna,Frankrike,Luxemburg
flaggor,Vilket land har en flagga med en sol med ansikte?,Uruguay,Argentina,Filippinerna,Kazakstan
flaggor,Vilket land har en flagga med 50 stjärnor?,USA,Malaysia,Brasilien,Venezuela
flaggor,Vilket land har en flagga med en blå triangel på vänster sida?,Tjeckien,Slovakien,Filippinerna,Chile
flaggor,Vilket land har en flagga med en gul cirkel på grön bakgrund?,Brasilien,Australien,Jamaika,Senegal
flaggor,Vilket land har en flagga med tre horisontella ränder i gul-blå-röd?,Colombia,Venezuela,Ecuador,Rumänien
flaggor,Vilket land har en flagga med en vit månskära på grön bakgrund?,Pakistan,Turkiet,Algeriet,Bangladesh
flaggor,Vilket land har en flagga med tre vertikala ränder i blå-vit-blå?,Argentina,Uruguay,Israel,Guatemala
flaggor,Vilket land har en flagga med en röd fyrkant på vit bakgrund?,Monaco,Polen,Indonesien,Qatar
flaggor,Vilket land har en flagga med tre horisontella ränder i röd-vit-svart?,Egypten,Irak,Syrien,Yemen
flaggor,Vilket land har en flagga med en gul stjärna i blått hörn?,Brasilien,Kina,Vietnam,Angola
flaggor,Vilket land har en flagga med en orange färg?,Indien,Irland,Nederländerna,Cypern
flaggor,Vilket land har en flagga med en vit kors som når flaggans kanter?,Danmark,Norge,Island,Finland
flaggor,Vilket land har en flagga med tre horisontella ränder i grön-gul-röd?,Etiopien,Ghana,Litauen,Bolivia
flaggor,Vilket land har en flagga med en blå stjärna på vit bakgrund?,Israel,Somalia,Chile,Panama
flaggor,Vilket land har en flagga med två horisontella ränder i vit och röd?,Polen,Monaco,Indonesien,Peru
flaggor,Vilket land har en flagga med tre vertikala ränder i svart-röd-gul?,Tyskland,Belgien,Chad,Uganda
flaggor,Vilket land har en flagga med en gul sol med strålar?,Argentina,Uruguay,Makedonien,Kiribati
flaggor,Vilket land har en flagga med en karmosinröd bakgrund?,Qatar,Bahrain,Nepal,Schweiz
flaggor,Vilket land har en flagga med en grön diamant på gul bakgrund?,Brasilien,Australien,Jamaica,Tanzania
flaggor,Vilket land har en flagga med tre horisontella ränder i blå-svart-vit?,Estland,Lettland,Litauen,Finland
flaggor,Vilket land har en flagga med en vit bakgrund och röd cirkel?,Japan,Bangladesh,Palau,Sydkorea
flaggor,Vilket land har en flagga med tre vertikala ränder i blå-vit-röd?,Frankrike,Nederländerna,Ryssland,Luxemburg
flaggor,Vilket land har en flagga med en gul kors på blå bakgrund?,Sverige,Norge,Danmark,Finland
flaggor,Vilket land har en flagga med fem horisontella ränder i blå och vit?,Uruguay,Grekland,Argentina,Israel
flaggor,Vilket land har en flagga med en svart triangel på vänster sida?,Saint Lucia,Bahamas,Barbados,Jamaica
flaggor,Vilket land har en flagga med tre horisontella ränder i röd-gul-grön?,Litauen,Bolivia,Ghana,Etiopien
flaggor,Vilket land har en flagga med en gul triangel på blå bakgrund?,Bosnien och Hercegovina,Ukraina,Palau,Saint Lucia
flaggor,Vilket land har en flagga med två horisontella ränder i blå och gul?,Ukraina,Sverige,Palau,Kazakhstan
flaggor,Vilket land har en flagga med tre horisontella ränder i grön-vit-grön?,Nigeria,Pakistan,Saudiarabien,Algeriet
flaggor,Vilket land har en flagga med en röd bakgrund och gul stjärna?,Vietnam,Kina,Angola,Montenegro
flaggor,Vilket land har en flagga med en vit månskära och stjärna på röd bakgrund?,Turkiet,Tunisien,Pakistan,Malaysia
flaggor,Vilket land har en flagga med fyra horisontella ränder i röd-gul-grön-svart?,Tyskland,Ghana,Etiopien,Uganda
flaggor,Vilket land har en flagga med en blå bakgrund och gul kors?,Sverige,Norge,Finland,Danmark
flaggor,Vilket land har en flagga med tre horisontella ränder i vit-röd-vit?,Österrike,Polen,Lettland,Peru
flaggor,Vilket land har en flagga med en grön stjärna på röd bakgrund?,Marocko,Tunisien,Algeriet,Turkiet
flaggor,Vilket land har en flagga med en gul sol på röd bakgrund?,Makedonien,Kirgizistan,Vietnam,Kina
flaggor,Vilket land har en flagga med tre vertikala ränder i grön-gul-röd?,Mali,Senegal,Guinea,Kamerun
flaggor,Vilket land har en flagga med en svart bakgrund och röd-gul element?,Angola,Tyskland,Uganda,Papua Nya Guinea
flaggor,Vilket land har en flagga med tre horisontella ränder i röd-vit-blå?,Nederländerna,Luxemburg,Paraguay,Kroatien
flaggor,Vilket land har en flagga med en orange bakgrund och blå triangel?,Bhutan,Nepal,Indien,Sri Lanka
flaggor,Vilket land har en flagga med tre horisontella ränder i gul-grön-röd?,Litauen,Bolivia,Ghana,Etiopien
flaggor,Vilket land har en flagga med en blå fyrkant med stjärnor?,USA,Brasilien,Australien,Nya Zeeland
flaggor,Vilket land har en flagga med tre vertikala ränder i röd-vit-grön?,Ungern,Italien,Iran,Bulgarien
flaggor,Vilket land har en flagga med en vit bakgrund och blå kors?,Finland,Norge,Island,Danmark
flaggor,Vilket land har en flagga med fem horisontella ränder i grön-vit-röd-vit-grön?,Detta finns inte,Nigeria,Iran,Ungern
flaggor,Vilket land har en flagga med tre horisontella ränder i svart-vit-grön?,Detta finns inte,Estland,Egypten,Irak
flaggor,Vilket land har en flagga med en röd triangel på vänster sida?,Detta finns inte,Tjeckien,Bahrain,Nepal
flaggor,Vilket land har en flagga med tre horisontella ränder i lila-gul-röd?,Detta finns inte,Spanien,Colombia,Andorra
flaggor,Vilket land har en flagga med en rosa bakgrund?,Detta finns inte,Qatar,Bahrain,Nepal
flaggor,Vilket land har en flagga med sex horisontella ränder?,Detta finns inte,Uruguay,Grekland,Malaysia
flaggor,Vilket land har en flagga med en brun färg?,Detta finns inte,Qatar,Bahrain,Nepal
flaggor,Vilket land har en flagga med tre cirklar?,Detta finns inte,Laos,Myanmar,Palau
flaggor,Vilket land har en flagga med fyra stjärnor i en romb?,Brasilien,Australien,Nya Zeeland,Cook Islands
flaggor,Vilket land har en flagga med tre horisontella ränder i blå-röd-grön?,Detta finns inte,Azerbajdzjan,Armenien,Georgien
