Kategori,Fråga,Rätt svar,Fel svar 1,Fel svar 2,Fel svar 3
dans,Vilken dansstil kommer från Argentina?,Tango,Salsa,Rumba,Cha-cha
dans,Vad heter den franska balettposition där fötterna vänds utåt?,En dehors,En dedans,Arabesque,Plié
dans,Vilket land är hip-hopens födelseland?,USA,Storbritannien,Jamaica,Kanada
dans,Vad kallas den irländska folkdansen som gjorts känd av Riverdance?,Irish step dance,Ceili,Sean-nós,Reel
dans,Vilken dansstil utvecklades i New York på 1970-talet?,Breakdance,Jazz,Tap,Contemporary
dans,Vad heter den position i balett där ena benet lyfts bakåt?,Arabesque,Attitude,Grand battement,Développé
dans,Vilket land kommer flamenco från?,Spanien,Portugal,Italien,Mexiko
dans,Vad kallas den kubanska dans som är föregångare till salsa?,Son,Mambo,Rumba,Cha-cha
dans,Vilken dansstil är känd för sina snabba fotarbeten och klackljud?,Tap dance,Jazz,Ballet,Hip-hop
dans,Vad heter den ryska balettskola som är mest känd?,Vaganova,Cecchetti,Royal Academy,Bournonville
dans,Vilket land kommer capoeira från?,Brasilien,Colombia,Venezuela,Peru
dans,Vad kallas den position i balett där man står på tå?,En pointe,Demi-pointe,Relevé,Échappé
dans,Vilken dansstil utvecklades på Jamaica?,Dancehall,Reggae dance,Ska,Calypso
dans,Vad heter den italienska folkdans som dansas i par?,Tarantella,Polka,Mazurka,Galop
dans,Vilket kompani grundade George Balanchine?,New York City Ballet,American Ballet Theatre,Royal Ballet,Bolshoi Ballet
dans,Vad kallas den spanska dans med kastanjetter?,Flamenco,Fandango,Bolero,Seguidilla
dans,Vilken dansstil kom från African American-kulturen i Harlem?,Lindy Hop,Charleston,Jitterbug,Swing
dans,Vad heter den position där båda benen lyfts högt?,Grand écart,Split,Grand battement,Extension
dans,Vilket land kommer belly dance från?,Mellanöstern,Indien,Turkiet,Grekland
dans,Vad kallas den snabba spinnande rörelsen i balett?,Pirouette,Tour jeté,Chainé,Fouetté
dans,Vilken dansstil dansas till reggae-musik?,Dancehall,Hip-hop,Afrobeat,Soca
