Kategori,Fråga,Rätt svar,Fel svar 1,Fel svar 2,Fel svar 3
kungligheter,Vad heter Sveriges nuvarande kung?,Carl XVI Gustaf,Gustav VI Adolf,Oscar II,Gustaf V
kungligheter,Vilket år blev Elizabeth II drottning av Storbritannien?,1952,1953,1951,1950
kungligheter,Vad heter Danmarks nuvarande drottning?,Margrethe II,Margareta I,Ingrid,Alexandra
kungligheter,Vilken kunglig residens ligger i London?,Buckingham Palace,Windsor Castle,Kensington Palace,Hampton Court
kungligheter,Vad heter Norges nuvarande kung?,Harald V,Olav V,Haakon VII,Magnus VII
kungligheter,Vilket land styrdes av tsarer innan revolutionen 1917?,Ryssland,Polen,Ungern,Österrike
kungligheter,Vad heter Spaniens nuvarande kung?,Felipe VI,Juan Carlos I,Alfonso XIII,Carlos IV
kungligheter,Vilken fransk kung blev avrättad under franska revolutionen?,Ludvig XVI,Ludvig XIV,Ludvig XV,Ludvig XVIII
kungligheter,Vad heter Japans nuvarande kejsare?,Naruhito,Akihito,Hirohito,Meiji
kungligheter,Vilket land har aldrig haft kvinnlig monark?,Saudiarabien,Storbritannien,Danmark,Sverige
kungligheter,Vad heter Nederländernas nuvarande kung?,Willem-Alexander,Beatrix,Juliana,Wilhelmina
kungligheter,Vilken engelsk kung hade sex fruar?,Henrik VIII,Henrik VII,Henrik VI,Henrik V
kungligheter,Vad heter Belgiens nuvarande kung?,Philippe,Albert II,Baudouin,Leopold III
kungligheter,Vilket år abdikerade kung Edward VIII i Storbritannien?,1936,1935,1937,1938
kungligheter,Vad heter Thailands kungliga dynasti?,Chakri,Ayutthaya,Sukhothai,Rattanakosin
kungligheter,Vilken tysk kejsare abdikerade 1918?,Wilhelm II,Wilhelm I,Friedrich III,Otto I
kungligheter,Vad heter Luxemburgs nuvarande storhertig?,Henri,Jean,Charlotte,Adolphe
kungligheter,Vilket land hade Napoleons familj som kejsare?,Frankrike,Italien,Spanien,Polen
kungligheter,Vad heter Monacos nuvarande furste?,Albert II,Rainier III,Louis II,Honoré V
kungligheter,Vilken rysk tsarinna var känd för sina många reformer?,Katarina II,Anna I,Elizabeth I,Katarina I
kungligheter,Vad heter Liechteinsteins nuvarande furste?,Hans-Adam II,Franz Joseph II,Johann II,Alois
kungligheter,Vilket land styrdes av Habsburg-dynastin i flera århundraden?,Österrike,Ungern,Tjeckien,Polen
kungligheter,Vad heter Jordaniens nuvarande kung?,Abdullah II,Hussein,Talal,Faisal
kungligheter,Vilken brittisk drottning regerade längst i historien?,Elizabeth II,Victoria,Elizabeth I,Mary I
kungligheter,Vad heter Marockos nuvarande kung?,Mohammed VI,Hassan II,Mohammed V,Hassan I
kungligheter,Vilket år blev Sverige republik?,Sverige är fortfarande monarki,1809,1917,1946
kungligheter,Vad heter Bhutans nuvarande kung?,Jigme Khesar,Jigme Singye,Ugyen,Jigme Dorji
kungligheter,Vilken fransk kung kallades Solkungen?,Ludvig XIV,Ludvig XIII,Ludvig XV,Ludvig XVI
kungligheter,Vad heter Tongas nuvarande kung?,Tupou VI,Tupou V,Tupou IV,George I
kungligheter,Vilket land hade den siste kejsaren Haile Selassie?,Etiopien,Sudan,Egypten,Marocko
kungligheter,Vad heter Kambodjas nuvarande kung?,Norodom Sihamoni,Norodom Sihanouk,Norodom Suramarit,Sisowath
kungligheter,Vilken italiensk kunglighet abdikerade 1946?,Viktor Emanuel III,Umberto II,Emanuel II,Humbert I
kungligheter,Vad heter Lesothos nuvarande kung?,Letsie III,Moshoeshoe II,Moshoeshoe I,Lerotholi
kungligheter,Vilket land styrdes av Romanov-dynastin?,Ryssland,Polen,Finland,Estland
kungligheter,Vad heter Swazilands nuvarande kung?,Mswati III,Sobhuza II,Mbandzeni,Dlamini IV
kungligheter,Vilken kung av Frankrike kallades för järnmasken?,Ingen känd kung,Ludvig XIV,Ludvig XIII,Ludvig XI
kungligheter,Vad heter Malaysias nuvarande yang di-pertuan agong?,Sultan Abdullah,Sultan Mizan,Tuanku Abdul Halim,Raja Nazrin
kungligheter,Vilket land hade den berömda drottningen Nefertiti?,Egypten,Assyrien,Babylonien,Persien
kungligheter,Vad heter Bruneis nuvarande sultan?,Hassanal Bolkiah,Omar Ali,Sharif Ali,Abdul Majid
kungligheter,Vilken kung av England dog i slaget vid Hastings 1066?,Harold II,Edward,William,Alfred
kungligheter,Vad heter Omans nuvarande sultan?,Haitham bin Tariq,Qaboos bin Said,Said bin Taimur,Taimur bin Feisal
kungligheter,Vem blev Sveriges första kung av Vasaätten 1523?,Gustav Vasa,Erik XIV,Karl IX,Johan III
kungligheter,Vem var Gustav Vasas son som blev Sveriges kung 1560?,Erik XIV,Johan III,Sigismund,Karl IX
kungligheter,Vem var Sveriges kung under stormaktstiden vid slaget vid Narva 1700?,Karl XII,Gustav II Adolf,Karl XI,Erik XIV
kungligheter,Vad hette drottning som var känd för att abdikera 1654?,Kristina,Caterina,Ulrika Eleonora,Sofia Magdalena
kungligheter,Vem var Sveriges kung under trettioåriga kriget?,Gustav II Adolf,Erik XIV,Karl IX,Johan III
kungligheter,Hur många barn fick Gustav Vasa?,8,10,12,6
kungligheter,Vem var Sveriges kung när unionen med Norge upplöstes 1905?,Oscar II,Karl XV,Gustav V,Karl XIV Johan
kungligheter,Vem var Sveriges kung under andra världskriget?,Gustav V,Carl XVI Gustaf,Oscar II,Gustav VI Adolf
kungligheter,Vem är Sveriges nuvarande kung (2025)?,Carl XVI Gustaf,Carl-Philip,Oscar II,Viktor III
kungligheter,Vem är Sveriges kronprinsessa idag?,Victoria,Madeleine,Sofia,Christina
kungligheter,Vad heter kronprinsessan Victorias make?,Daniel,Oscar,Carl Philip,Erik
kungligheter,Vem är äldst av prinsessan Madeleine och prins Carl Philip?,Carl Philip,Madeleine,Victoria,Sofia
kungligheter,Vem var Sveriges kung när Finland förlorades till Ryssland 1809?,Gustav IV Adolf,Karl XIII,Gustav III,Oskar I
kungligheter,Vem grundade Bernadotte-ätten i Sverige?,Karl XIV Johan,Gustav IV Adolf,Oscar I,Jean-Baptiste Grénier
kungligheter,Hur många år har Carl XVI Gustaf regerat 2025?,52,48,50,54
kungligheter,Vem var drottning Silvia innan sitt äktenskap?,Silvia Sommerlath,Sanna Nielsen,Sofia Hellqvist,Susanne Gyllenhammar
kungligheter,Vem är prinsessan Estelles far?,Prins Daniel,Carl XVI Gustaf,Carl Philip,Oscar Bernadotte
kungligheter,Vad heter prins Carl Philips hustru?,Prinsessan Sofia,Madeleine,Christina,Victoria
kungligheter,Vem var kung vid slaget vid Lützen 1632?,Gustav II Adolf,Karl X Gustav,Karl XII,Karl IX
kungligheter,Vem var kung före Gustav Vasa?,Kristina Gyllenstierna (riksföreståndare),Sten Sture d.y,Kristian II,Erik Trolle
kungligheter,Vem är Sveriges kronprinsessa Victorias förstfödda barn?,Estelle,Oscar,Madeleine,Leonore
kungligheter,Hur många döttrar har kungen Carl XVI Gustaf?,2,3,1,4
kungligheter,Vad heter Carl XVI Gustafs son?,Carl Philip,Oscar,Viktor,Olof
kungligheter,Vem var Sveriges sista drottning som regerade själv?,Kristina,Ulrika Eleonora,Filippa av England,Blanka av Namur
kungligheter,Vem mördades vid en maskeradbal i Stockholm 1792?,Gustav III,Karl XIII,Erik XIV,Karl XI
kungligheter,Vad hette Erik XIV:s berömda maka?,Karin Månsdotter,Kristina,Gunilla Bielke,Sigrid Sture
kungligheter,Vem var Sveriges kung under Kalmarunionens slutskede?,Kristian II,Hans,Karl Knutsson Bonde,Erik av Pommern
kungligheter,Vem var Gustav II Adolfs dotter?,Kristina,Ulrika Eleonora,Anna Vasa,Sofia Magdalena
kungligheter,Hur gammal var Carl XVI Gustaf när han blev kung 1973?,27,25,28,30
kungligheter,Vad kallades Karl XIV Johan innan han blev kung?,Jean Baptiste Bernadotte,Jean d’Hauteville,Charles Napoleon,Jacques le Rouge
kungligheter,Vem var Gustav Vasas första hustru?,Katarina av Sachsen-Lauenburg,Margareta Leijonhufvud,Catarina Stenbock,Anna Vasa
kungligheter,Vilken kung kallades "Solen i kungliga salen" p.g.a. sin prakt?,Erik XIV,Gustav III,Karl XI,Karl XV
kungligheter,Vem var Sveriges kung under slaget vid Poltava 1709?,Karl XII,Karl XI,Gustav II Adolf,Karl IX
kungligheter,Vilken kung kallades ”Teaterkungen”?,Gustav III,Erik XIV,Karl XII,Oscar II
kungligheter,Vem var den första svenska kvinnan att bli officiellt kronprinsessa?,Margareta Leijonhufvud,Karin Månsdotter,Victoria,Silvia
kungligheter,Vem var Oscar II:s far?,Oscar I,Gustav IV Adolf,Karl XIV Johan,Gustav III
kungligheter,Vad hette drottningen som införde nobelbanketten i Rikssalen?,Silvia,Victoria,Kristina,Desirée Clary
kungligheter,Vem var kungen när Sverige fick sin nuvarande regeringsform 1974?,Carl XVI Gustaf,Gustav VI Adolf,Gustav V,Karl XV
kungligheter,Vem är yngst av Carl XVI Gustafs barn?,Madeleine,Victoria,Carl Philip,Sofia
kungligheter,Hur många barnbarn har kungen Carl XVI Gustaf (2025)?,8,5,7,9
kungligheter,Vem var mor till Gustav IV Adolf?,Sofia Magdalena,Hedvig Eleonora,Kristina,Desideria
kungligheter,Vem var kung när stormaktssverige gick under 1721?,Fredrik I,Ulrika Eleonora,Karl XI,Karl XII
kungligheter,Vem var kronprins när Karl XIV Johan kom till Sverige?,Karl XIII,Gustav IV Adolf,Oscar I,Fredrik I
kungligheter,Vem var Sveriges regent som initierade Stockholms blodbad 1520?,Kristian II,Sten Sture,Gustav Vasa,Karl Knutsson
kungligheter,Vem var Sveriges kronprins före Carl XVI Gustaf?,Carl Gustaf (arvprins) dog 1947,Gustav Adolf,Oscar,Fredrik
kungligheter,Vem var första Bernadotten som föddes i Sverige?,Oscar I,Carl XIV Johan,Oscar II,Gustav V
kungligheter,Vem var kronprinsessan Victorias gudmor?,Drottning Margrethe II,Hedvig Eleonora,Silvia Bernadotte,Christina
kungligheter,Vem var Sveriges kung när riksdagen flyttades permanent till Stockholm?,Magnus Eriksson,Gustav Vasa,Karl XI,Gustav III
