Kategori,Fråga,Rätt svar,Fel svar 1,Fel svar 2,Fel svar 3
spanska_ord,Vad betyder det spanska ordet "casa"?,Hus,Bil,Katt,Hund
spanska_ord,Vad betyder det spanska ordet "agua"?,Vatten,Eld,Luft,Jord
spanska_ord,Vad betyder det spanska ordet "perro"?,Hund,Katt,Fågel,Fisk
spanska_ord,Vad betyder det spanska ordet "gato"?,Katt,Hund,Häst,Ko
spanska_ord,Vad betyder det spanska ordet "rojo"?,Röd,Blå,Grön,Gul
spanska_ord,Vad betyder det spanska ordet "azul"?,Blå,Röd,Grön,Gul
spanska_ord,Vad betyder det spanska ordet "verde"?,Grön,Röd,Blå,Gul
spanska_ord,Vad betyder det spanska ordet "amarillo"?,Gul,Röd,Blå,Grön
spanska_ord,Vad betyder det spanska ordet "negro"?,Svart,Vit,Grå,Brun
spanska_ord,Vad betyder det spanska ordet "blanco"?,Vit,Svart,Grå,Brun
spanska_ord,Vad betyder det spanska ordet "libro"?,Bok,Penn,Papper,Stol
spanska_ord,Vad betyder det spanska ordet "mesa"?,Bord,Stol,Säng,Soffa
spanska_ord,Vad betyder det spanska ordet "silla"?,Stol,Bord,Säng,Soffa
spanska_ord,Vad betyder det spanska ordet "ventana"?,Fönster,Dörr,Vägg,Tak
spanska_ord,Vad betyder det spanska ordet "puerta"?,Dörr,Fönster,Vägg,Tak
spanska_ord,Vad betyder det spanska ordet "coche"?,Bil,Cykel,Buss,Tåg
spanska_ord,Vad betyder det spanska ordet "bicicleta"?,Cykel,Bil,Buss,Tåg
spanska_ord,Vad betyder det spanska ordet "avión"?,Flygplan,Bil,Båt,Tåg
spanska_ord,Vad betyder det spanska ordet "barco"?,Båt,Bil,Flygplan,Tåg
spanska_ord,Vad betyder det spanska ordet "tren"?,Tåg,Bil,Flygplan,Båt
spanska_ord,Vad betyder det spanska ordet "comida"?,Mat,Dryck,Tallrik,Gaffel
spanska_ord,Vad betyder det spanska ordet "bebida"?,Dryck,Mat,Tallrik,Gaffel
spanska_ord,Vad betyder det spanska ordet "pan"?,Bröd,Mjölk,Ägg,Ost
spanska_ord,Vad betyder det spanska ordet "leche"?,Mjölk,Bröd,Ägg,Ost
spanska_ord,Vad betyder det spanska ordet "huevo"?,Ägg,Mjölk,Bröd,Ost
spanska_ord,Vad betyder det spanska ordet "queso"?,Ost,Mjölk,Bröd,Ägg
spanska_ord,Vad betyder det spanska ordet "carne"?,Kött,Fisk,Kyckling,Gris
spanska_ord,Vad betyder det spanska ordet "pescado"?,Fisk,Kött,Kyckling,Gris
spanska_ord,Vad betyder det spanska ordet "pollo"?,Kyckling,Kött,Fisk,Gris
spanska_ord,Vad betyder det spanska ordet "cerdo"?,Gris,Kött,Fisk,Kyckling
spanska_ord,Vad betyder det spanska ordet "fruta"?,Frukt,Grönsak,Bär,Nöt
spanska_ord,Vad betyder det spanska ordet "verdura"?,Grönsak,Frukt,Bär,Nöt
spanska_ord,Vad betyder det spanska ordet "manzana"?,Äpple,Apelsin,Banan,Päron
spanska_ord,Vad betyder det spanska ordet "naranja"?,Apelsin,Äpple,Banan,Päron
spanska_ord,Vad betyder det spanska ordet "plátano"?,Banan,Äpple,Apelsin,Päron
spanska_ord,Vad betyder det spanska ordet "pera"?,Päron,Äpple,Apelsin,Banan
spanska_ord,Vad betyder det spanska ordet "tomate"?,Tomat,Gurka,Morot,Lök
spanska_ord,Vad betyder det spanska ordet "pepino"?,Gurka,Tomat,Morot,Lök
spanska_ord,Vad betyder det spanska ordet "zanahoria"?,Morot,Tomat,Gurka,Lök
spanska_ord,Vad betyder det spanska ordet "cebolla"?,Lök,Tomat,Gurka,Morot
spanska_ord,Vad betyder det spanska ordet "patata"?,Potatis,Ris,Pasta,Bröd
spanska_ord,Vad betyder det spanska ordet "arroz"?,Ris,Potatis,Pasta,Bröd
spanska_ord,Vad betyder det spanska ordet "ensalada"?,Sallad,Soppa,Pizza,Hamburgare
spanska_ord,Vad betyder det spanska ordet "zumo"?,Juice,Kaffe,Te,Vatten
spanska_ord,Vad betyder det spanska ordet "vino"?,Vin,Öl,Vatten,Juice
spanska_ord,Vad betyder det spanska ordet "cerveza"?,Öl,Vin,Vatten,Juice
spanska_ord,Vad betyder det spanska ordet "familia"?,Familj,Vän,Granne,Kollega
spanska_ord,Vad betyder det spanska ordet "padre"?,Far/Pappa,Mor/Mamma,Bror,Syster
