Kategori,Fråga,Rätt svar,Fel svar 1,Fel svar 2,Fel svar 3
Liverpool,Hur många gånger har Liverpool vunnit Champions League?,6,4,7,3
Liverpool,Vilken tröjnummer bar Kenny Dalglish?,7,8,9,10
Liverpool,Hur många FA-cuptitlar har Liverpool?,8,5,7,10
Liverpool,Vilken tröjnummer används oftast av Liverpools mittfältare?,8,6,10,7
Liverpool,Hur många hemmamatcher vinner Liverpool i snitt?,25,18,22,28
Liverpool,Hur många mål gjorde Steven Gerrard i sin Liverpool-karriär?,186,150,210,178
Liverpool,Hur många mål gjorde Ian Rush för Liverpool?,346,320,231,392
Liverpool,Vilket år grundades Liverpool FC?,1892,1888,1901,1910
Liverpool,När spelade Liverpool sin första match?,1892,1888,1900,1895
Liverpool,Vilket år vann Liverpool sin första ligatitel?,1901,1898,1905,1910
Liverpool,Vilket år byggdes The Kop?,1906,1890,1910,1920
Liverpool,Vilket år vann Liverpool sin första Champions League?,1977,1978,1981,1984
Liverpool,Vilket år vann Liverpool sin första Europacup?,1977,1978,1980,1981
Liverpool,Vilket år firade Liverpool sitt 100-årsjubileum?,1992,1987,2000,1998
Liverpool,Vilket år tog Steven Gerrard över som kapten?,2003,2001,2005,2007
Liverpool,Vilket år vann Liverpool Premier League första gången?,2020,2019,2021,2018
Liverpool,Hur många miljarder var värvningen av Virgil van Dijk?,75 miljoner euro,50 miljoner euro,60 miljoner euro,80 miljoner euro
Liverpool,Vem var Liverpools kapten under ligasäsongen 1987-88?,Alan Hansen,Kenny Dalglish,Emlyn Hughes,Phil Neal
Liverpool,Vem ersatte Phillipe Coutinho under säsongen 2017-18?,Alex Oxlade-Chamberlain,André Wisdom,Divock Origi,Marko Grujic
Liverpool,Vem var målvakt i CL-finalen 2019?,Alisson Becker,Simon Mignolet,Loris Karius,Pepe Reina
Liverpool,Vem var Liverpools målvakt 2020?,Alisson Becker,Simon Mignolet,Pepe Reina,Loris Karius
