Kategori,Fråga,Rätt svar,Fel svar 1,Fel svar 2,Fel svar 3
Språk,Vilket språk talas av flest människor i världen?,Mandarin kinesiska,Engelska,Spanska,Hindi
Språk,Vilket språk har flest ord?,Engelska,Spanska,Franska,Tyska
Språk,Vilket språk skrivs från höger till vänster?,Arabiska,Hebreiska,Persiska,Urdu
Språk,Vilket språk har flest grammatiska kasus?,Ungerska,Finska,Estniska,Lettiska
Språk,Vilket språk har längst ord?,Finska,Tyska,Holländska,Isländska
Språk,Vilket språk talas i flest länder?,Engelska,Spanska,Franska,Arabiska
Språk,Vilket språk har flest dialekter?,Kinesiska,Arabiska,Engelska,Spanska
Språk,Vilket språk har flest ljud?,Tswana,Xhosa,Zulu,Khmer
Språk,Vilket språk har flest vokaler?,Hawaiiska,Tagalog,Maori,Samoanska
Språk,Vilket språk har flest konsonanter?,Ubykhiska,Georgiska,Abchaziska,Adygeiska
sprak,Vad heter det språk som talas i Brasilien,Portugisiska,Spanska,Franska,Italienska
sprak,Vilket språk räknas som det mest talade modersmålet i världen,Kinesiska,Engelska,Spanska,Hindi
sprak,Vad betyder ordet ”lingvistik”,Läran om språk,Läran om ljud,Läran om skrift,Läran om kultur
sprak,Vilket alfabet används i ryska språket,Cyrilliska,Latinska,Grekiska,Hebreiska
sprak,Vad heter det språk som talas i Mexiko,Spanska,Portugisiska,Franska,Italienska
sprak,Vad är skillnaden mellan ett språk och en dialekt,Politiskt beslut och ömsesidig förståelighet,Antal vissa ord,Användning av olika alfabet,Skillnad i språkljud
sprak,Vilket språk har flest officiella talare inom Europeiska unionen,Engelska,Tyska,Franska,Italienska
sprak,Vad kallas det minsta språkethetet i språkvärlden,Fonem,Morfem,Syntag,Lexem
sprak,Vad är typiskt för ett tonspråk,Tonförändringar ändrar betydelsen,Tonal musik,Uttalade vokaler,Specifika grammatikregler
sprak,Vilket språk anses vara det äldsta som fortfarande talas idag,Hebreiska,Latinska,Sanskrit,Grekiska
sprak,Vad kallas den skrift som används i japanska språket?,Kana och Kanji,Cyrilliska,Latinska,Devanagari
sprak,Vilket språk har flest lånord från latin,Engelska,Spanska,Tyska,Ryska
sprak,Vad kallas språkstudien som handlar om språkets struktur och grammatiska regler,Syntax,Semantik,Fonetik,Pragmatik
sprak,Vad är skillnaden mellan semantik och pragmatik,Semantik handlar om ordens betydelse och pragmatik om användning av språk i kontext,Semantik om ljud Pragmatik om mening,Semantik om kultur Pragmatik om grammatik,Semantik om ordformer Pragmatik om stavning
sprak,Vilket språk skrivs från höger till vänster,Arabiska,Engelska,Ryska,Franska
sprak,Vad heter det officiella språket i Indien,Hindi,Engelska,Urdu,Tamil
sprak,Vad är ett pidginspråk,En blandning av två eller flera språk som används för enkel kommunikation,Språk som talas över hela världen,Det ursprungliga modersmålet i Afrika,En form av teckenspråk
sprak,Vad kallas det språk som uppstår när ett pidginspråk får modersmålsstatus,Natalspråk,Kreolspråk,Dialekt,Slang
sprak,Vad heter den svenska institutionen som ansvarar för att vårda svenska språket,Svenska Akademien,Institutet för svenska språket,Språkrådet,Skolverket
sprak,Vad kallas personer som talar flera språk flytande,Polyglot,Bilingvist,Monoglot,Multilingualist
sprak,Vad kallas den ljudlära som beskriver ljuden i ett språk,Fonetik,Morfologi,Syntax,Semantik
sprak,Vad heter teckenspråket som används i Sverige,Svenskt teckenspråk,Norsk teckenspråk,Amerikanskt teckenspråk,Brittiskt teckenspråk
sprak,Vilket språk är världens mest utbredda handelsspråk,Engelska,Spanska,Franska,Portugisiska
sprak,Vad betyder ordet ”etymologi”,Läran om ords ursprung,Läran om ljud,Läran om grammatik,Läran om kultur
sprak,Vad heter det språk som talas i Nigeria,Engelska,Spanska,Hausa,Fulani
sprak,Vad kallas en språkfamilj,En grupp språk med gemensamt ursprung,En dialekt,Ett standardspråk,En slangvarianten
sprak,Vilket språk var ursprungligen latinets arvtagare i Europa,Italienska,Franska,Rumänska,Spanska
sprak,Vad betyder begreppet ”kommunikation”,Överföring av budskap mellan människor,Att läsa böcker,Att skriva dikter,Att lyssna på musik
sprak,Vad kallas det språk som används för skrift i Kina,Hanzi,Hangul,Kanjii,Cuneiform
sprak,Vilket språk förknippas starkt med filosofi och antikens tänkare,Grekiska,Latin,Hebreiska,Sanskrit
sprak,Vilket språk är officiellt i både Brasilien och Portugal,Portugisiska,Spanska,Franska,Italienska
sprak,Vad heter det språk som används i teckenspråket i USA,Amerikanskt teckenspråk,Brittiskt teckenspråk,Svenskt teckenspråk,Norskt teckenspråk
sprak,Vad kallas den del av språket som handlar om ordens betydelse,Semantik,Fonetik,Syntax,Pragmatik
sprak,Vad heter det språk som pratas av flest människor i Afrika,Swahili,Hausa,Amhariska,Afrikanska
sprak,Vad kallas den vetenskapliga studien av språkljud,Fonetik,Fonologi,Morfologi,Syntaktik
sprak,Vad kallas den första skrivna formen av ett språk,Alfabet,Skrifttecken,Hieroglyfer,Kalligrafi
sprak,Vad heter språkets regelsystem för hur ord sätts samman till satser,Syntax,Semantik,Fonetik,Pragmatik
sprak,Vad kallas den förenklade version av ett språk som används av personer som inte har språk som modersmål,Pidginspråk,Standard språk,Kreolspråk,Dialekt
sprak,Vilka är de största språkgrupperna i världen,Indoeuropeiska sinotibetanska altaiska semitiska,Afrikanska australiska europeiska amerikanska
sprak,Vad betyder ordet ”dialekt”,En variant av ett språk som talas i ett visst område,Ursprungsspråk,Skrivstil,Föreställning
sprak,Vad heter det språk som talas i Indonesien och är modersmål för flest människor där,Indonesiska,Javanesiska,Balinesiska,Filippinska
