Kategori,Fråga,Rätt svar,Fel svar 1,Fel svar 2,Fel svar 3
geografi,Vad heter huvudstaden i Nauru?,Yaren,Aiwo,Meneng,Denigomodu
geografi,Vilken stad är huvudstad i Palau?,Ngerulmud,Koror,Airai,Melekeok
geografi,Vad heter huvudstaden i Tuvalu?,Funafuti,Nanumea,Nui,Vaitupu
geografi,Vilken stad är huvudstad i San Marino?,San Marino,Borgo Maggiore,Serravalle,Domagnano
geografi,Vad heter huvudstaden i Liechtenstein?,Vaduz,Schaan,Balzers,Triesen
geografi,Vilken stad är huvudstad i Andorra?,Andorra la Vella,Escaldes-Engordany,Encamp,La Massana
geografi,Vad heter huvudstaden i Vatikanen?,Vatikanstaten,Sankt Peters,Apostoliska palatset,Sixtinska kapellet
geografi,Vilken stad är huvudstad i Monaco?,Monaco,Monte Carlo,Monaco-Ville,La Condamine
geografi,Vad heter huvudstaden i Kiribati?,Tarawa,Banaba,Christmas Island,Kiritimati
geografi,Vilken stad är huvudstad i Marshallöarna?,Majuro,Kwajalein,Ebeye,Arno
geografi,Vad heter huvudstaden i Mikronesiens federerade stater?,Palikir,Kolonia,Weno,Tofol
geografi,Vilken stad är huvudstad i Vanuatu?,Port Vila,Luganville,Isangel,Lakatoro
geografi,Vad heter huvudstaden i Tonga?,Nuku'alofa,Neiafu,Pangai,Mu'a
geografi,Vilken stad är huvudstad i Samoa?,Apia,Salelologa,Asau,Leulumoega
geografi,Vad heter huvudstaden i Saint Kitts och Nevis?,Basseterre,Charlestown,Sandy Point,Old Road Town
geografi,Vilken stad är huvudstad i Antigua och Barbuda?,Saint John's,Codrington,All Saints,Liberta
geografi,Vad heter huvudstaden i Saint Vincent och Grenadinerna?,Kingstown,Georgetown,Port Elizabeth,Barrouallie
geografi,Vilken stad är huvudstad i Grenada?,Saint George's,Gouyave,Victoria,Grenville
geografi,Vad heter huvudstaden i Dominica?,Roseau,Portsmouth,Marigot,Berekua
geografi,Vilken stad är huvudstad i Saint Lucia?,Castries,Vieux Fort,Soufrière,Gros Islet
geografi,Vad heter huvudstaden i Barbados?,Bridgetown,Speightstown,Oistins,Holetown
geografi,Vilken stad är huvudstad i Seychellerna?,Victoria,Anse Royale,Takamaka,Beau Vallon
geografi,Vad heter huvudstaden i Mauritius?,Port Louis,Curepipe,Quatre Bornes,Vacoas-Phoenix
geografi,Vilken stad är huvudstad i Komorerna?,Moroni,Mutsamudu,Fomboni,Domoni
geografi,Vad heter huvudstaden i Kap Verde?,Praia,Mindelo,Santa Maria,Assomada
geografi,Vilken stad är huvudstad i São Tomé och Príncipe?,São Tomé,Santo António,Trindade,Santana
geografi,Vad heter huvudstaden i Equatorialguinea?,Malabo,Bata,Ebebiyin,Aconibe
geografi,Vilken stad är huvudstad i Gabon?,Libreville,Port-Gentil,Franceville,Oyem
geografi,Vad heter huvudstaden i Centralafrikanska republiken?,Bangui,Berbérati,Bouar,Bambari
geografi,Vilken stad är huvudstad i Tchad?,N'Djamena,Moundou,Sarh,Abéché
geografi,Vad heter huvudstaden i Niger?,Niamey,Zinder,Maradi,Agadez
geografi,Vilken stad är huvudstad i Mali?,Bamako,Sikasso,Mopti,Ségou
geografi,Vad heter huvudstaden i Burkina Faso?,Ouagadougou,Bobo-Dioulasso,Koudougou,Banfora
geografi,Vilken stad är huvudstad i Guinea-Bissau?,Bissau,Bafatá,Gabú,Canchungo
geografi,Vad heter huvudstaden i Guinea?,Conakry,Kankan,Labé,Nzérékoré
geografi,Vilken stad är huvudstad i Sierra Leone?,Freetown,Bo,Kenema,Makeni
geografi,Vad heter huvudstaden i Liberia?,Monrovia,Gbarnga,Buchanan,Kakata
geografi,Vilken stad är huvudstad i Elfenbenskusten?,Yamoussoukro,Abidjan,Bouaké,Daloa
geografi,Vad heter huvudstaden i Gambia?,Banjul,Serekunda,Brikama,Bakau
geografi,Vilken stad är huvudstad i Eritrea?,Asmara,Assab,Massawa,Keren
geografi,Vad heter huvudstaden i Djibouti?,Djibouti,Ali Sabieh,Dikhil,Tadjoura
geografi,Vilken stad är huvudstad i Bhutan?,Thimphu,Paro,Punakha,Phuentsholing
geografi,Vad heter huvudstaden i Maldiverna?,Malé,Addu,Fuvahmulah,Kulhudhuffushi
geografi,Vilken stad är huvudstad i Brunei?,Bandar Seri Begawan,Kuala Belait,Seria,Tutong
geografi,Vad heter huvudstaden i Östtimor?,Dili,Baucau,Maliana,Suai
geografi,Vilken stad är huvudstad i Tadzjikistan?,Dushanbe,Khujand,Kulob,Qurghonteppa
geografi,Vad heter huvudstaden i Kirgizistan?,Bishkek,Osh,Jalal-Abad,Karakol
geografi,Vilken stad är huvudstad i Turkmenistan?,Ashgabat,Turkmenbashi,Mary,Türkmenabat
geografi,Vad heter huvudstaden i Uzbekistan?,Tashkent,Samarkand,Namangan,Andijan
geografi,Vilken stad är huvudstad i Kosovo?,Pristina,Prizren,Peja,Gjilan
geografi,Vad heter huvudstaden i Montenegro?,Podgorica,Cetinje,Nikšić,Pljevlja
geografi,Vilken stad är huvudstad i Nordmakedonien?,Skopje,Bitola,Kumanovo,Prilep
geografi,Vad heter huvudstaden i Moldavien?,Chișinău,Tiraspol,Bălți,Bender
geografi,Vilken stad är huvudstad i Belarus?,Minsk,Gomel,Mogilev,Vitebsk
geografi,Vad heter huvudstaden i Estland?,Tallinn,Tartu,Narva,Pärnu
geografi,Vilken stad är huvudstad i Lettland?,Riga,Daugavpils,Liepāja,Jelgava
geografi,Vad heter huvudstaden i Litauen?,Vilnius,Kaunas,Klaipėda,Šiauliai
geografi,Vilken stad är huvudstad i Slovakien?,Bratislava,Košice,Prešov,Žilina
geografi,Vad heter huvudstaden i Slovenien?,Ljubljana,Maribor,Celje,Kranj
geografi,Vilken stad är huvudstad i Kroatien?,Zagreb,Split,Rijeka,Osijek
geografi,Vad heter huvudstaden i Bosnien och Hercegovina?,Sarajevo,Banja Luka,Tuzla,Zenica
geografi,Vilken stad är huvudstad i Serbien?,Belgrad,Novi Sad,Niš,Kragujevac
geografi,Vad heter huvudstaden i Albanien?,Tirana,Durrës,Vlorë,Shkodër
geografi,Vilken stad är huvudstad i Malta?,Valletta,Sliema,Birkirkara,Saint Paul's Bay
geografi,Vad heter huvudstaden i Cypern?,Nicosia,Limassol,Larnaca,Paphos
geografi,Vilken stad är huvudstad i Mongoliet?,Ulaanbaatar,Erdenet,Darkhan,Choibalsan
geografi,Vad heter huvudstaden i Laos?,Vientiane,Luang Prabang,Pakse,Savannakhet
geografi,Vilken stad är huvudstad i Kambodja?,Phnom Penh,Siem Reap,Battambang,Sihanoukville
geografi,Vad heter huvudstaden i Myanmar?,Naypyidaw,Yangon,Mandalay,Bago
geografi,Vilken stad är huvudstad i Papua Nya Guinea?,Port Moresby,Lae,Mount Hagen,Madang
geografi,Vad heter huvudstaden i Salomonöarna?,Honiara,Auki,Gizo,Munda
geografi,Vilken stad är huvudstad i Fiji?,Suva,Nadi,Lautoka,Labasa
geografi,Vad heter huvudstaden i Georgien?,Tbilisi,Kutaisi,Batumi,Rustavi
geografi,Vilken stad är huvudstad i Armenien?,Jerevan,Gyumri,Vanadzor,Vagharshapat
geografi,Vad heter huvudstaden i Azerbajdzjan?,Baku,Ganja,Sumgayit,Mingachevir
geografi,Vilken stad är huvudstad i Kasakhstan?,Nur-Sultan,Almaty,Shymkent,Aktobe
geografi,Vad heter huvudstaden i Afghanistan?,Kabul,Kandahar,Herat,Mazar-i-Sharif
geografi,Vilken stad är huvudstad i Yemen?,Sana'a,Aden,Taiz,Al Hudaydah
geografi,Vad heter huvudstaden i Oman?,Muscat,Salalah,Nizwa,Sur
geografi,Vilken stad är huvudstad i Förenade Arabemiraten?,Abu Dhabi,Dubai,Sharjah,Ajman
geografi,Vad heter huvudstaden i Qatar?,Doha,Al Rayyan,Al Wakrah,Umm Salal
geografi,Vilken stad är huvudstad i Bahrain?,Manama,Riffa,Muharraq,Hamad Town
geografi,Vad heter huvudstaden i Kuwait?,Kuwait City,Hawalli,Al Ahmadi,Al Farwaniyah
geografi,Vilken stad är huvudstad i Irak?,Bagdad,Basra,Mosul,Erbil
geografi,Vad heter huvudstaden i Jordanien?,Amman,Zarqa,Irbid,Russeifa
geografi,Vilken stad är huvudstad i Libanon?,Beirut,Tripoli,Sidon,Tyre
geografi,Vad heter huvudstaden i Syrien?,Damaskus,Aleppo,Homs,Latakia
geografi,Vilken stad är huvudstad i Palestina?,Ramallah,Gaza,Hebron,Nablus
geografi,Vad heter huvudstaden i Israel?,Jerusalem,Tel Aviv,Haifa,Rishon LeZion
geografi,Vilken stad är huvudstad i Turkiet?,Ankara,Istanbul,Izmir,Bursa
geografi,Vad heter huvudstaden i Suriname?,Paramaribo,Lelydorp,Brokopondo,Nieuw Nickerie
geografi,Vilken stad är huvudstad i Guyana?,Georgetown,Linden,New Amsterdam,Anna Regina
geografi,Vad heter huvudstaden i Paraguay?,Asunción,Ciudad del Este,San Lorenzo,Luque
geografi,Vilken stad är huvudstad i Uruguay?,Montevideo,Salto,Paysandú,Las Piedras
geografi,Vad heter huvudstaden i Bolivia?,Sucre,La Paz,Santa Cruz,Cochabamba
geografi,Vilken stad är huvudstad i Ecuador?,Quito,Guayaquil,Cuenca,Santo Domingo
geografi,Vad heter huvudstaden i Colombia?,Bogotá,Medellín,Cali,Barranquilla
geografi,Vilken stad är huvudstad i Venezuela?,Caracas,Maracaibo,Valencia,Barquisimeto
geografi,Vad heter huvudstaden i Peru?,Lima,Arequipa,Trujillo,Chiclayo
geografi,Vilken stad är huvudstad i Brasilien?,Brasília,São Paulo,Rio de Janeiro,Salvador
geografi,Vad heter huvudstaden i Chile?,Santiago,Valparaíso,Concepción,La Serena
geografi,Vilken stad är huvudstad i Argentina?,Buenos Aires,Córdoba,Rosario,Mendoza
geografi,Vad heter huvudstaden i Belize?,Belmopan,Belize City,San Ignacio,Orange Walk
geografi,Vilken stad är huvudstad i Guatemala?,Guatemala City,Quetzaltenango,Escuintla,Mixco
geografi,Vad heter huvudstaden i El Salvador?,San Salvador,Santa Ana,San Miguel,Soyapango
geografi,Vilken stad är huvudstad i Honduras?,Tegucigalpa,San Pedro Sula,Choloma,La Ceiba
geografi,Vad heter huvudstaden i Nicaragua?,Managua,León,Granada,Masaya
geografi,Vilken stad är huvudstad i Costa Rica?,San José,Cartago,Puntarenas,Alajuela
geografi,Vad heter huvudstaden i Panama?,Panama City,Colón,David,Santiago
geografi,Vilken stad är huvudstad i Jamaica?,Kingston,Spanish Town,Portmore,Montego Bay
geografi,Vad heter huvudstaden i Haiti?,Port-au-Prince,Cap-Haïtien,Gonaïves,Les Cayes
geografi,Vilken stad är huvudstad i Dominikanska republiken?,Santo Domingo,Santiago,Puerto Plata,San Pedro de Macorís
geografi,Vad heter huvudstaden i Kuba?,Havanna,Santiago de Cuba,Camagüey,Holguín
geografi,Vilken stad är huvudstad i Bahamas?,Nassau,Freeport,West End,Marsh Harbour
geografi,Vad heter huvudstaden i Trinidad och Tobago?,Port of Spain,San Fernando,Chaguanas,Arima
geografi,Vilken stad är huvudstad i Mexiko?,Mexico City,Guadalajara,Monterrey,Puebla
geografi,Vad heter huvudstaden i USA?,Washington D.C.,New York,Los Angeles,Chicago
