Kategori,Fråga,Rätt svar,Fel svar 1,Fel svar 2,Fel svar 3
Natur,Hur många liter vatten finns i alla världens hav?,1,37 miljarder liter,1,5 miljarder liter
Miljö,Hur många grader har jorden värmt sig sedan 1880?,1,1°C,0,8°C
Utdöda,Hur gamla är de äldsta fossilerna?,3,5 miljarder år,2 miljarder år,4 miljarder år
Utdöda,Hur många massutdöenden har jorden genomgått?,5,4,6,7
Natur,Vilket pH-värde har rent vatten?,7,6,8,5
Natur,Hur många arter finns det ungefär på jorden?,8,7 miljoner,10 miljoner,5 miljoner
Natur,Vilken vindstyrka är orkan?,12,10,11,13
Natur,Hur många grader är jordens lutning?,23,5°,25°,20°
Sverige,Hur många vargrevir finns i Sverige cirka?,25,20,30,15
Sverige,Hur många nationalparker finns i Sverige?,30,25,35,40
Sverige,Hur många arter av orkidéer växer vilt i Sverige?,35,25,45,20
Natur,Vilket nummer har guld i period­systemet?,79,78,80,77
Växter,Hur många arter av rosor finns det?,150,100,200,300
Sverige,Hur många fågelarter häckar i Sverige?,250,200,300,350
Djur,Hur många tänder har en vit haj?,300,200,400,500
Rekord,Hur många hjärtslag har en kolibri per minut?,1200,800,1500,600
Natur,Hur många vulkaner är aktiva på jorden?,1500,1000,2000,500
Utdöda,När dog den sista dodo?,1681,1700,1650,1620
Växter,Hur många frön kan en maskros producera?,2000,1000,3000,500
Växter,Hur många arter av kaktusar finns det?,2000,1500,2500,1000
Natur,Vilket tryck råder vid havs­ytan?,1 atm,0.8 atm,1.2 atm,1.5 atm
Växter,Hur snabbt kan bambu växa per dag?,1 meter,0,5 meter,1
Miljö,Hur många plastpåsar används per minut globalt?,1 miljon,500 000,1,5 miljoner
Växter,Hur många år tar det för en ek att bli fullvuxen?,100 år,50 år,150 år,200 år
Utdöda,Hur många arter dör ut per dag idag?,100-1000,50-100,1000-10000,10-50
Djur,Hur många ägg lägger en sköldpadda åt gången?,100-200,50-100,200-300,20-50
Sverige,Hur många meter djup är Vänern som djupast?,106 meter,85 meter,120 meter,75 meter
Natur,Hur djup är Mariana­gravens djupaste punkt?,11 034 meter,10 000 meter,12 000 meter,9 000 meter
Natur,Vilket djup når Mariana­graven?,11 km,9 km,13 km,15 km
Djur,Hur snabbt kan en gepard springa?,110 km/h,90 km/h,130 km/h,70 km/h
Natur,Vilket årtal började den senaste istiden?,115 000,100 000,130 000,85 000
Natur,Hur hög temperatur når lava?,1200°C,1000°C,1500°C,800°C
Djur,Hur många kilometer kan en albatross flyga utan att landa?,15 000 km,10 000 km,20 000 km,5 000 km
Natur,Vilket förhållande har guld­snittet?,1:1.618,1:1.5,1:1.8,1:2
Utdöda,Hur stor var megalodons käke?,2 meter,1,5 meter,2
Natur,Hur snabbt rör sig kontinental­driften?,2-10 cm/år,1-5 cm/år,10-20 cm/år,20-50 cm/år
Utdöda,Hur stora var Tyrannosaurus rex tänder?,20 cm,15 cm,25 cm,10 cm
Växter,Hur stor andel syre producerar Amazonas?,20%,15%,25%,30%
Natur,Vilket djup når kontinental­sockeln?,200 meter,100 meter,300 meter,500 meter
Djur,Hur många år kan en Galápagossköldpadda leva?,200 år,150 år,300 år,100 år
Rekord,Hur djupt kan en elefantsäl dyka?,2000 meter,1500 meter,2500 meter,1000 meter
Växter,Hur länge kan frön av lotus överleva?,2000 år,1000 år,3000 år,500 år
Natur,Hur många timmar dygn förändras med jordens rotation?,24 timmar,23 timmar 56 minuter,24 timmar 4 minuter,25 timmar
Växter,Hur många arter av orkidéer finns det?,25 000,20 000,30 000,15 000
Sverige,Hur många kilometer skärgård har Sverige?,267 570 km,200 000 km,300 000 km,150 000 km
Rekord,Hur högt kan en känguru hoppa?,3 meter,2 meter,4 meter,5 meter
Sverige,Hur många procent av Sveriges yta är världsarv?,3%,5%,1%,7%
Djur,Hur länge är världens längsta maskar?,30 meter,20 meter,40 meter,50 meter
Natur,Vilken hastighet har ljuset?,300 000 km/s,250 000 km/s,350 000 km/s,400 000 km/s
Djur,Hur djupt kan en späckhuggare dyka?,300 meter,200 meter,500 meter,100 meter
Rekord,Hur många teleskopögon har en hammarfiskehaj?,360 graders syn,180 graders syn,270 graders syn,90 graders syn
Natur,Hur gammal är jordens äldsta skog?,385 miljoner år,300 miljoner år,450 miljoner år,200 miljoner år
Rekord,Hur fort kan en pilgrimsfalk dyka?,390 km/h,300 km/h,450 km/h,250 km/h
