Kategori,Fråga,Rätt svar,Fel svar 1,Fel svar 2,Fel svar 3
cocktails,Vad är huvudingredienserna i en klassisk Margarita,Tequila Triple sec limejuice,Vodka lime tonic,Vodka orange juice Cola,Gin lemon sugar
cocktails,Vilken drink innehåller vanligtvis rom limejuice och socker,Daiquiri,Mojito,Caipirinha,Pina Colada
cocktails,Vilket land anses vara ursprunget till drinken Mojito,Kuba,Spanien,Brasilien,Frankrike
cocktails,Vad heter drinken som ofta består av gin vermouth och oliv,Martini,Negroni,Manhattan,Margarita
cocktails,Vilken cocktail innehåller bourbon söt vermouth och Angostura bitter,Manhattan,Old Fashioned,Whiskey Sour,Sazerac
cocktails,Vad är huvudingrediensen i en Bloody Mary,Vodka,Gin,Tekila,Rum
cocktails,Vilken cocktail har ingredienserna rom kokosnötkräm och ananasjuice,Pina Colada,Daiquiri,Mai Tai,Cuba Libre
cocktails,Vad heter drinken som är en blandning av whisky söt vermouth och Campari,Negroni,Manhattan,Old Fashioned,Boulevardier
cocktails,Vad är skillnaden mellan en Daiquiri och en Margarita,Daiquiri innehåller rom Margarita tequila,Daiquiri har lime Margarita har socker,,
cocktails,Vilken drink består av gin Campari och söt vermouth,Negroni,Mojito,Martini,Sidecar
cocktails,Vilket årtionde blev drinken Old Fashioned populär,1800-talet,1900-talet,2000-talet,1700-talet
cocktails,Vad heter drinken som blandar gin citronjuice sockerlag och sodavatten,Tom Collins,Gin Fizz,Mojito,Clover Club
cocktails,Vilket franskt destilleri är känt för att producera Cointreau i drinkar,Rémy Martin,Hennessy,Bacardi,Cointreau
cocktails,Vad är huvudingrediensen i drinken Moscow Mule,Vodka,Gin,Tekila,Rum
cocktails,Vad är viktigt att använda i drinken Espresso Martini,Vodka kall espresso kaffelikör,Gin och tonic tequila limejuice,Vodka citronjuice sockerlag,
cocktails,Vad kallas drinken med tequila lime och saltkant på glaset,Margarita,Mojito,Caipirinha,Paloma
cocktails,Vilket bär är huvudingrediensen i drinken Cosmopolitan,Tranbärsjuice,Blåbärsjuice,Körsbärsjuice,Limesaft
cocktails,Vad heter drinken med bourbon socker Apelsinzest och bitters,Old Fashioned,Manhattan,Sazerac,Whiskey Sour
cocktails,Vad är basen i drinken Gin Tonic,Gin och tonic vatten,Rum och lime,Vodka och cola,Whiskey och ginger ale
cocktails,Vilken cocktail är känd för att innehålla mörk och ljus rom lime och olika fruktsafter,Mai Tai,Pina Colada,Mojito,Caipirinha
cocktails,Vilken drink innehåller jalapeño och tequila,Spicy Margarita,Caipirinha,Mexican Mule,Mojito
cocktails,Vilken drink innehåller likören Blue Curaçao,Blue Lagoon,Tom Collins,Cosmo,Sex on the Beach
cocktails,Vilken drink är gjord på äggvita citronjuice socker och whisky,Whiskey Sour,Sazerac,Manhattan,Old Fashioned
cocktails,Vad heter drinken som består av vodka apelsinjuice och tranbärsjuice,Cosmopolitan,Sea Breeze,Bay Breeze,Moscow Mule
cocktails,Vilket land sägs vara ursprunget till drinken Caipirinha,Brasilien,Kuba,Spanien,Mexiko
cocktails,Vad är ingredienserna i en klassisk Sidecar,Brandy triple sec citronjuice,Vodka triple sec limejuice,Gin vermouth citronjuice,Rom cola limejuice
cocktails,Vad heter drinken som består av gin socker och whiskymix,French 75,Tom Collins,Negroni,Margarita
cocktails,Vad heter drinken med likör vodka apelsinjuice och tranbärsjuice,Cosmopolitan,Moscow Mule,Blue Lagoon,Pina Colada
cocktails,Vilken drink innehåller vanligtvis rom cola och lime,Cuba Libre,Daiquiri,Pina Colada,Mojito
cocktails,Vad heter drinken med vodka tomatjuice och Worcestershiresås,Bloody Mary,Moscow Mule,Gin Fizz,Whiskey Sour
cocktails,Vad är namnet på drinken med gin vermouth och Campari,Negroni,Mojito,Martini,Cosmopolitan
cocktails,Vad heter drinken med whisky socker bitters och apelsinzest,Old Fashioned,Manhattan,Sazerac,Whiskey Sour
cocktails,Vilket är den klassiska drinken med tequila lime socker och soda,Paloma,Margarita,Caipirinha,Mojito
cocktails,Vilket typ av vinsorter används i drinken Sangria,Rödvin,Vitt vin,Rosévin,Mousserande vin
cocktails,Vad heter drinken med gin citron och socker som serveras med sodavatten,Gin Fizz,Tom Collins,Mojito,Clover Club
cocktails,Vad är de tre huvudsakliga ingredienserna i en klassisk Martini,Gin torr vermouth oliv,Gin söt vermouth whiskey citronjuice,Vodka lime tonic,Rum socker limejuice
cocktails,Vad heter den populära drinken som innehåller vodka lime och ginger beer,Moscow Mule,Gin Tonic,Whiskey Sour,Margarita
cocktails,Vilken drink innehåller ofta äggvita och citronjuice,Whiskey Sour,Manhattan,Mojito,Jägermeister
cocktails,Vad är huvudingrediensen i drinken Pisco Sour,Pisco,Vodka,Rom,Gin
cocktails,Vad heter drinken som görs med mezcal lime och agavesirap,Oaxacan Old Fashioned,Mezcal Mule,Smoky Margarita,Paloma
cocktails,Vad heter drinken som består av gin sockerlag och hallonpuré,Clover Club,French 75,Cosmopolitan,Tom Collins
cocktails,Vad kallas drinken gjord på gin crème de violette och citronjuice,Aviation,Marguerite,Clover Club,French 75
cocktails,Vilken drink består av mörk rom apelsinjuice och grenadin,Zombie,Pina Colada,Mai Tai,Cuba Libre
cocktails,Vad heter drinken med vodka kaffe och irländsk grädde,Black Russian,White Russian,Espresso Martini,Mudslide
cocktails,Vad är ingrediensen som gör en Mojito annorlunda,Mynta,Lime,Socker,Rum
cocktails,Vilket land är känt för drinken Caipiroska,Ryssland,Brasilien,Kuba,Mexiko
cocktails,Vad heter drinken med tequila likör lime och grapefruktjuice,Paloma,Margarita,Tommy's Margarita,Caipirinha
cocktails,Vilken drink är gjord på whisky söt vermouth och Campari,Boulevardier,Negroni,Manhattan,Cosmopolitan
cocktails,Vad heter drinken som innehåller vodka tranbärsjuice och apelsinjuice,Bay Breeze,Cosmopolitan,Moscow Mule,Pina Colada
cocktails,Vilket land anses vara ursprunget för spritsorten whisky,Skottland,Irleng,USA,Kanada
cocktails,Vad heter den process där sprit avdunstar från trätunnor under lagring,Änglarnas andel,Djävulens portion,Trätappning,Tunneldunst
cocktails,Vilken sprit används traditionellt i drinken Sazerac,Whiskey,Vodka,Rum,Gin
cocktails,Vad heter destillationsmetoden som används för att göra kontinentaleuropeisk vodka,Kolonn destillation,Pot still destillation,Blend destillation,Cold still distillation
cocktails,Vilket var det första landet att börja tillverka gin,England,Frankrike,Nederländerna,Tyskland
cocktails,Vilken sprit används i drinken Italian Negroni,Rum,Gin,Whiskey,Vodka
cocktails,Vad kallas lagringsprocessen av rom på ekfat för att få mörkare färg,Aging,Maturing,Tanning,Distilling
cocktails,Vad heter den mexikanska spriten gjord på blå agave,Tequila,Mezcal,Pisco,Raicilla
cocktails,Vilka två spritsorter blandas i drinken Black Russian,Vodka och Kahlua,Whiskey och Cola,Rum och lime,Gin och tonic
cocktails,Vad heter den franska spriten från Cognac-distriktet,Brandy,Calvados,Cognac,Armagnac
cocktails,Vad betyder ordet ”Whiskey”,Vatten av livet,Vatten av eld,Vatten av skogens regn,Vatten av natten
cocktails,Vad kallas destillationsapparaten som används för många spritdrycker,Potte Still,Barrel still,Column Still,Water Still
cocktails,Vilken sprit användes i drinken Mojito,Rum,Vodka,Gin,Tequila
cocktails,Vilken dryck är gjord av jäst äppelcider,Cider,Brandy,Whiskey,Rum
cocktails,Vad heter den traditionella spriten från Tyskland,Pflaume,Akvavit,Jägermeister,Schwarzwald
cocktails,Vad heter den ursprungliga spritdrycken som ledde till Gin,i Nederländerna,Genever,Vodka,Rum
cocktails,Vem skapade drinken Cosmopolitan enligt vanlig legend,Waldorf Hotel Bartender,Walter White,Marie Brizard,Tom Collins
cocktails,Vad kallas processen där sprit späds ut med vatten efter destillering,Dilution,Blending,Tinning,Mixing
cocktails,Vilken sprit är traditionell bas i drinken Old Fashioned,Whiskey,Gin,Vodka,Rum
cocktails,Vilket land är känt för att producera Armagnac,Frankrike,Belgien,Tyskland,Spanien
cocktails,Vilket århundrade började sprittillverkning i stor skala i Europa,1400-talet,1500-talet,1600-talet,1700-talet
cocktails,Vad kallas sprit som lagrats på rostat ekfat för att ge smak och färg,charred barrel,Smoked barrel,Rusted barrel,Cured barrel
cocktails,Vad är den vanligaste spritsorten i drinken Manhattan,Whiskey,Rum,Gin,Vodka
cocktails,Vilket land producerar den största mängden vodka i världen,Ryssland,Polen,Tjeckien,Sverige
cocktails,Vad är den huvudsakliga skillnaden mellan whisky och bourbon,Bourbon måste göras i USA och innehålla minst 51 procent majs,Bourbon är gjord av råg,Whisky är alltid maltad,Gin är destillerad med bär
cocktails,Vad heter drinken som görs med tequila Triple sec och lime,Margarita,Paloma,Caipirinha,Mojito
cocktails,Vad heter den typen av sprit som görs på sockerrörsjuice direkt,Rum,Rakia,Brandy,Gin
cocktails,Vad heter den italienska spriten som ofta används i Apéritifs och cocktails,Amaretto,Grappa,Limoncello,Chambord
cocktails,Vem anses ha populariserat drinken Martini i filmen Casablanca,Humphrey Bogart,Ingrid Bergman,Peter Lorre,Claude Rains
cocktails,Vad heter det första destilleriet för whisky i Skottland som registrerades,Glenturret,Macallan,Johnnie Walker,Glenfiddich
cocktails,Vilken spritsort innehåller enbär som huvudingrediens,Gin,Whiskey,Vodka,Rum
cocktails,Vad är den vanligaste alkoholhalten i standardvodka,40 procent,30 procent,50 procent,35 procent
cocktails,Vad kallas den polska vodka som ofta är smaksatt,Zubrowka,Belvedere,Sobieski,Wyborowa
cocktails,Vilket land har traditionellt producerat aquavit,Danmark,Frankrike,Spanien,Tyskland
cocktails,Vad heter drinken med whiskey citron och socker,Whiskey Sour,Old Fashioned,Manhattan,Sazerac
cocktails,Vart kommer drinken Caipirinha ursprungligen ifrån,Brasilien,Mexiko,Kuba,Argentina
cocktails,Vilken sprit används i drinken Pisco Sour,Pisco,Vodka,Gin,Rum
cocktails,Vad heter destillat från äpplen som ofta konsumeras i Frankrike,Calvados,Brandy,Cognac,Armagnac
cocktails,Vad är huvudskillnaden mellan Scotch och irländsk whiskey,Irländsk whiskey är trippeldestillerad,Scotch är alltid maltad,Irländsk whiskey är alltid blended,Båda är identiska
cocktails,Vad heter drinken med rom kokos och ananas,Pina Colada,Mojito,Daiquiri,Cuba Libre
cocktails,Vem skapade drinken Sidecar enligt legenden,En amerikansk bartender i Paris,Ernest Hemingway,Walter Scott,John Collins
cocktails,Vad heter alkoholen som tillverkas av fermenterad sockerrörsjuice,Rum,Tequila,Brandy,Gin
cocktails,Vilket land förknippas med drycken Grappa,Italien,Frankrike,Tyskland,Spanien
cocktails,Vad heter drinken som är en mix av whisky söt vermouth och bitters,Manhattan,Old Fashioned,Negroni,Julep
cocktails,Vilket land är hemvist för Bombay Sapphire Gin,England,Sverige,USA,Polen
cocktails,Vad är det huvudsakliga aromämnet i absint,Malört,Gurkmeja,Basilika,Rosmarin
cocktails,Vad heter den mexikanska spritdrycken som jästs och destillerats på agave,Tequila,Mezcal,Rakia,Limoncello
cocktails,Vad heter processen när man blandar olika spritsorter för att få smak,Blending,Mixing,Dilution,Steeping
cocktails,Vad heter drinken som James Bond ber om i alla sina filmer,Vesper Martini,Old Fashioned,Mojito,Cosmopolitan
cocktails,Vilken cocktail är mest förknippad med serien Mad Men,Old Fashioned,Manhattan,Martini,Margarita
cocktails,Vad dricker Tony Stark ofta i Iron Man-filmerna,Scotch,Whiskey,Gin,Martini
cocktails,Vad heter drinken som Don Draper ofta beställer i Mad Men,Old Fashioned,Manhattan,Margarita,Mojito
cocktails,Vilken drink dricker Walter White i TV-serien Breaking Bad ofta,Scotch,Vodka,Tequila,Beer
cocktails,Vad är den klassiska drinken som bartendern Tom Cruise gör i filmen Cocktail,Rum based mix,Vodka Martini,Margarita,Old Fashioned
cocktails,Vilken drink användes i filmen The Big Lebowski som en signaturdrink,White Russian,Old Fashioned,Cosmopolitan,Margarita
cocktails,Vilken drink beställer Carrie Bradshaw ofta i Sex and the City,Cosmopolitan,Mojito,Martini,Gin Tonic
cocktails,Vilken dryck dricks i mängder under The Great Gatsby,Champagne,Whiskey,Mojito,Rum and Coke
cocktails,Vad beställde Indiana Jones ofta att dricka i filmerna,Whiskey,Beer,Gin,Tequila
cocktails,Vilken cocktail är Errol Flynn mest förknippad med i klassiska filmer,Margarita,Negroni,Tom Collins,Manhattan
cocktails,Vad kallas drinken med gin citronsaft och socker i filmerna,Tom Collins,Gin Fizz,Clover Club,Mojito
cocktails,Vilken drink blev populär genom filmen Cocktail med Tom Cruise,Rum Based Drink,Gin Fizz,Whiskey Sour,Martini
cocktails,Vilken drink serveras ofta i James Bond-filmen Casino Royale,Vesper Martini,Manhattan,Old Fashioned,Cosmopolitan
cocktails,Vilken drink associeras med figurena i serien True Detective,Whiskey Sour,Old Fashioned,Manhattan,Margarita
cocktails,Vilket alkoholhaltigt dryck kan man ofta se i The Sopranos,Red Wine,Whiskey,Beer,Vodka
cocktails,Vilken drink brukade Hannibal Lecter dricka i filmen The Silence of the Lambs,Cognac,Brandy,Scotch,Whiskey
cocktails,Vilken drink dricker Don Vito Corleone i The Godfather,Red Wine,Whiskey,Brandy,Beer
cocktails,Vilken drink använde James Bond för att undvika att bli avrättad i Dr No,Vesper Martini,Mojito,Old Fashioned,Martini
cocktails,Vilken drink är populär i tv-serien Mad Men under 60-talet,Old Fashioned,Martini,Margarita,Cosmopolitan
cocktails,Vilken dryck beställer Sherlock Holmes ofta i både böcker och tv-serier,Gin,Tonic,Tea,Rum
cocktails,Vilken drink är ikonisk för humorserien The Office,Margarita,Old Fashioned,Cosmopolitan,Beer
cocktails,Vad heter drinken som Dr House ibland dricker i TV-serien House,Whiskey,Martini,Tequila,Margarita
cocktails,Vilket var alkoholdrycken som ofta dracks av Don Draper i Mad Men,Whiskey,Margarita,Rum,Gin
cocktails,Vilken drink dricker Scarlett Johansson i Lost in Translation,Slivovitz,Whiskey,Martini,Margarita
cocktails,Vilket var drycken som Jack Sparrow ofta drack i Pirates of the Caribbean,Rum,Whiskey,Brandy,Beer
cocktails,Vilken drink beställde Holly Golightly i Breakfast at Tiffany's ofta,Champagne,Martini,Cosmopolitan,Margarita
cocktails,Vilken drink associeras med tv-serien True Blood,Bloody Mary,Old Fashioned,Cosmopolitan,Margarita
cocktails,Vilken drink dricker legendariska Humphrey Bogart i Casablanca,Martini,Whiskey,Beer,Cocktail
cocktails,Vad är drinken som Rocky Balboa brukar dricka i filmerna,Whiskey,Martini,Gin,Tequila
cocktails,Denna cocktail blandar gin och tonic och serveras med en skiva citron,Gin och Tonic,Margarita,Old Fashioned,Martini
cocktails,En frisk drink med rom limejuice och sockerlag skakad och silad,Daiquiri,Mojito,Cosmopolitan,Margarita
cocktails,Gjord på tequila cointreau limejuice och ofta serverad med saltskål,Margarita,Daiquiri,Caipirinha,Paloma
cocktails,Innehåller lika delar gin Campari och söt vermouth och serveras med apelsinskal,Negroni,Manhattan,Old Fashioned,Cosmopolitan
cocktails,Gjord på bourbon sockerbit angostura bitter och apelsinskal,Old Fashioned,Manhattan,Sazerac,Margarita
cocktails,Gjord på whisky söt vermouth angostura bitter och dekoreras med cocktailbär,Manhattan,Old Fashioned,Negroni,Whiskey Sour
cocktails,Drink med gin citronjuice sockerlag och sodavatten känd som Collins,Toms Collins,Gin Fizz,Mojito,Clover Club
cocktails,Vodka limejuice och ingefärsöl blandas i denna fräscha drink,Moscow Mule,Cosmopolitan,Sex on the Beach,Sea Breeze
cocktails,En drink med rom kokosnötkräm och ananasjuice,Pina Colada,Mai Tai,Daiquiri,Cuba Libre
cocktails,Cosmopolitan består av vodka triple sec lime och tranbärsjuice,Cosmopolitan,Moscow Mule,Blue Lagoon,Sex on the Beach
cocktails,Drink med äggvita citronjuice socker och whiskey ofta kallad Sour,Whiskey Sour,Manhattan,Old Fashioned,Sazerac
cocktails,Gjord på ljus rom lime socker och myntablad muddlad och toppad med sodavatten,Mojito,Daiquiri,Caipirinha,Margarita
cocktails,En klassisk drink med gin vermouth och oliv som ofta förknippas med James Bond,Dry Martini,Negroni,Cosmopolitan,Old Fashioned
cocktails,Gjord på tequila grapefruktjuice lime och soda ofta serverad med saltskål,Paloma,Margarita,Caipirinha,Mojito
cocktails,Fruktig drink med vodka apelsinjuice tranbärsjuice känd som Bay Breeze,Bay Breeze,Sex on the Beach,Cosmopolitan,Moscow Mule
cocktails,Kall drink med gin citron och sodavatten och ibland socker som används i Tom Collins,Tom Collins,Gin Fizz,Clover Club,Mojito
cocktails,Drink med bourbon citronjuice sockerlag och ibland äggvita känd som Sour,Whiskey Sour,Old Fashioned,Margarita,Manhattan
cocktails,Gjord på söt vermouth bitter och campari samt bourbon denna drink kallas Boulevardier,Boulevardier,Negroni,Manhattan,Cosmopolitan
cocktails,Drink med vodka kaffe och irländsk grädde känd som White Russian,White Russian,Black Russian,Espresso Martini,Mudslide
cocktails,Vad heter drinken med gin citron och crème de violette som brukas serveras med körsbär,Aviation,Clover Club,Gin Fizz,Tom Collins
cocktails,Gjord på ljus och mörk rom cointreau limejuice och mandellikör orgeat,Mai Tai,Pina Colada,Cuba Libre,Daiquiri
cocktails,Drink med vodka och kaffelikör ofta kallad Espresso Martini,Espresso Martini,White Russian,Black Russian,Mudslide
cocktails,Drink med whisky sockerbit bitters och lite soda med apelsinzest kallas Old Fashioned,Old Fashioned,Manhattan,Sazerac,Whiskey Sour
cocktails,Vad heter drinken med gin citron och socker serverad med sodavatten,Gin Fizz,Toms Collins,Mojito,Clover Club
cocktails,Drink med rom lime och socker från Brasilien och är en nationaldrink,Caipirinha,Mojito,Daiquiri,Pina Colada
cocktails,Vad heter drinken med vodka lime och ingefärsöl som serveras i kopparkopp,Moscow Mule,Cosmopolitan,Sex on the Beach,Sea Breeze
cocktails,Drink med tequila triple sec och lime ofta saltad kant kallad Margarita,Margarita,Caipirinha,Paloma,Daiquiri
cocktails,Drink med gin svet vermouth och bitters med körsbärsdekoration Manhattan,Manhattan,Negroni,Old Fashioned,Cosmopolitan
cocktails,En klassisk drink med citronjuice äggvita bourbon och socker Whiskey Sour,Whiskey Sour,Old Fashioned,Margarita,Manhattan
cocktails,Drink med rom och cola ofta med en limeklyfta kallas Cuba Libre,Cuba Libre,Pina Colada,Mojito,Daiquiri
cocktails,Drink med gin vermouth och en oliv som garnering kallas,Martini,Margarita,Negroni,Cosmopolitan
cocktails,Drink med brandy triple sec och citronjuice kallas Sidecar,Sidecar,Margarita,Old Fashioned,Manhattan
cocktails,Drink som blandar gin citron och sockerlag kallas Clover Club,Clover Club,Gin Fizz,Toms Collins,Mojito
cocktails,Drink med tequila lime socker och soda är en populär dryck i Mexiko och kallas Paloma,Paloma,Margarita,Caipirinha,Mojito
cocktails,Drink med ljus rom lime socker och mynta i Kuba kallas Mojito,Mojito,Caipirinha,Daiquiri,Pina Colada
cocktails,En klassisk drink med rye whiskey röd vermouth och bitters kallas Manhattan,Manhattan,Old Fashioned,Sazerac,Whiskey Sour
cocktails,Drink med mörk rom grenadin apelsin och limejuice kallas Zombie,Zombie,Pina Colada,Mai Tai,Cuba Libre
cocktails,Drink med kaffe vodka och irländsk grädde kallas White Russian,White Russian,Black Russian,Espresso Martini,Mudslide
cocktails,Vilket år infördes gårdsförsäljning av alkohol i Sverige?,2025,2024,2023,2026
cocktails,Vad kallas det system som ger Systembolaget ensamrätt på alkoholförsäljning i Sverige?,Monopol,Kartell,Oligopol,Licenssystem
cocktails,Vilken är den maxmängd sprit en konsument får köpa vid ett tillfälle vid gårdsförsäljning?,0,7 liter,1 liter,0
cocktails,Vilken svensk myndighet ansvarar för tillsyn av alkoholförsäljning?,Folkhälsomyndigheten,Skatteverket,Polisen,Migrationsverket
cocktails,Vad innebär gårdsförsäljning av alkohol i Sverige?,Småskaliga tillverkare får sälja alkohol direkt på plats,Alla får sälja alkohol i små mängder,Endast Systembolaget får sälja alkohol,Inga privata försäljare är tillåtna
cocktails,Vilka typer av alkohol får säljas via gårdsförsäljning i Sverige?,Sprit vin och starköl,Vodka och whiskey bara,Vin och öl bara,Sprit och cider bara
cocktails,Vilka krav ställs på producenter för att få bedriva gårdsförsäljning?,Registrerad producent och alkoholtillstånd,Inget tillstånd krävs,Endast egen konsumption,Hög minimistock av alkohol
cocktails,Vad gäller matkravet för serveringstillstånd i Sverige?,Krögarna måste ha lagad mat för serveringstillstånd,Måste ha kaffe och smörgås,Inget matkrav finns,Mat måste erbjudas gratis
cocktails,Vad är det svenska ordet för ”alcohol tax”?,Alkoholskatt,Rökskatt,Miljöskatt,Matskatt
cocktails,Vilket år röstade Sveriges riksdag ja till att införa gårdsförsäljning av alkohol?,2025,2024,2023,2026
cocktails,Vad är syftet med att Systembolaget inte får drivas vinstdrivande i Sverige?,Skydda folkhälsan,Maximera intäkter,Öka försäljningen,Stöd till privata handlare
cocktails,Vilken dryckesgrupp omfattar gårdsförsäljning enligt svensk lag?,Egenproducerade alkoholhaltiga drycker,Alla typer av alkohol,Importerat vin och sprit,Bara starköl
cocktails,Vad är den maximala volymen vin som en konsument får köpa vid ett tillfälle vid gårdsförsäljning?,3 liter,5 liter,1 liter,0
cocktails,Vart ansöker tillverkare om tillstånd för gårdsförsäljning av alkohol i Sverige?,Kommunen,Statliga Bolaget,Polisen,Landstinget
cocktails,Vilken myndighet beslutar om skattepåslag på alkohol i Sverige?,Skatteverket,Folkhälsomyndigheten,Finansinspektionen,Migrationsverket
cocktails,Vad menas med ”änglarnas andel” inom sprittillverkning?,Den mängd sprit som avdunstar under lagring,Tillsatt socker i sprit,Produktionsspill,Oavsiktlig alkoholhaltighet
cocktails,Vilket år började man göra lagring av whisky på fat i Skottland?,1400-talet,1500-talet,1600-talet,1700-talet
cocktails,Vad heter den klassiska svenska spriten som smaksätts med dill och kryddor?,Akvavit,Vodka,Brännvin,Whiskey
cocktails,Vilken spritsort är den vanligaste basen i en svensk klassisk drink som ”Punsch”?,Arrak,Vodka,Rom,Gin
cocktails,Vad betyder ordet ”Margarita” på spanska,Den lilla margariten,Den lilla pärlan,Den lilla skatten,Den lilla regnbågen
cocktails,Vad heter den populära drinken som är gjord på rom kokosnötkräm och ananasjuice,Pina Colada,Mojito,Daiquiri,Caipirinha
cocktails,Vem uppfann drinken ”Manhattan” enligt legenden,Bartender i New York,George Washington,Frank Sinatra,Al Capone
cocktails,Vad är det populära alkoholvalet i drinken ”Sidecar”,Brandy,Vodka,Gin,Rum
cocktails,Vilken cocktail har ingredienserna bourbon citronjuice ginger beer och mynta,Moscow Mule,Whiskey Mule,Dark and Stormy,Mojito
cocktails,Vad kallas den franska spriten från regionen Cognac som är en typ av brandy,Cognac,Armagnac,Calvados,Grappa
cocktails,Vad heter drinken som kombinerar vodka brynt smör och citronjuice,Buttered White Russian,Buttered Scotch,Dirty Martini,Gold Rush
cocktails,Vilket land är känt för spriten Pisco som används i Pisco Sour,Peru,Chile,Brasilien,Argentina
cocktails,Vilket årtionde blev Gin Tonic populärt bland brittiska kolonisatörer på Indien,1800-talet,1700-talet,1900-talet,1600-talet
cocktails,Vad är namnet på drinken som består av rom cola och lime,Cuba Libre,Mojito,Daiquiri,Pina Colada
cocktails,Vilken ingrediens ger drinken Bloody Mary dess distinkta smak av umami,Worcestershiresås,Tomatjuice,Ketchup,Sojasås
cocktails,Vad heter drinken som innehåller bourbon persiko nektar citronjuice och socker,Peach Bourbon Smash,Whiskey Sour,Old Fashioned,Manhattan
cocktails,Vilket land har traditionellt producerat spriten Akvavit,Danmark,Finland,Norge,Sverige
cocktails,Vad kallas den flamländska stilen av ölbaserad sprit som ofta blandas i cocktails,Kriek Lambic,Saison,Trappist,Ale
cocktails,Vad heter drinken som innehåller gin söt vermouth och absint och är även känd som Sazerac,Gin Fizz,Sazerac,Negroni,Sidecar
cocktails,Vilken sprittyp är vanligen huvudingrediens i en klassisk French 75,Cognac,Gin,Rum,Vodka
cocktails,Vad kallas den mexikanska spriten gjord på agave som är ofta rökt,Mezcal,Tequila,Pisco,Brandy
cocktails,Vad heter drinken som är gjord på tequila citron lime och agavesirap och är variation av Margarita,Tommy's Margarita,Spicy Margarita,Paloma,Caipirinha
cocktails,Vilka två basalkoholer används i drinken Black Russian,Vodka och Kahlua,Gin och Vermouth,Rum och Cola,Whiskey och Bitters
cocktails,Vad heter den japanska whiskyn som har blivit mycket populär internationellt,Yamazaki,Hibiki,Nikka,Taketsuru
cocktails,Vad kallas destillationsprocessen där spriten avdunstar genom en kolonn och ger hög renhet,Kolonndestillation,Pot still destillation,Hybrid destillation,Cold distillation
cocktails,Vad heter drinken som består av vodka tranbärsjuice och grapefruktjuice,Sea Breeze,Bay Breeze,Cosmopolitan,Moscow Mule
cocktails,Vad betyder begreppet ”proof” när man mäter alkoholstyrka,Det dubbla värdet av alkoholprocenten,Halva alkoholprocenten,Alkoholens densitet,Vattenhalten
cocktails,Vad heter grunddrinken som består av vodka citron och sockerlag,The Lemon Drop,Cosmopolitan,Moscow Mule,Whiskey Sour
cocktails,Vilken ört används ofta i Gin för dess karakteristiska smak,enbär,persilja,basilika,koriander
cocktails,Vad heter drinken som består av mörk rom grenadin apelsinjuice och lime,Zombie,Mai Tai,Pina Colada,Cuba Libre
cocktails,Vilket land har den äldsta registrerade produktionen av whisky,Skottland,Irlang,USA,Kanada
