Kategori,Fråga,Rätt svar,Fel svar 1,Fel svar 2,Fel svar 3
VM1994,Anledningen till Bebetos målgest?,Hans nyfödda son,Bröllop,Födelsedag,Seger
VM1994,Från vilket land kom finaldomaren?,Ungern,Italien,Danmark,Frankrike
VM1994,För vilket italienskt lag spelade Alexi Lalas?,Padova,Milan,Inter,Juventus
VM1994,Hur avgjordes finalen?,Straffläggning,Förlängning,Golden goal,Omspel
VM1994,Hur gammal var Roger Milla?,42,40,44,38
VM1994,Hur många arenor användes totalt?,9,8,10,12
VM1994,Hur många lag deltog i VM 1994?,24,20,22,32
VM1994,Hur många lag gick vidare från varje grupp?,2,3,1,4
VM1994,Hur många matcher förlorade Sverige under turneringen?,1,2,0,3
VM1994,Hur många matcher gick till förlängning?,2,1,3,4
VM1994,Hur många matcher slutade 0-0?,5,3,7,4
VM1994,Hur många matcher spelade Sverige i turneringen?,7,6,5,8
VM1994,Hur många mål gjorde Kennet Andersson totalt för Sverige?,5,4,6,3
VM1994,Hur många mål gjorde Martin Dahlin totalt för Sverige?,4,3,5,2
VM1994,Hur många mål gjorde skyttekungarna?,6,5,7,4
VM1994,Hur många mål gjorde Tomas Brolin totalt för Sverige?,4,3,5,2
VM1994,Hur många mål gjordes totalt i turneringen?,141,135,150,128
VM1994,Hur många mål släppte Sverige in totalt?,8,7,6,9
VM1994,Hur många olika målskyttar hade Sverige?,7,8,6,9
VM1994,Hur många straffar dömdes totalt i turneringen?,15,12,18,20
VM1994,Hur många svenska spelare blev utvisade?,2,1,3,0
VM1994,Hur slutade Sveriges match mot Ryssland?,3-1,2-1,2-2,3-2
VM1994,Hur slutade öppningsmatchen mot Kamerun?,2-2,1-1,3-2,2-1
VM1994,I vilken fas av turneringen uteslöts Maradona?,Under gruppspelet,Före turneringen,Åttondel,Kvartsfinal
VM1994,Slutade Sverige någonsin utan att göra mål?,Ja,Nej,Ja men bara i gruppen,Nej bara i slutspelet
VM1994,Spelade Sverige mot något afrikanskt lag?,Ja,Nej,Bara i gruppen,Bara i slutspelet
