Kategori,Fråga,Rätt svar,Fel svar 1,Fel svar 2,Fel svar 3
kemi,Vilket grundämne är det lättaste i universum?,Väte,Helium,Litium,Deuterium
kemi,Vilket grundämne används i ballonger för att få dem att flyga?,Helium,Väte,Neon,Argon
kemi,Vilket grundämne används i batterier för mobiltelefoner?,Litium,Natrium,Kalium,Magnesium
kemi,Vilket grundämne är huvudkomponent i smaragd och akvamarin?,Beryllium,Aluminium,Magnesium,Kisel
kemi,Vilket grundämne används för att härda stål och finns i borax?,Bor,Kol,Kisel,Fosfor
kemi,Vilket grundämne bildar grunden för allt organiskt liv?,Kol,Kisel,Syre,Kväve
kemi,Vilket grundämne utgör 78% av jordens atmosfär?,Kväve,Syre,Argon,Koldioxid
kemi,Vilket grundämne behöver vi andas för att överleva?,Syre,Kväve,Koldioxid,Väte
kemi,Vilket grundämne är det mest reaktiva av alla och finns i tandkräm?,Fluor,Klor,Brom,Jod
kemi,Vilket grundämne lyser orange-rött i neonskyltar?,Neon,Argon,Helium,Krypton
kemi,Vilket grundämne exploderar våldsamt i kontakt med vatten?,Natrium,Kalium,Litium,Magnesium
kemi,Vilket grundämne brinner med en intensiv vit låga?,Magnesium,Aluminium,Kalcium,Zink
kemi,Vilket grundämne är det vanligaste metallen i jordskorpan?,Aluminium,Järn,Kalcium,Natrium
kemi,Vilket grundämne är huvudkomponent i sand och glas?,Kisel,Kol,Syre,Aluminium
kemi,Vilket grundämne finns i DNA och lyser grönt i mörkret?,Fosfor,Kväve,Svavel,Klor
kemi,Vilket grundämne luktar ruttet ägg när det förbränns?,Svavel,Fosfor,Selen,Tellur
kemi,Vilket grundämne används för att desinficera pooler?,Klor,Fluor,Brom,Jod
kemi,Vilket grundämne är ädalgasen som används i ljuspäror?,Argon,Neon,Helium,Krypton
kemi,Vilket grundämne exploderar ännu häftigare än natrium i vatten?,Kalium,Natrium,Litium,Cesium
kemi,Vilket grundämne finns i benen och tänderna?,Kalcium,Fosfor,Magnesium,Fluor
kemi,Vilket grundämne uppkallades efter Skandinavien?,Scandium,Yttrium,Lutetium,Terbium
kemi,Vilket grundämne är så starkt att det används i jetmotorer?,Titan,Aluminium,Stål,Magnesium
kemi,Vilket grundämne ger rubiner deras röda färg?,Krom,Järn,Mangan,Kobolt
kemi,Vilket grundämne kan förhindra rost genom att tillsättas i stål?,Mangan,Krom,Nickel,Vanadin
kemi,Vilket grundämne är magnetiskt och finns överallt på jorden?,Järn,Nickel,Kobolt,Mangan
kemi,Vilket grundämne ger blå färg till glas och keramik?,Kobolt,Nickel,Krom,Mangan
kemi,Vilket grundämne används i myntmynt och är magnetiskt?,Nickel,Koppar,Zink,Kobolt
kemi,Vilket grundämne har använts som pengar i tusentals år?,Koppar,Silver,Guld,Zink
kemi,Vilket grundämne skyddar mot korrosion genom galvanisering?,Zink,Aluminium,Magnesium,Tenn
kemi,Vilket grundämne uppkallades efter Frankrike?,Gallium,Francium,Germanium,Europium
kemi,Vilket grundämne uppkallades efter Tyskland?,Germanium,Gallium,Polonium,Americium
kemi,Vilket grundämne är giftigt och användes som gift av Agatha Christie?,Arsenik,Kvicksilver,Bly,Kadmium
kemi,Vilket grundämne behövs för sköldkörteln och finns i salt?,Jod,Fluor,Klor,Brom
kemi,Vilket grundämne är flytande vid rumstemperatur och rödbrun?,Brom,Kvicksilver,Gallium,Jod
kemi,Vilket grundämne lyser blått-vitt i gasurladdning?,Krypton,Xenon,Argon,Neon
kemi,Vilket grundämne är extremt radioaktivt och uppkallades efter en stad?,Rubidium,Strontium,Radium,Radon
kemi,Vilket grundämne orsakade Tjernobylkatastrofen?,Strontium,Cesium,Rubidium,Radium
kemi,Vilket grundämne uppkallades efter en skandinavisk by?,Yttrium,Ytterbium,Terbium,Erbium
kemi,Vilket grundämne är så hårt att det kan skära diamant?,Zirkonium,Hafnium,Tantalum,Wolfram
kemi,Vilket grundämne har tidigare kallats columbium?,Niob,Tantalum,Vanadium,Molybden
kemi,Vilket grundämne har högst smältpunkt av alla?,Wolfram,Rhenium,Osmium,Tantalum
kemi,Vilket grundämne används i filament i glödlampor?,Wolfram,Molybden,Rhenium,Tantalum
kemi,Vilket grundämne upptäcktes senast i naturen?,Rhenium,Francium,Astat,Protaktinium
kemi,Vilket grundämne är det tyngsta naturliga?,Uran,Radium,Torium,Protaktinium
kemi,Vilket grundämne är det tätaste av alla?,Osmium,Iridium,Platina,Guld
