Kategori,Fråga,Rätt svar,Fel svar 1,Fel svar 2,Fel svar 3,
80tal,Vilket år dog John Lennon?,1980,1981,1979,1982,
80tal,"Vilket år släppte Queen ""Another One Bites the Dust""?",1980,1981,1979,1982,
80tal,"Vilket år släppte Blondie ""Call Me""?",1980,1979,1981,1982,
80tal,Vilket år hade The Empire Strikes Back premiär?,1980,1981,1979,1982,
80tal,Vilket år började Iran-Irak-kriget?,1980,1979,1981,1978,
80tal,Vilket år hade Caddyshack premiär?,1980,1979,1981,1978,
80tal,Vilket år hade Airplane! premiär?,1980,1979,1981,1978,
80tal,Vilket år började Iran-Irak-kriget?,1980,1979,1981,1978,
80tal,Vilket år grundades MTV?,1981,1980,1982,1983,
80tal,Vilket år dog Bob Marley?,1981,1980,1982,1983,
80tal,"Vilket år släppte Stevie Nicks ""Edge of Seventeen""?",1981,1980,1982,1983,
80tal,"Vilket år släppte Hall & Oates ""Private Eyes""?",1981,1980,1982,1983,
80tal,Vilket år hade An American Werewolf in London premiär?,1981,1980,1982,1983,
80tal,Vilket år började Hill Street Blues sändas?,1981,1980,1982,1979,
80tal,Vilket år infördes krigslagar i Polen?,1981,1980,1982,1979,
80tal,Vilket år dog Natalie Wood?,1981,1980,1982,1979,
80tal,Vilket år blev Ronald Reagan president?,1981,1980,1982,1979,
80tal,Vilket år sköts Ronald Reagan i ett attentat?,1981,1980,1982,1983,
80tal,Vilket år mördades Anwar Sadat?,1981,1980,1982,1983,
80tal,"Vilket år släppte Michael Jackson albumet ""Thriller""?",1982,1981,1983,1984,
80tal,"Vilket år släppte Duran Duran ""Hungry Like the Wolf""?",1982,1981,1983,1984,
80tal,Vilket år hade Fast Times at Ridgemont High premiär?,1982,1981,1983,1980,
80tal,Vilket år hade Tootsie premiär?,1982,1981,1983,1980,
80tal,Vilket år började Cheers sändas?,1982,1981,1983,1980,
80tal,Vilket år började Family Ties sändas?,1982,1981,1983,1980,
80tal,Vilket år dog Leonid Brezjnev?,1982,1981,1983,1980,
80tal,Vilket år inträffade Falklandskriget?,1982,1981,1983,1980,
80tal,Vilket år lanserades Commodore 64?,1982,1981,1983,1980,
80tal,Vilket år sändes första avsnittet av Rederiet?,1982,1981,1983,1980,
80tal,Vilket år dog Grace Kelly?,1982,1981,1983,1980,
80tal,Vilket år vann Mats Wilander French Open första gången?,1982,1981,1983,1980,
80tal,Vilket år dog John Belushi?,1982,1981,1983,1980,
80tal,Vilket år dog Leonid Brezjnev?,1982,1981,1983,1980,
80tal,Vilket år invaderade Israel Libanon?,1982,1981,1983,1980,
80tal,Vilket år började Falklandskriget?,1982,1981,1983,1980,
80tal,"Vilket år släppte The Police ""Every Breath You Take""?",1983,1982,1984,1981,
80tal,Vilket år dog Karen Carpenter?,1983,1982,1984,1981,
80tal,Vilket år hade Flashdance premiär?,1983,1982,1984,1981,
80tal,Vilket år hade Scarface premiär?,1983,1982,1984,1981,
80tal,Vilket år började The A-Team sändas?,1983,1982,1984,1981,
80tal,Vilket år slutade M*A*S*H?,1983,1982,1984,1981,
80tal,Vilket år slutade Björn Borg sin karriär?,1983,1982,1984,1981,
80tal,Vilket år invaderade USA Grenada?,1983,1982,1984,1981,
80tal,Vilket år inträffade Korean Air Flight 007-incidenten?,1983,1982,1984,1981,
80tal,"Vilket år vann Sverige Eurovision med ""Diggi-Loo Diggi-Ley""?",1984,1983,1985,1982,
80tal,Vilket år grundades Band Aid?,1984,1983,1985,1982,
80tal,Vilket år dog Marvin Gaye?,1984,1983,1985,1982,
80tal,Vilket år hade Ghostbusters premiär?,1984,1983,1985,1982,
80tal,Vilket år hade Sixteen Candles premiär?,1984,1983,1985,1982,
80tal,Vilket OS hölls i Los Angeles?,1984,1980,1988,1976,
80tal,Vilket år dog Indira Gandhi?,1984,1983,1985,1982,
80tal,Vilket år vann Sverige Davis Cup?,1984,1983,1985,1982,
80tal,Vilket år drog sig USA ur Libanon?,1984,1983,1985,1982,
80tal,Vilket år dog Jurij Andropov?,1984,1983,1985,1982,
80tal,Vilket år hände Bhopal-katastrofen?,1984,1983,1985,1982,
80tal,Vilket år mördades Indira Gandhi?,1984,1983,1985,1982,
80tal,"Vilket år släppte Dire Straits ""Money for Nothing""?",1985,1984,1986,1983,
80tal,Vilket år hade The Breakfast Club premiär?,1985,1984,1986,1983,
