Kategori,Fråga,Rätt svar,Fel svar 1,Fel svar 2,Fel svar 3
Kategori,Fråga,Rätt svar,Fel svar 1,Fel svar 2,Fel svar 3
rymden,Vilken planet är närmast solen?,Merkurius,Venus,Mars,Jorden
rymden,Vilken planet är störst i solsystemet?,Jupiter,Saturnus,Neptunus,Uranus
rymden,Vad kallas vår galax?,Vintergatan,Andromedagalaxen,Spiralgalaxen,Stjärngalaxen
rymden,Vilket år landade människan första gången på månen?,1969,1968,1970,1967
rymden,Vem var den första människan i rymden?,Jurij Gagarin,Neil Armstrong,Buzz Aldrin,John Glenn
rymden,Vad heter den första hunden i rymden?,Laika,Belka,Strelka,Pchelka
rymden,Hur många planeter finns det i vårt solsystem?,Åtta,Nio,Sju,Tio
rymden,Vad kallas den största månen runt Jupiter?,Ganymed,Europa,Io,Callisto
rymden,Vilket land skickade först en rymdstation?,Sovjetunionen,USA,Kina,Ryssland
rymden,Vad heter den internationella rymdstationen?,ISS,Mir,Skylab,Salyut
rymden,Vilken planet har ringar?,Saturnus,Jupiter,Uranus,Neptunus
rymden,Vad kallas en stjärna som exploderar?,Supernova,Nova,Pulsar,Quasar
rymden,Hur länge tar det för ljus att nå jorden från solen?,8 minuter,7 minuter,9 minuter,6 minuter
rymden,Vad kallas avståndet mellan jorden och solen?,En astronomisk enhet,Ett ljusår,En parsec,En kilometer
rymden,Vilken planet kallas den röda planeten?,Mars,Venus,Merkurius,Jupiter
rymden,Vad heter den största asteroiden?,Ceres,Vesta,Pallas,Hygiea
rymden,Vilken planet roterar på sidan?,Uranus,Neptunus,Saturnus,Venus
rymden,Vad kallas en meteor som når jordens yta?,Meteorit,Meteor,Asteroyd,Komet
rymden,Vilket är det närmaste stjärnsystemet till vårt?,Alpha Centauri,Sirius,Vega,Polaris
rymden,Vad heter den punkt där ingenting kan fly från ett svart hål?,Händelsehorisont,Singularitet,Ergosfer,Photonsfer
rymden,Vilken gas utgör mest av solen?,Väte,Helium,Syre,Kol
rymden,Vad kallas en grupp stjärnor som bildar ett mönster?,Stjärnbild,Konstellation,Asterism,Cluster
rymden,Hur många månader tar det för jorden att snurra runt solen?,Tolv,Elva,Tretton,Tio
rymden,Vad heter den största vulkanen i solsystemet?,Olympus Mons,Mount Everest,Mauna Kea,Mount McKinley
rymden,På vilken planet finns Olympus Mons?,Mars,Venus,Merkurius,Jorden
rymden,Vad kallas det mörka området på månen?,Mare,Kratertär,Högland,Polar
rymden,Vilken planet har mest månar?,Jupiter,Saturnus,Uranus,Neptunus
rymden,Vad heter den första amerikanska astronauten i rymden?,Alan Shepard,John Glenn,Neil Armstrong,Buzz Aldrin
rymden,Vilket år började rymdprogrammet Apollo?,1961,1960,1962,1959
rymden,Vad heter raketen som tog människor till månen?,Saturn V,Falcon Heavy,Atlas V,Delta IV
rymden,Vad kallas den del av rymden där jordens atmosfär slutar?,Kármánlinjen,Termosfer,Mesosfer,Stratosfär
rymden,På vilken höjd över havet börjar rymden?,100 km,80 km,120 km,90 km
rymden,Vad heter den första satelliten i rymden?,Sputnik 1,Explorer 1,Vanguard 1,Luna 1
rymden,Vilket land sköt upp Sputnik?,Sovjetunionen,USA,Frankrike,Kina
rymden,Vad kallas den kraft som håller planeter i omlopp?,Gravitation,Centrifugalkraft,Magnetism,Friktion
rymden,Vilken temperatur råder i rymden?,-270°C,-250°C,-300°C,-200°C
rymden,Vad kallas den teori som förklarar universums början?,Big Bang,Steady State,Inflation,Cyklik
rymden,Hur gammal är universum cirka?,13,8 miljarder år,12 miljarder år,15 miljarder år,10 miljarder år
rymden,Vad kallas den mystiska kraft som får universum att expandera?,Mörk energi,Mörk materia,Gravitation,Elektromagnetism
rymden,Vad utgör den största delen av universum?,Mörk energi,Mörk materia,Normal materia,Strålning
rymden,Vilken planet har den längsta dagen?,Venus,Merkurius,Jupiter,Mars
rymden,Vad heter den första kvinnan i rymden?,Valentina Tereshkova,Sally Ride,Mae Jemison,Svetlana Savitskaya
rymden,Vilket år flög den första kvinnan i rymden?,1963,1962,1964,1965
rymden,Vad kallas en stjärna som pulserar?,Pulsar,Quasar,Nova,Variable
rymden,Vilken planet har den starkaste gravitationen?,Jupiter,Saturnus,Neptunus,Uranus
rymden,Vad heter månen som orbitar Mars?,Phobos och Deimos,Titan och Enceladus,Europa och Io,Triton och Nereid
rymden,Vilken planet har den kortaste orbittiden?,Merkurius,Venus,Mars,Jorden
rymden,Vad kallas det när månen passerar framför solen?,Solförmörkelse,Månförmörkelse,Transit,Ockultation
rymden,Vad kallas det när jorden passerar mellan solen och månen?,Månförmörkelse,Solförmörkelse,Transit,Opposition
rymden,Vilken planet har den mest elliptiska omloppsbanan?,Pluto,Merkurius,Mars,Venus
rymden,Vad heter den minsta planeten?,Merkurius,Pluto,Mars,Venus
rymden,Vilken planet har den tjockaste atmosfären?,Venus,Jorden,Mars,Titan
rymden,Vad består Saturnus ringar av?,Is och sten,Gas,Metall,Dust
rymden,Vad heter den största månen runt Saturnus?,Titan,Enceladus,Rhea,Iapetus
rymden,Vilken måne har atmosfär?,Titan,Europa,Ganymed,Callisto
rymden,Vad kallas en komet när den närmar sig solen?,Koma och svans,Kärna,Meteoroid,Fragment
rymden,Var kommer de flesta kometer från?,Oorts moln,Kuiperbältet,Asteroidbältet,Marsbanan
rymden,Vad heter den mest kända kometen?,Halleys komet,Hale-Bopp,Hyakutake,Encke
rymden,Hur ofta återkommer Halleys komet?,76 år,50 år,100 år,25 år
rymden,Vad kallas centrum av ett svart hål?,Singularitet,Händelsehorisont,Ergosfer,Photonsfer
rymden,Vad händer med tiden nära ett svart hål?,Den går långsammare,Den går snabbare,Den stannar,Den går baklänges
rymden,Vad kallas den process där stjärnor bildas?,Gravitationskollaps,Fusion,Fission,Accretion
rymden,Vad driver fusionen i stjärnor?,Väte till helium,Helium till kol,Kol till järn,Järn till guld
rymden,Vad händer när en massiv stjärna dör?,Supernova,Nova,Pulsar,Kollaps
rymden,Vad kan en supernova lämna efter sig?,Neutron stjärna eller svart hål,Vit dvärg,Röd jätte,Planetnebula
rymden,Vad kallas en mycket tät stjärna?,Neutronstjärna,Vit dvärg,Röd dvärg,Brun dvärg
rymden,Hur stor är en neutronstjärna ungefär?,20 km diameter,100 km,500 km,1000 km
rymden,Vad väger en tesked neutronmaterial?,En miljard ton,En miljon ton,Tusen ton,En ton
rymden,Vad kallas galaxer som kolliderar?,Sammansmältande galaxer,Dubbel galaxer,Interagerande galaxer,Kolliderande galaxer
rymden,Vilken galax kommer att kollidera med Vintergatan?,Andromedagalaxen,Stora magellanska molnet,Triangelgalaxen,Whirlpoolgalaxen
rymden,När kommer denna kollision att ske?,Om 4 miljarder år,Om 2 miljarder år,Om 6 miljarder år,Om 1 miljard år
rymden,Vad kallas en galax utan tydlig struktur?,Oregelbunden galax,Elliptisk galax,Spiralgalax,Lentikulär galax
rymden,Vad kallas det område runt en stjärna där flytande vatten kan finnas?,Goldilocks zon,Habital zon,Livs zon,Vatten zon
rymden,Vad heter den första exoplaneten som upptäcktes?,51 Pegasi b,Proxima b,Kepler-452b,HD 209458 b
rymden,Vilket år upptäcktes den första exoplaneten?,1995,1990,2000,1985
rymden,Vad används för att upptäcka exoplaneter?,Transitmetoden,Direktobservation,Radioteleskop,Infraröd
rymden,Vad kallas en planet utanför vårt solsystem?,Exoplanet,Extrasolar planet,Främmande planet,Utomplanet
rymden,Vilken metod upptäcker flest exoplaneter?,Kepler transit,Radiell hastighet,Direkt avbildning,Gravitationslins
rymden,Vad heter rymdteleskopet som letar efter exoplaneter?,Kepler,Hubble,Spitzer,James Webb
rymden,Hur många exoplaneter har upptäckts hittills?,Över 5000,Över 1000,Över 10000,Över 500
rymden,Vad kallas en planet som liknar jorden?,Jordlik planet,Super-jord,Terraplanet,Rocktplanet
rymden,Vilken typ av stjärna är vår sol?,Gul dvärg,Röd jätte,Vit dvärg,Röd dvärg
rymden,Hur länge kommer solen att leva?,10 miljarder år totalt,5 miljarder år kvar,15 miljarder år,20 miljarder år
rymden,Vad kommer att hända med solen när den dör?,Blir röd jätte sedan vit dvärg,Exploderar som supernova,Blir svart hål,Kollapsar
rymden,Vad kallas det material som stjärnor slungar ut?,Stellar vind,Kosmisk strålning,Plasma,Gas
rymden,Vad skyddar jorden från solvindar?,Magnetosfer,Atmosfär,Ozonlagret,Van Allen-bältena
rymden,Vad orsakar norrsken?,Laddade partiklar från solen,Månens gravitation,Jordens rotation,Atmosfärstryck
rymden,På vilken höjd uppstår norrsken?,100-300 km,50-100 km,300-500 km,500-1000 km
rymden,Vad kallas södra motsvarigheten till norrsken?,Sydsken,Södersken,Aurora australis,Polar ljus
rymden,Vilken planet har de starkaste vindarna?,Neptunus,Uranus,Jupiter,Saturnus
rymden,Vad kallas den stora röda fläcken på Jupiter?,Storm,Kratertär,Måne,Ocean
rymden,Hur länge har den stora röda fläcken funnits?,Flera hundra år,50 år,1000 år,25 år
rymden,Vilken planet har den snabbaste rotationen?,Jupiter,Saturnus,Uranus,Neptunus
rymden,Hur lång är en dag på Jupiter?,10 timmar,24 timmar,15 timmar,8 timmar
rymden,Vilken planet har den starkaste magnetfältet?,Jupiter,Saturnus,Uranus,Neptunus
rymden,Vad kallas Jupiters månar?,Galileiska månarna,Jovian månarna,Giant månarna,Stora månarna
rymden,Vem upptäckte Jupiters fyra största månar?,Galileo Galilei,Johannes Kepler,Tycho Brahe,Isaac Newton
rymden,Vilket år upptäcktes Jupiters månar?,1610,1609,1611,1608
rymden,Vilken av Jupiters månar har vulkaner?,Io,Europa,Ganymed,Callisto
rymden,Vilken av Jupiters månar tros ha ett hav under isen?,Europa,Io,Ganymed,Callisto
rymden,Vad består Europas yta av?,Is,Sten,Metall,Gas
rymden,Vilken måne är störst i solsystemet?,Ganymed,Titan,Europa,Jordmånen
rymden,Vad kallas rymdkappen som landade på Titan?,Huygens,Cassini,Galileo,Voyager
rymden,Vilket land byggde Huygens?,ESA (Europa),NASA (USA),Roskosmos (Ryssland),JAXA (Japan)
rymden,Vad är speciellt med Titans atmosfär?,Består av kväve,Består av syre,Består av väte,Består av koldioxid
rymden,Vad regnar det på Titan?,Metan,Vatten,Svavel,Ammoniak
rymden,Vilken planet har den kallaste temperaturen?,Uranus,Neptunus,Pluto,Saturnus
rymden,Vad är lägsta temperaturen på Uranus?,-224°C,-200°C,-250°C,-180°C
rymden,Vilken planet upptäcktes med matematik?,Neptunus,Uranus,Pluto,Ceres
rymden,Vem förutspådde Neptunus existens?,Urbain Le Verrier,John Adams,William Herschel,Clyde Tombaugh
rymden,Vilket år upptäcktes Neptunus?,1846,1845,1847,1844
rymden,Vad heter Neptunus största måne?,Triton,Nereid,Proteus,Larissa
rymden,Åt vilket håll roterar Triton?,Retrograd,Prograd,Vertikalt,Horisontellt
rymden,Vilken planet nedgraderades till dvärgplanet?,Pluto,Ceres,Eris,Makemake
rymden,Vilket år nedgraderades Pluto?,2006,2005,2007,2004
rymden,Vad definierar en planet enligt IAU?,Rensat sin omloppsbana,Har månar,Har atmosfär,Är rund
rymden,Hur många dvärgplaneter finns det officiellt?,Fem,Fyra,Sex,Sju
rymden,Vad kallas området bortom Neptunus?,Kuiperbältet,Oorts moln,Asteroidbältet,Scattered disk
rymden,Vilken rymdkappen besökte Pluto?,New Horizons,Voyager,Pioneer,Cassini
rymden,Vilket år nådde New Horizons Pluto?,2015,2014,2016,2013
rymden,Vad heter Plutos största måne?,Charon,Styx,Nix,Hydra
rymden,Vad är speciellt med Charon?,Hälften så stor som Pluto,Har atmosfär,Har ringar,Är aktiv vulkanisk
rymden,Vad består asteroidbältet av?,Sten och metall,Is,Gas,Stoft
rymden,Var ligger asteroidbältet?,Mellan Mars och Jupiter,Mellan jorden och Mars,Mellan Jupiter och Saturnus,Bortom Neptunus
rymden,Vad orsakade asteroidbältets bildning?,Jupiters gravitation,Kollision,Explosion,Solvindar
rymden,Vad heter den största asteroiden i bältet?,Ceres,Vesta,Pallas,Hygiea
rymden,Vilken klassificering har Ceres?,Dvärgplanet,Asteroid,Komet,Måne
rymden,Vad kallas små stenar i rymden?,Meteoroider,Asteroider,Kometer,Fragment
rymden,Vad händer när en meteoroid träffar atmosfären?,Blir meteor,Blir meteorit,Förbränns,Studsar
rymden,Vad kallas det ljusstreak vi ser?,Meteor,Meteorit,Meteoroid,Bolid
