Kategori,Fråga,Rätt svar,Fel svar 1,Fel svar 2,Fel svar 3
kaffe,Vilket land producerar mest kaffe i världen?,Brasilien,Colombia,Vietnam,Etiopien
kaffe,Vad kallas de två huvudsakliga kaffearterna som odlas kommersiellt?,Arabica och Robusta,Liberica och Excelsa,Bourbon och Typica,Geisha och Pacamara
kaffe,Vilken temperatur bör vattnet ha när man brygger kaffe?,92-96°C,85-88°C,98-100°C,80-85°C
kaffe,Vad kallas processen där kaffebönor rostats?,Roasting,Cupping,Grinding,Brewing
kaffe,Vilket land anses vara kaffets ursprungsland?,Etiopien,Yemen,Brasilien,Colombia
kaffe,Vad heter den italienska kaffepressen som använder ånga?,Moka pot,French press,AeroPress,Chemex
kaffe,Vilket koffeininnehåll har Robusta-kaffe jämfört med Arabica?,Dubbelt så mycket,Hälften så mycket,Samma mängd,Tre gånger så mycket
kaffe,Vad kallas den process där man smakar och bedömer kaffe?,Cupping,Tasting,Sampling,Judging
kaffe,Vilken stad i Italien är mest känd för sin espressokultur?,Milano,Rom,Neapel,Turin
kaffe,Vad betyder "single origin" kaffe?,Kaffe från en specifik region,Kaffe med en böntyp,Kaffe utan blandning,Kaffe från en gård
kaffe,Vilket land producerar det dyraste kaffet i världen (Kopi Luwak)?,Indonesien,Filippinerna,Vietnam,Thailand
kaffe,Vad kallas den metod där kaffe extraheras med kallt vatten?,Cold brew,Iced coffee,Frappé,Affogato
kaffe,Vilken rostningsgrad ger ljusast kaffe?,Light roast,Medium roast,Dark roast,French roast
kaffe,Vad heter den traditionella turkiska kaffebryggningsmetoden?,Cezve/Ibrik,Siphon,Pour over,Drip
kaffe,Vilket land konsumerar mest kaffe per capita?,Finland,Norge,Island,Sverige
kaffe,Vad kallas kaffebönans skal som avlägsnas före rostning?,Chaff,Hull,Parch,Silverskin
kaffe,Vilken espressobaserad drink innehåller mest mjölk?,Latte,Cappuccino,Macchiato,Cortado
kaffe,Vad betyder "fair trade" när det gäller kaffe?,Rättvis handel,Ekologisk odling,Premium kvalitet,Direkthandel
kaffe,Vilket pH-värde har kaffe ungefär?,5,7,3,9
kaffe,Vad kallas den övre delen av kaffebäret?,Cherry,Bean,Pulp,Mucilage
kaffe,Vilken bryggmetod ger starkast kaffe?,Espresso,French press,Pour over,Drip coffee
kaffe,Vad heter den process där gröna kaffebönor fuktas och svullnar?,Blooming,Soaking,Wetting,Hydrating
kaffe,Vilket land är känt för sin "Blue Mountain" kaffe?,Jamaica,Hawaii,Kenya,Guatemala
kaffe,Vad kallas den tid det tar att brygga en espresso?,Extraction time,Brew time,Shot time,Pull time
kaffe,Vilken typ av kvarn ger jämnaste malning?,Burr grinder,Blade grinder,Manual grinder,Electric grinder
kaffe,Vad betyder "crema" på en espresso?,Skumlagret på toppen,Kaffets aroma,Sockret i kaffet,Mjölkskummet
kaffe,Vilket land populariserade instant kaffe?,USA,Storbritannien,Schweiz,Brasilien
kaffe,Vad kallas den italienska eftermiddagskaffet?,Caffè del pomeriggio,Espresso,Cappuccino,Macchiato
kaffe,Vilken malningsgrad behövs för French press?,Grov malning,Fin malning,Medium malning,Extra fin malning
kaffe,Vad heter den process där kaffekörsbär torkas i solen?,Natural process,Washed process,Honey process,Pulped natural
kaffe,Vilket förhållande kaffe till vatten rekommenderas för bryggning?,1:15-1:17,1:10-1:12,1:20-1:25,1:5-1:8
kaffe,Vad kallas kaffeplantans blomma?,Coffee blossom,White flower,Arabica flower,Cherry flower
kaffe,Vilken höjd över havet odlas det bästa kaffet?,1000-2000 meter,500-800 meter,2500-3000 meter,0-500 meter
kaffe,Vad betyder "espresso" på italienska?,Snabb/pressad,Stark,Mörk,Concentrated
kaffe,Vilket organ i kroppen bryner ner koffein?,Levern,Njurarna,Hjärtat,Lungan
kaffe,Vad kallas den maskin som maler kaffe i kaféer?,Grinder,Miller,Crusher,Blender
kaffe,Vilken temperatur bör mjölk värmas till för latte art?,60-65°C,70-75°C,55-60°C,80-85°C
kaffe,Vad heter den kända kaffekjedjan från Seattle?,Starbucks,Seattle's Best,Tully's,Victrola
kaffe,Vilket land introducerade kaffe till Europa?,Turkiet,Italien,Nederländerna,Frankrike
kaffe,Vad kallas den process där kaffebönor lagras för att mogna?,Aging,Resting,Maturing,Seasoning
kaffe,Vilken typ av kaffe är Geisha/Gesha?,Arabica-varietal,Robusta-typ,Hybrid,Liberica-sort
kaffe,Vad betyder "pour over" bryggning?,Hälla vatten över kaffe,Brygga under tryck,Koka kaffe,Blöta kaffe
kaffe,Vilket land är känt för sitt Kona-kaffe?,Hawaii,Mexiko,Costa Rica,Panama
kaffe,Vad kallas den tid kaffe bör vila efter rostning?,Degassing period,Cooling time,Resting phase,Settling time
