Kategori,Fråga,Rätt svar,Fel svar 1,Fel svar 2,Fel svar 3
Netflix,Vilket år grundades Netflix?,1997,1995,2000,2005
Netflix,Vad heter Netflixs ursprungliga affärsmodell?,DVD-uthyrning,Streaming,Spel,Musik
Netflix,Vilken serie var Netflixs första originalproduktion?,House of Cards,Orange is the New Black,Stranger Things,The Crown
Netflix,Vad heter Netflixs symbol?,Röd N,Blå N,Svart N,Vit N
Netflix,Vilken serie handlar om en flickas försvinnande?,Stranger Things,The OA,Dark,13 Reasons Why
Netflix,Vad heter Netflixs funktion för att hoppa över intro?,Skip Intro,Jump Intro,No Intro,Fast Forward
Netflix,Vilken serie handlar om brittiska kungafamiljen?,The Crown,Bridgerton,Peaky Blinders,Downton Abbey
Netflix,Vad heter Netflixs funktion för att ladda ner innehåll?,Download,Save,Offline,Store
Netflix,Vilken serie handlar om en drogkartell i Colombia?,Narcos,El Chapo,Queen of the South,Breaking Bad
Netflix,Vad heter Netflixs funktion för att rekommendera innehåll?,Recommendations,Suggestions,You might like,For you
netflix,Vilken Netflix-produktion blev den första där en svensk huvudrollsinnehavare nominerades till en Emmy?,Young Wallander,Snabba Cash,Quicksand,Bron
netflix,Vilket år lanserades Netflix som en streamingtjänst?,2007,1999,2010,2015
netflix,Vad hette den välkända amerikanska sitcom som Netflix köpte exklusiv rätt att distribuera i sin helhet?,Friends,The Office,Seinfeld,How I Met Your Mother
netflix,Vilken Netflixserie utspelar sig i en dystopisk framtid med kontroll över personlig data?,Black Mirror,Altered Carbon,The OA,Dark
netflix,Vad är originaltiteln på svenska Netflixserien “Snabba Cash”?,Easy Money,Fast Cash,Quick Profit,Money Heist
netflix,Vem spelar huvudrollen i Netflixfilmen “The Irishman” regisserad av Martin Scorsese?,Robert De Niro,Al Pacino,Joe Pesci,Harvey Keitel
netflix,Vilket land är störst producent av Netflix-originalserier i Europa 2023?,Storbritannien,Sverige,Tyskland,Frankrike
netflix,Vad heter Netflix grundare?,Reed Hastings,Marc Randolph,Bill Gates,Steve Jobs
netflix,Vilken Netflixfilm vann en Oscar för bästa dokumentär 2020?,American Factory,Fyre,My Octopus Teacher,13th
netflix,Vad var Netflix ursprungliga affärsmodell innan streaming?,Skicka DVD via post,Fysiska butiker för hyrfilm,Kabel-TV,Online hyrfilm
netflix,Vilken Netflixserie är baserad på en verklig jaktsaga och har Chris Hemsworth i huvudrollen?,Extraction,The King,Norsemen,The Gray Man
netflix,Vem står bakom Netflixserien “Stranger Things”?,Duffer-bröderna,J.J.Abrams,Shonda Rhimes,David Benioff
netflix,Vilka djur figurerar i det mycket populära Netflixanimerade originalet “Bluey”?,Hundar,Katter,Liveter,Råttor
netflix,Vad heter Netflix-serien där en advokat manipulerar systemet från sin post?,Better Call Saul,The Lincoln Lawyer,How To Get Away With Murder,Suits
netflix,Vad är det genomsnittliga antalet timmar folk tittar på Netflix per dag (globalt enligt 2024 data)?,3 timmar,1 timme,5 timmar,2 timmar
netflix,Vad kallas funktionen i Netflix som automatiskt föreslår innehåll baserat på tittarhistorik?,Rekommendationsalgoritm,Smart Search,Event Trigger,Viewer Matcher
netflix,Vad heter Emmy-belönade Netflixserien som handlar om en kvinnlig CIA-agent?,The Night Agent,Queen's Gambit,Homeland,The Americans
netflix,Vad heter Netflixs globala upphandling av filmer och serier i olika länder?,Netflix Originals,Netflix Universal,Netflix Global,Netflix Worldwide
netflix,Vilken tv-serie fick Netflix att satsa stort på kriminaldraman kring verkliga fall?,Making a Murderer,The Staircase,Shrill,O.J.: Made in America
netflix,Vem spelar huvudrollen i Netflix succéfilmen “Bird Box”?,Sandra Bullock,Charlize Theron,Natalie Portman,Margot Robbie
netflix,Vad heter Netflix populära fantasyserie som baseras på böcker av Andrzej Sapkowski?,The Witcher,Shadow and Bone,Lord of the Rings,Game of Thrones
netflix,Vilket år började Netflix med egenproducerade filmer och serier?,2013,2016,2010,2018
netflix,Vem är den mest streamade skådespelaren på Netflix (mätt 2023),Maria Bakalova,Henry Cavill,Millie Bobby Brown,Sandra Oh
netflix,Vad heter Netflix funktion som låter användare skapa användarprofiler?,Multi-Profile,UserHub,Profile Manager,Personal Space
netflix,Vilka två länder står för majoriteten av Netflixs produktionsbudget i Europa (2023)?,Storbritannien & Tyskland,Frankrike & Spanien,Ryssland & Italien,Sverige & Norge
netflix,Vad heter den svenska Netflix-dokumentären som skildrar den ökända brottslingen Clark Olofsson?,Clark,Störst av allt,Snabba Cash,Gentleman
netflix,Vilket år inträffade Netflixs stora avbrott där miljoner användare blev drabbade?,2021,2018,2019,2023
netflix,Vad heter Netflixserien som utspelar sig i en framtid där mänskligheten är upplastad i en digital värld?,Altered Carbon,Black Mirror,The OA,Westworld
netflix,Vilken Netflixserie är en dokumentär om en uppmärksammad identitetskris i USA?,The Tinder Swindler,Catfish,The Confession Tapes,O.J.: Made in America
netflix,När Netflix började anpassa sig till internationella marknader, vilket språk började man producera mycket innehåll på?,Spanska,Franska,Tyska,Italienska
netflix,Vem spelade rollen som Michael Scofield i Netflixs omstart av Prison Break?,Ingen,Prison Break är ej på Netflix,Kelsey Grammar, Wentworth Miller
netflix,Vilken Netflixkomedi har Hugh Grant i huvudrollen?,The Undoing,Breeders,Sex Education,Drool
netflix,Vem är skaparen av Netflixserien ”House of Cards”?,Beau Willimon,Shonda Rhimes,David Fincher,Peter Morgan
netflix,Vad heter den Netflixserie där ett barnbarn försöker avslöja en komplex familjehemlighet?,Bloodline,Broken,Sharp Objects,The Sinner
netflix,Vad heter Netflixs största utmanare på streamingmarknaden (2025)?,Disney+,HBO Max,Amazon Prime,Apple TV+
netflix,Vem är känd för sin roll som Eleven i Stranger Things?,Millie Bobby Brown,Sadie Sink,Maya Hawke,Shannon Purser
netflix,Vad heter Netflixs dokumentärserie om verkliga brott som undersöker rättvisans brister?,Making a Murderer,The Innocent Man,Rest in Power,The Staircase
netflix,Vad heter Netflixs prisbelönta dokumentär om Oscarsvinnaren Roger Ross Williams?,The Apollo,Crip Camp,Becoming,American Factory
netflix,Vilken Netflixproduktion har hyllning till Skandinavisk design och satir?,Lilyhammer,Borgen,The Rain,Occupied
netflix,Vem regisserade flera av Netflix filmer med stor framgång, inklusive ”Gone Girl”?,David Fincher,Christopher Nolan,Steven Soderbergh,Martin Scorsese
netflix,Vilket år blev Netflix officiellt tillgängligt globalt i nästan alla länder?,2016,2012,2018,2020
netflix,Vad är Netflixs mest sedda film under 2023?,Red Notice,Extraction,The Gray Man,Glass Onion
netflix,Vad heter Netflixs premiummärke för superproduktioner?,Netflix Originals,Netflix Premium,Netflix Select,Netflix Plus
netflix,Vad heter skådespelaren som spelar Geralt i Netflix-serien ”The Witcher”?,Henry Cavill,Jason Momoa,Tom Hiddleston,Kit Harington
netflix,Vilket år lanserades Netflix i Sverige?,2012,2009,2010,2015
netflix,Vad heter produkten för att titta på Netflix offline (ladda ned till mobilen)?,Smart Downloads,Offline Mode,Download & Go,My Downloads
netflix,Vad heter Netflixs AI-baserade verktyg för manusanalys?,Harper,Ray,Muse,Newton
netflix,Vilken Netflixserie handlar om en man som startar ett kriminellt imperium i Mexiko?,Narcos: Mexico,Breaking Bad,El Chapo,Queen of the South
netflix,Vad heter serien om en mördad kvinna som alla påstår att de älskade?,The Queen's Gambit,The Undoing,You,Dead to Me
netflix,Vad heter Netflixs interna analys för att förutsäga tittarnas beteende?,Big Data Viewer,Titan,Viewer Forecast,Insight Engine
netflix,Vilken Netflix-serie handlar om ungdomar som kämpar med övernaturliga krafter i en småstad?,Stranger Things,Dark,The OA,Chilling Adventures of Sabrina
netflix,Vad heter Netflix-filmen där en kock startar en food truck för att återfå sin passion?,Chef,Burnt,Julie & Julia,The Menu
netflix,Vem spelade huvudrollen i Netflix-serien ”The Witcher”?,Henry Cavill,Jason Momoa,Tom Holland,Nikolaj Coster-Waldau
netflix,Vilken Netflix-dokumentär handlar om det kontroversiella dopingfallet med Lance Armstrong?,The Armstrong Lie,Icarus,The Last Dance,Athlete A
netflix,Vad kallas Netflix-algoritmen som anpassar innehåll efter tittarens vanor?,Personliga rekommendationer,Smart filtering,Dynamic streaming,Viewer match
netflix,Vilken serie på Netflix följer livet och maktkampen inom det brittiska kungahuset?,The Crown,Borgen,The Tudors,Victoria
netflix,Vilken Netflix-serie är inspirerad av verkliga kriminalfall och har fått flera Emmy-nomineringar?,Mindhunter,True Detective,The Confession Tapes,O.J.: Made in America
netflix,Vem regisserade Netflix-filmen ”The Irishman”?,Martin Scorsese,Steven Spielberg,Quentin Tarantino,Christopher Nolan
netflix,Vilken Netflix-serie kretsar kring en ung kvinnas resa i en dystopisk framtid där personlig frihet är begränsad?,Black Mirror,The Rain,3%,Dark
netflix,Vad var Netflix ursprungliga affärsidé innan streamingdominerade?,Skicka hyr-DVD via post,Online köp av filmer,Ladda ner filmer,TV-sändning
