Kategori,Fråga,Rätt svar,Fel svar 1,Fel svar 2,Fel svar 3
mat,Vad kallas den italienska pastarätten med ägg och bacon?,Carbonara,Bolognese,Amatriciana,Alfredo
mat,Vilket land kommer sushi ursprungligen från?,Japan,Kina,Korea,Thailand
mat,Vad heter den franska soppan gjord på lök?,Soupe à l'oignon,Bouillabaisse,Vichyssoise,Bisque
mat,Vilket krydda ger paella sin gula färg?,Saffran,Gurkmeja,Kardemumma,Ingefära
mat,Vad kallas den mexikanska såsen gjord på avokado?,Guacamole,Salsa,Pico de gallo,Mole
mat,Vilket land är känt för att ha uppfunnit hamburgaren?,Tyskland,USA,Storbritannien,Österrike
mat,Vad heter den grekiska osten som ofta används i sallad?,Feta,Kasseri,Graviera,Kefalotyri
mat,Vilket land kommer croissanten ursprungligen från?,Österrike,Frankrike,Italien,Schweiz
mat,Vad kallas den japanska nudelsoppan med fermenterat bönsåspålägg?,Ramen,Udon,Soba,Yakisoba
mat,Vilket land är känt för att producera den bästa parmesanosten?,Italien,Frankrike,Schweiz,Spanien
mat,Vad heter den indiska kryddblandningen med många olika ingredienser?,Garam masala,Tandoori masala,Curry powder,Chaat masala
mat,Vilket land kommer tapas ursprungligen från?,Spanien,Portugal,Italien,Grekland
mat,Vad kallas den thailändska rätten med nudlar och jordnötssås?,Pad thai,Tom yum,Green curry,Massaman
mat,Vilket land är känt för att ha uppfunnit pizza?,Italien,Grekland,Turkiet,USA
mat,Vad heter den franska dessertkrämen gjord på ägg?,Crème brûlée,Mousse,Tiramisu,Panna cotta
mat,Vilket land kommer kimchi ursprungligen från?,Korea,Japan,Kina,Vietnam
mat,Vad kallas den peruanska fiskrätten marinerad i lime?,Ceviche,Causa,Anticuchos,Rocoto relleno
mat,Vilket land är känt för att producera den bästa champagnen?,Frankrike,Italien,Spanien,Tyskland
mat,Vad heter den marokkanska grytan som också är namnet på kärlet?,Tagine,Couscous,Harira,Pastilla
mat,Vilket land kommer baklava ursprungligen från?,Turkiet,Grekland,Libanon,Syrien
mat,Vad kallas den argentinska grillrätten med olika köttsorter?,Asado,Empanada,Milanesa,Chimichurri
mat,Vilket land är känt för att ha uppfunnit wok-stekning?,Kina,Thailand,Vietnam,Japan
mat,Vad heter den ungerska soppan med paprika och kött?,Gulasch,Schnitzel,Strudel,Kolbász
mat,Vilket land kommer hummus ursprungligen från?,Libanon,Israel,Syrien,Turkiet
mat,Vad kallas den brasilianska cocktailen med cachaça och lime?,Caipirinha,Mojito,Daiquiri,Pisco sour
mat,Vilket land är känt för sina belgiska våfflor?,Belgien,Nederländerna,Frankrike,Tyskland
mat,Vad heter den etiopiska pannkakan gjord av teffmjöl?,Injera,Doro wat,Kitfo,Berbere
mat,Vilket land kommer borscht ursprungligen från?,Ukraina,Ryssland,Polen,Vitryssland
mat,Vad kallas den vietnamesiska nudelsoppan med kött?,Pho,Bun bo hue,Banh mi,Spring rolls
mat,Vad är huvudingredienserna i en klassisk svensk Janssons frestelse?,Potatis,ansjovis,grädde,Lök
mat,Vad är saffran känt för?,Det är världens dyraste krydda,Det används bara i bakverk,Det kommer från Japan,Det är vanligt grönsakspulver
mat,Vilket land kommer maträtten Paella från?,Spanien,Italien,Portugal,Frankrike
mat,I vilken svensk rätt används rårörda lingon traditionellt?,Köttbullar med potatismos,Pannkakor,Surströmming,Pyttipanna
mat,Hur många rätter har en traditionell julmiddag i Sverige enligt gammal tradition?,Tre bord,En lång buffé,Två delar,Fem avdelningar
mat,Vad heter den franska såsen gjord på äggula och smör?,Hollandaise,Béarnaise,Velouté,Espagnole
mat,Från vilket djur får man serranoskinka?,Gris,Nöt,Får,Get
mat,Vad är huvudråvaran i hummus?,Kikärtor,Soya,Linser,Potatis
mat,I vilket land uppfanns sushi?,Japan,Kina,Korea,Thailand
mat,Vad betyder “al dente” när man kokar pasta?,Lite tuggmotstånd,Mjuk och överkokt,Hård som okokt,Tunn som nudlar
mat,Vilken svensk möbeljätte serverar köttbullar som blivit världsberömda?,IKEA,Åhléns,Hemköp,Rusta
mat,Vad är skillnaden på macaroner och macarons?,Macarons är bakverk,macaroner är pasta,Ingen,Det ena är franskt det andra svenskt
mat,Vad är en Bouillabaisse?,En fisksoppa från Frankrike,En köttgryta från Belgien,En ostfondue,En italiensk pastasås
mat,Vad betyder tapas på spanska?,Smårätter,Lunch,Bröd,Fiskmat
mat,Vad heter den klassiska ungerska soppan kryddad med paprika?,Gulasch,Minestrone,Borsjtj,Tom Yum
mat,Vilket land är ursprungsland för tzatziki?,Grekland,Turkiet,Libanon,Italien
mat,Vad heter traditionell svensk sur fisk från Norrland?,Surströmming,Lutfisk,Falukorv,Röding
mat,Vilken årstid plockas svenska kantareller främst?,Sensommar,Höst,Vår,Vinter
mat,Vad är tofu gjort av?,Sojabönor,Mjölk,Ris,Majs
mat,Vad heter Sveriges äldsta nuvarande konditori?,Vetekatten,Sturekatten,Vasa Konditori,Haga Bageri
mat,Vilken ost används i klassisk Tiramisu?,Mascarpone,Mozzarella,Ricotta,Parmesan
mat,Vad är ramen?,En japansk nudelsoppa,En koreansk gryta,En kinesisk risrätt,Ett vietnamesiskt bröd
mat,Vad är skillnaden på lök och schalottenlök?,Schalottenlök är mildare och mindre,Ingen,Lök växer i knippen,Schalottenlök är bara på våren
mat,Vad är en Gazpacho?,En kall spansk soppa,En mexikansk tacosås,Ett franskt bakverk,En italiensk gryta
mat,Vad heter den italienska råbiffen på nötkött?,Carpaccio,Tartar,Ceviche,Bresaola
mat,I vilket land äter man ofta surkål med bratwurst?,Tyskland,Sverige,Österrike,Kroatien
mat,Vad heter den traditionella asiatiska sojasåsen från Japan?,Shoyu,Teriyaki,Miso,Sake
mat,Vem skapade den svenska klassiska smörgåstårtan?,Harry Bergström,Ingeborg Larsson,Prins Bertil,Okänt
mat,Vad är skillnaden mellan färsk jäst och torrjäst?,Torrjäst är torkad och aktiveras i värme,Färsk håller längre,Torrjäst smakar mer,Färsk jäst kommer från potatis
mat,Vad är huvudråvaran i guacamole?,Avokado,Paprika,Tomat,Selleri
mat,Vad betyder ordet “bistro” på franska?,Litet matställe,Bryggeri,Värdshus,Hotellbar
mat,Vad är skillnaden på parmesan och grana padano?,Olika regioner i Italien,Olika hårdhet,Olika lagringstid,Ingen skillnad
mat,Vad är skillnaden mellan latte och cappuccino?,Latte har mer mjölk än cappuccino,Lika mycket skum,Lite starkare,Ingen skillnad
mat,Varifrån kommer bakverket semla?,Sverige,Tyskland,Danmark,Norge
mat,Vilken peppar växer i klasar?,Svartpeppar,Chili,Rosépeppar,Vitpeppar
mat,Vad är skillnaden mellan glass och gelato?,Gelato har mer mjölk och mindre luft,Mindre fett,Mer is,Ingen skillnad
mat,Vilket land uppfann croissanten?,Österrike,Frankrike,Tjeckien,Tyskland
mat,Vad är skillnaden på matjesill och ansjovis?,Matjesill är sill,Anjovis är kryddad skarpsill,Ingen,Kryddskillnad
