Kategori,Fråga,Rätt svar,Fel svar 1,Fel svar 2,Fel svar 3
Jul,Vilket år blev jul en officiell helgdag i Tyskland?,1500,1450,1550,1600
Jul,Vilket år blev jul en officiell helg i Sverige?,1544,1520,1560,1580
Jul,Vilket år gavs den första julkortet ut i England?,1843,1840,1845,1848
Jul,Vilket år blev jul en helgdag i Canada?,1867,1865,1870,1875
Jul,Vilket år blev jul en helgdag i USA?,1870,1865,1875,1880
Jul,Vilket år började traditionen med julkort i Sverige?,1870,1865,1875,1880
Jul,Vilket år blev julgransbelysning elektrisk första gången?,1882,1880,1885,1890
Jul,Vilket år började traditionen med snöbollar som julpynt?,1900,1895,1905,1910
Jul,Vilket år introducerades julmust i Sverige?,1910,1905,1915,1920
Jul,Vilket år började traditionen med julklappsinslagning?,1917,1915,1920,1925
Jul,Vilket år startade Coca-Cola sin berömda julreklam?,1931,1930,1932,1933
Jul,Vilket år blev 'White Christmas' av Bing Crosby inspelad?,1942,1940,1944,1945
Jul,Vilket år började Astrid Lindgren skriva om jul?,1945,1944,1946,1947
Jul,Vilket år började traditionen med Kalle Anka och hans vänner på julafton på SVT?,1960,1958,1962,1965
Jul,Vilket år började SVT sända julkalender?,1960,1958,1962,1965
Jul,Vilket år grundades Gävlebocken?,1966,1964,1968,1970
Jul,I vilket århundrade började man använda julgranar i Sverige?,1800-talet,1700-talet,1900-talet,1600-talet
Jul,I vilken amerikansk film från 1983 förekommer jul?,A Christmas Story,National Lampoon,Trading Places,Scrooged
Jul,Vad kallas den tyska jultradition där man räkner ner dagarna till jul?,Adventskalender,Weihnachtskalender,Julkalender,Countdown
Jul,I vilken amerikansk delstat ligger North Pole?,Alaska,Colorado,Minnesota,Montana
Jul,Vad heter den argentinska jultradition med grillfest?,Asado,Parrilla,Barbacoa,Cordero
Jul,I vilket land firar man jul på stranden med barbeque?,Australien,Brasilien,Sydafrika,Argentina
Jul,I vilket land firar man jul med cricket?,Australien,Indien,Pakistan,Sri Lanka
Jul,Vad kallas den kroatiska jultradition med Badnjak?,Badnji dan,Božić,Nova godina,Sveta tri kralja
Jul,I vilken tysk region har Lebkuchen störst tradition?,Bayern,Baden-Württemberg,Hessen,Sachsen
Jul,Vad kallas den italienska julhäxan som delar ut gåvor?,Befana,Strega,Nonna,Fata
Jul,I vilken svensk känd psalm sjungs 'Betlehems stjärna'?,Betlehems stjärna,O helga natt,Stilla natt,Nu tändas tusen
Jul,I vilken svensk känd sång sjungs om 'stjärna'?,Betlehems stjärna,Nu tändas tusen,Jul jul strålande jul,Stilla natt
Jul,Vad kallas den makedonska jultradition med koleduvanje?,Božić,Nova godina,Uskrs,Bogojavljenje
Jul,Vad kallas den franska julkaka som ofta serveras som efterrätt?,Bûche de Noël,Croquembouche,Galette des Rois,Tarte Tatin
Jul,Vad kallas den traditionella franska julkakan i form av stock?,Bûche de Noël,Galette,Croquembouche,Tarte
Jul,Vad kallas den katalanska jultradition med den skitande gubben?,Caganer,Tió,Nadal,Pessebre
Jul,Vad heter den walesiska jultraditionen med att sjunga från dörr till dörr?,Caroling,Plygain,Mari Lwyd,Calennig
Jul,Vad heter den australienska jultradition med sång på stranden?,Carols by Candlelight,Beach Christmas,Surf Christmas,Aussie Christmas
Jul,Vad kallas den engelska traditionen med att dra julklappar ur papper?,Christmas Crackers,Gift pulling,Cracker pulling,Paper party
Jul,Vad heter den cypriotiska jultradition med kalanda?,Christougenna,Kalanta,Kalanda,Protoxronia
Jul,Vad kallas den irländska jultradition med träframställning?,Crib,Nativity,Manger,Bethlehem
Jul,Vad heter den rumänska jultradition med colindatul?,Crăciun,Revelion,Paște,Bobotează
Jul,I vilket land har man tradition av julbad i havet?,Danmark,Norge,Sverige,Finland
Jul,Vad heter den ryska julfigur som motsvarar jultomten?,Ded Moroz,Babushka,Ivan Frost,Nikolai
Jul,I vilken amerikansk film från 1988 är jul-temat?,Die Hard,Scrooged,A Christmas Story,National Lampoon
Jul,I vilken tysk stad hölls den första dokumenterade julmarknaden?,Dresden,München,Köln,Nürnberg
Jul,Vilket djur symboliserar fred i julsammanhang?,Duva,Lamm,Hjort,Uggla
Jul,Vad kallas den spanska jultradition med lotteridragning?,El Gordo,La Primitiva,Bonoloto,Lotería
Jul,I vilket land började traditionen med julkort?,England,Tyskland,Frankrike,USA
Jul,I vilket land har man tradition av Christmas pudding?,England,Irland,Skottland,Wales
Jul,I vilket land har man tradition av Christmas crackers?,England,USA,Kanada,Australien
Jul,I vilket land har man tradition av Boxing Day?,England,Kanada,Australien,Nya Zeeland
Jul,I vilket land har man tradition av Christmas Eve boxes?,England,USA,Skottland,Irland
Jul,I vilket land har man tradition av Christmas carols?,England,USA,Irland,Wales
Jul,I vilket land har man tradition av mince pies?,England,Irland,Skottland,Wales
Jul,I vilken svensk julfilm från 1982 spelar Ernst-Hugo huvudrollen?,Fanny och Alexander,Jul i Vintergatan,Pippi Långstrump,Emil i Lönneberga
Jul,I vilken svenskt språkområde kallas julgranen för 'joulukuusi'?,Finska,Samiska,Meänkieli,Östsvenska
Jul,Vad kallas den skotska traditionen med första fotsteget över tröskeln?,First-footing,Hogmanay,Burns Night,St. Andrew's
Jul,I vilken amerikansk delstat ligger Christmas i?,Florida,Georgia,California,Texas
Jul,Vilket är det vanligaste köttet i svensk julskinka?,Fläsk,Kalv,Nöt,Lamm
Jul,Vad kallas den portugisiska julkakor som heter 'rabanadas'?,Franska toast,Äggbröd,Sockerbröd,Mjölkbröd
Jul,Vad heter den österrikiska kompositören som skrev 'Stilla natt'?,Franz Gruber,Wolfgang Mozart,Franz Schubert,Johann Strauss
Jul,I vilken svensk känd psalm sjungs om 'fred'?,Fred på jorden,Nu tändas tusen,Jul jul strålande jul,Stilla natt
Jul,I vilken svensk stad finns Tomteland?,Gesunda,Mora,Rättvik,Siljan
Jul,I vilken svensk känd psalm sjungs om 'glädje'?,Glädje över landen,Nu tändas tusen,Jul jul strålande jul,Stilla natt
Jul,Vilket träd används mest som julgran i Sverige?,Gran,Fura,Tall,Ädelgran
Jul,I vilken svensk stad finns det berömda stora julpyramiden?,Gävle,Sundsvall,Umeå,Falun
Jul,Vad kallas den ungerska julmat som serveras på julafton?,Halászlé,Gulyás,Schnitzel,Rétes
Jul,I vilken svensk känd psalm sjungs om 'himmel'?,Himmel på jorden,Nu tändas tusen juleljus,Stilla natt,Jul jul strålande jul
Jul,I vilken amerikansk film från 1990 glömmer familjen sin son hemma?,Home Alone,The Grinch,Miracle on 34th Street,A Christmas Story
Jul,Vilket krydda används i tysk Lebkuchen?,Honung,Socker,Mandel,Kanel
Jul,I vilken svensk känd sång sjungs om 'hopp'?,Hopp och tro,Jul jul strålande jul,Nu tändas tusen,Stilla natt
Jul,Vilket land har traditionen med julklappar under sängen?,Island,Norge,Finland,Danmark
