Kategori,Fråga,Rätt svar,Fel svar 1,Fel svar 2,Fel svar 3
SaganOmRingen,Hur gammal är Frodo när han adopteras?,21,12,18,25
SaganOmRingen,Hur gammal är Frodo när han lämnar?,53,50,55,48
SaganOmRingen,Hur gammal blir Bilbo på sin sista fest?,111,100,110,112
SaganOmRingen,Vilket år publicerades första boken?,1954,1953,1955,1952
SaganOmRingen,Vilket år i Shire Reckoning föds Frodo?,2968,2890,2944,2980
SaganOmRingen,Vilket år adopterar Bilbo Frodo officiellt?,2989,2968,2980,2977
SaganOmRingen,Vilket år byggdes The High Hay enligt Shire Reckoning?,2997,3000,2990,3010
SaganOmRingen,Vilket år återvänder hobbitsarna till Shire?,3019,3018,3020,3017
SaganOmRingen,Vilket år i Third Age förstörs ringen?,3019,3018,3020,3021
SaganOmRingen,Vilket år lämnar Frodo Shire med alverna?,3021,3019,3020,3022
SaganOmRingen,Vilket år slutar Third Age?,3021,3019,3020,3022
SaganOmRingen,Vilket datum exakt förstörs ringen?,25 mars,22 mars,1 april,15 mars
SaganOmRingen,Vilken powers har Tom över sina marker?,Absolute dominion,Magic control,Nature command,Forest rule
SaganOmRingen,Vad heter Gil-galads spjut?,Aeglos,Glamdring,Orcrist,Anduril
SaganOmRingen,Vad kallas den stora musiken som skapade världen?,Ainulindalë,Music of Creation,Great Song,Silmarillion
SaganOmRingen,"Vad betyder ""Vilya"" på quenya?",Air/Sky,Fire,Water,Earth
SaganOmRingen,Vem av Maiar blev Radagast?,Aiwendil,Olórin,Curunír,Alatar
SaganOmRingen,Vem äger The Green Dragon?,Al,Ted,Bill,Sam
SaganOmRingen,Vad heter de blå trollkarlarna?,Alatar och Pallando,Morinehtar och Rómestámo,Curumo och Aiwendil,Blue och Azure
SaganOmRingen,Vem smidade om Narsil till Andúril?,Alverna i Rivendell,Dvärgar i Erebor,Människor i Gondor,Númenoréer
SaganOmRingen,Vem spelade Gollum med motion capture?,Andy Serkis,Peter Jackson,Ian McKellen,Elijah Wood
SaganOmRingen,Vad heter Aragorns svärd?,Andúril,Glamdring,Sting,Narsil
SaganOmRingen,Vad kallades Sauron på Númenor?,Annatar,Tar-Mairon,Lord of Gifts,King's advisor
SaganOmRingen,Vilket falskt namn använde Sauron bland alverna?,Annatar,Mairon,Tar-Mairon,Gorthaur
SaganOmRingen,Vem var Númenórs siste kung?,Ar-Pharazôn,Elendil,Isildur,Anárion
SaganOmRingen,Vem känner igen athelas?,Aragorn,Gandalf,Elrond,Denethor
SaganOmRingen,Vem befriede de döda från förbannelsen?,Aragorn,Gandalf,Elrond,Isildur
SaganOmRingen,Vem gifter sig Arwen med?,Aragorn,Boromir,Faramir,Legolas
SaganOmRingen,Vad heter Elronds dotter?,Arwen,Galadriel,Celebrían,Tauriel
SaganOmRingen,Vem blir Aragorns drottning?,Arwen Undómiel,Éowyn,Galadriel,Rosie Cotton
SaganOmRingen,Vad heter alvhästen som bär Frodo?,Asfaloth,Shadowfax,Roheryn,Hasufel
SaganOmRingen,Vad kallas det healande bladet?,Athelas,Kingsfoil,Lembas,Miruvor
SaganOmRingen,Vilken växt använder Aragorn för healing?,Athelas,Lembas,Miruvor,Kingsfoil
SaganOmRingen,Vilken Vala tjänade Saruman?,Aulë,Manwë,Yavanna,Ulmo
SaganOmRingen,Vem tjänade Sauron bland Valar ursprungligen?,Aulë,Manwë,Melkor,Ulmo
SaganOmRingen,Var levde Ungoliant förr?,Avathar,Dor-lómin,Beleriand,Angband
SaganOmRingen,Vad heter Frodos hem?,Bag End,Hill End,Hole End,Green End
SaganOmRingen,Vem vägledde dvärgar genom Moria förr?,Balin,Glóin,Óin,Dwalin
SaganOmRingen,Vad står på Balins gravsten?,Balin Lord of Moria,Here lies Balin,Balin Son of Fundin,Lord Balin
SaganOmRingen,Vad hittar Gimli i Chamber of Mazarbul?,Balins grav,Skatter,Orcs,Weapons
SaganOmRingen,Vad väckte dvärgarna när de grävde för djupt?,Balrog,Dragon,Watcher,Orcs
SaganOmRingen,Vilket monster vaktar i Moria?,Balrog,Dragon,Watcher in the Water,Cave Troll
SaganOmRingen,Vad heter Saurons fästning?,Barad-dûr,Orthanc,Minas Morgul,Mount Doom
SaganOmRingen,Vad heter floden där Frodos föräldrar dog?,Baranduin,Brandywine,Mitheithel,Celebrant
SaganOmRingen,Vem äger The Prancing Pony?,Barliman Butterbur,Bill Ferny,Harry Goatleaf,Ted Sandyman
SaganOmRingen,Vad heter striden för att befria Shire?,Battle of Bywater,Scouring of Shire,Liberation of Shire,Hobbiton Fight
SaganOmRingen,Vad heter Pipps vän bland vakterna?,Beregond,Targon,Bergil,Ioreth
SaganOmRingen,Vilken väktare hjälper Pippin rädda Faramir?,Beregond,Targon,Prince Imrahil,Húrin
SaganOmRingen,Vad heter Beregnds son?,Bergil,Beregond Jr,Boromir,Targon
SaganOmRingen,Vem gav mithril-skjortan till Frodo?,Bilbo,Thorin,Gimli,Dáin
SaganOmRingen,Vem gav Sting till Frodo?,Bilbo,Gandalf,Elrond,Galadriel
SaganOmRingen,Vad heter Frodos vårdnadshavare?,Bilbo Baggins,No guardian,Uncle Baggins,Bag End owner
SaganOmRingen,Vad heter Frodos farbror?,Bilbo Baggins,Bingo Baggins,Bungo Baggins,Balbo Baggins
SaganOmRingen,Vilket djur äger Sam Gamgee?,Bill ponnyn,Asfaloth,Shadowfax,Roheryn
SaganOmRingen,Vem spelade Pippin Took?,Billy Boyd,Dominic Monaghan,Sean Astin,Elijah Wood
SaganOmRingen,Vilken följeslagare dör under resan?,Boromir,Gandalf,Gimli,Legolas
SaganOmRingen,Vem försöker ta ringen från Frodo vid Amon Hen?,Boromir,Gollum,Faramir,Denethor
SaganOmRingen,Vad heter huvudstaden i Buckland?,Brandy Hall,Bucklebury,Crickhollow,Brandywine Bridge
SaganOmRingen,Vilket släkte kommer Frodos mor från?,Brandybuck,Took,Gamgee,Bolger
SaganOmRingen,Vad heter floden som Frodo korsar?,Bruinen,Anduin,Mitheithel,Celebrant
SaganOmRingen,Hur dör Denethor?,Bränner sig själv,Hoppar,Krigare,Nazgûl
SaganOmRingen,Vem byggde The High Hay?,Bucklanders,Shire-folk,Rangers,Tom Bombadil
SaganOmRingen,På vilket berg försöker sällskapet passera först?,Caradhras,Celebdil,Fanuidhol,Mount Doom
SaganOmRingen,Var bor Galadriel och Celeborn?,Caras Galadhon,Cerin Amroth,Mirror of Galadriel,Egladil
SaganOmRingen,Vad räddade mithril-skjortan Frodo från?,Cave troll spear,Sting,Morgul blade,Shelob
SaganOmRingen,Vem är Galadriels make?,Celeborn,Elrond,Gil-galad,Círdan
SaganOmRingen,Vem hjälpte Sauron skapa de 19 ringarna?,Celebrimbor,Fëanor,Gil-galad,Elrond
SaganOmRingen,Vem är Arwens mor?,Celebrían,Galadriel,Elrond,Gil-galad
SaganOmRingen,"Vad betyder ""Thain""?",Chieftain,King,Mayor,Lord
SaganOmRingen,Vem spelade Saruman?,Christopher Lee,Ian McKellen,Sean Bean,John Hurt
SaganOmRingen,Var hittar Sam orc-rustningen?,Cirith Ungol tower,Dead orcs,Orc camp,Watchtower
SaganOmRingen,Vilken skrift använder dvärgar?,Cirth,Tengwar,Angerthas,Runes
SaganOmRingen,Vad heter fältet där de hyllar hjältarna?,Cormallen,Pelennor,Dagorlad,Nindalf
SaganOmRingen,Vad heter kroningsceremonin?,Coronation,King's return,Crown of Gondor,Royal ceremony
SaganOmRingen,Mot vem kämpade de döda?,Corsairs of Umbar,Orcs of Mordor,Easterlings,Southrons
SaganOmRingen,Hur är Frodo och Bilbo släkt?,Cousins,Uncle nephew,Brothers,Grandfather grandson
SaganOmRingen,Vem av Maiar blev Saruman?,Curunír,Olórin,Aiwendil,Pallando
SaganOmRingen,Vem gav Narya till Gandalf?,Círdan,Elrond,Galadriel,Gil-galad
SaganOmRingen,Vad händer med slavarna när Sauron faller?,De befrias,De dör,De flyr,De kämpar
SaganOmRingen,Vad händer med Nazgûl vid floden?,De spolas bort,De förstörs,De flyr,De faller
SaganOmRingen,Vad heter andra delen?,De två tornen,Fellowship,Return of King,Two Towers
SaganOmRingen,Vad heter de döda soldaterna?,Dead Men of Dunharrow,Army of Dead,Oathbreakers,Cursed Warriors
SaganOmRingen,Vem härskade över Gondor när Frodo kom?,Denethor,Aragorn,Boromir,Faramir
SaganOmRingen,Under vilket förklädnadsnamn slåss Éowyn?,Dernhelm,Dernhild,Elfhelm,Windfola
SaganOmRingen,Vilken sten sitter i Nenya?,Diamond,Ruby,Sapphire,Pearl
SaganOmRingen,Vad heter Imrahils hem?,Dol Amroth,Minas Tirith,Lossarnach,Pinnath Gelin
SaganOmRingen,Vem spelade Merry Brandybuck?,Dominic Monaghan,Billy Boyd,Sean Astin,Elijah Wood
SaganOmRingen,Var skapades Härskarringen?,Dooms berg,Erebor,Khazad-dûm,Rivendell
SaganOmRingen,Vad heter Frodos far?,Drogo Baggins,Bilbo Baggins,Bungo Baggins,Bingo Baggins
SaganOmRingen,Vad hände med Frodos föräldrar?,Drowned in Baranduin,Killed by orcs,Disease,Old age
SaganOmRingen,Vem grundade Khazad-dûm?,Durin the Deathless,Balin,Dáin,Thorin
SaganOmRingen,Vad kallas Balrog på sindarin?,Durin's Bane,Shadow of Flame,Flame of Udûn,Dark Fire
SaganOmRingen,Vem för bud om segern?,Eagles,Gwaihir,Messengers,Riders
SaganOmRingen,Vad heter öst-folken?,Easterlings,Variags,Wainriders,Men of Khand
SaganOmRingen,Vad heter Rohans huvudstad?,Edoras,Helm's Deep,Dunharrow,Aldburg
SaganOmRingen,Vilket element representerar Narya?,Eld,Luft,Vatten,Jord
SaganOmRingen,Vem ledde de trogna Númenóréerna till Midgård?,Elendil,Isildur,Gil-galad,Anárion
SaganOmRingen,Vilken kröna användes?,Elendil's crown,Gondor crown,King's crown,Royal circlet
SaganOmRingen,Vad blir Aragorns kungliga namn?,Elessar,Telcontar,Strider,Chieftain
SaganOmRingen,Vem spelade Frodo i filmerna?,Elijah Wood,Daniel Radcliffe,Orlando Bloom,Sean Bean
SaganOmRingen,Vem är Arwens far?,Elrond,Celebrían,Gil-galad,Thranduil
SaganOmRingen,Vad heter alvkungen i Rivendell?,Elrond,Gil-galad,Celebrimbor,Thranduil
SaganOmRingen,Vem räddar Frodo från Nazgûl-kniven?,Elrond,Gandalf,Arwen,Glorfindel
SaganOmRingen,Vem helar Frodos sår i Rivendell?,Elrond,Gandalf,Arwen,Glorfindel
SaganOmRingen,Hur många Oscar vann Return of the King?,Elva,Nio,Tio,Tolv
SaganOmRingen,Vad kallas alvernas avskjedsmantlar?,Elven-cloaks,Lórien cloaks,Grey cloaks,Leaf-brooches
SaganOmRingen,Var fångar Frodo och Sam Gollum?,Emyn Muil,Dead Marshes,Ithilien,Dagorlad
SaganOmRingen,Vad kallas träd-herrarna?,Ents,Huorns,Onodrim,Tree-shepherds
SaganOmRingen,Vem förstör Isengard?,Ents,Rohirrim,Gondorians,Eagles
SaganOmRingen,Vem befriar Merry och Pippin?,Ents,Rohirrim,Aragorn,Gandalf
SaganOmRingen,Vad heter bergskedjan runt Mordor?,Ephel Dúath,Ash Mountains,Shadow Mountains,Morgul Mountains
SaganOmRingen,Vad heter de norra bergen av Mordor?,Ered Lithui,Ash Mountains,Grey Mountains,Iron Mountains
SaganOmRingen,Vad heter världens skapare?,Eru Ilúvatar,Manwë,Varda,Aulë
SaganOmRingen,Hur många hårstrån begärde Gimli?,Ett,Tre,Fem,Två
SaganOmRingen,"Vad betyder ""Undómiel""?",Evenstar,Morning Star,Bright Lady,Elven Princess
SaganOmRingen,Vad händer med Gollum i Mount Doom?,Faller i lavan,Dödas av Frodo,Flyr,Förvandlas
SaganOmRingen,Vem helar Aragorn först?,Faramir,Éowyn,Merry,Pippin
SaganOmRingen,Vad heter Boromirs bror?,Faramir,Denethor,Imrahil,Damrod
SaganOmRingen,Vem styrde Ithilien?,Faramir,Boromir,Denethor,Imrahil
SaganOmRingen,Vem gifter sig Éowyn med?,Faramir,Aragorn,Éomer,Erkenbrand
SaganOmRingen,Vem efterträder Sam som borgmästare?,Fast Will Whitfoot,Ted Sandyman,Robin Smallburrow,Folco Boffin
SaganOmRingen,Vart tar örnarna Frodo och Sam?,Field of Cormallen,Minas Tirith,Osgiliath,Rivendell
SaganOmRingen,"Vad betyder ""Narya"" på quenya?",Fire,Air,Water,Ring of Fire
SaganOmRingen,Vilken teknik användes för att göra hobbitar kortare?,Forced perspective,CGI,Green screen,Doubles
SaganOmRingen,Vad kallar dvärgarna Tom Bombadil?,Forn,Orald,Eldest,Master
SaganOmRingen,Vad börjar efter Third Age?,Fourth Age,Age of Men,Age of Peace,New Age
SaganOmRingen,Vem bar mithril-skjorta?,Frodo,Bilbo,Thorin,Gimli
SaganOmRingen,Vem blir knivstucken av Nazgûl?,Frodo,Sam,Merry,Pippin
SaganOmRingen,Vem erbjuder sig att bära ringen till Mordor?,Frodo,Sam,Boromir,Aragorn
SaganOmRingen,Vem av hobbitsarna seglar med alverna?,Frodo,Sam,Merry,Pippin
SaganOmRingen,Vad heter Sams äldsta son?,Frodo Gardner,Merry Gardner,Pippin Gardner,Sam Gardner Jr
SaganOmRingen,Vem tror de att Mouth of Sauron dödat?,Frodo och Sam,All hobbits,Fellowship,Aragorn
SaganOmRingen,Vem hyllas som hjältar på Cormallen?,Frodo och Sam,All hobbits,Fellowship,Ring-bearers
SaganOmRingen,Vad bråkar orc-kaptenernan om?,Frodos mithril-skjorta,Ring,Weapons,Territory
SaganOmRingen,Vilka föremål visar Mouth of Sauron?,Frodos skjorta och Sams svärd,Ring,Sting,Mithril
SaganOmRingen,Hur långt tog det att filma alla tre filmer?,Fyrahundrafemton dagar,Tresexa dagar,Fyrahundra dagar,Fyrahundratio dagar
SaganOmRingen,Vem skapade palantíri?,Fëanor,Celebrimbor,Gil-galad,Elrond
SaganOmRingen,Vem begärde Galadriels hår förr och nekades?,Fëanor,Celebrimbor,Gil-galad,Elrond
SaganOmRingen,Vem skapade tengwar-skriften?,Fëanor,Celebrimbor,Gil-galad,Elrond
SaganOmRingen,Vad händer med Sauron när ringen förstörs?,Förstörs,Flyr,Förvandlas,Dör
SaganOmRingen,Vilken gåva får Legolas av Galadriel?,Galadhrim bow,Hair,Cloak,Lembas
SaganOmRingen,Vad heter alvdrottningen i Lothlórien?,Galadriel,Arwen,Elrond,Celebrían
SaganOmRingen,Vilket ljus använder Sam mot Shelob?,Galadriels fial,Sting,Lembas,Ring
SaganOmRingen,Vem arrangerar fyrverkerierna på Bilbos fest?,Gandalf,Bilbo,Hobbits,Sackville-Bagginses
SaganOmRingen,Vem löser gåtan till Moria?,Gandalf,Frodo,Legolas,Gimli
SaganOmRingen,Vem sätter kronan på Aragorns huvud?,Gandalf,Faramir,Elrond,People
SaganOmRingen,Vem dödade Balrog?,Gandalf,Gimli,Legolas,Aragorn
SaganOmRingen,Vem föreslår att förstöra ringen?,Gandalf,Elrond,Aragorn,Boromir
SaganOmRingen,Vem kröner Aragorn?,Gandalf,Elrond,Denethor,Faramir
