```csv
Kategori,Fråga,Rätt svar,Fel svar 1,Fel svar 2,Fel svar 3
Valutor,Vilken valuta används i Japan?,Yen,Won,Yuan,Ringgit
Valutor,Vilket land använder Euro som valuta?,Tyskland,Storbritannien,Norge,Schweiz
Valutor,Vilken valuta har USA?,Dollar,Peso,Pound,Euro
Valutor,Vilket land använder Pound Sterling?,Storbritannien,Irland,Australien,Nya Zeeland
Valutor,Vilken valuta används i Kina?,Yuan,Yen,Won,Rupiah
Valutor,Vilket land har valutan Rupee?,Indien,Pakistan,Bangladesh,Nepal
Valutor,Vilken valuta används i Sydkorea?,Won,Yen,Yuan,Baht
Valutor,Vilket land använder Franc som valuta?,Schweiz,Frankrike,Belgien,Monaco
Valutor,Vilken valuta har Kanada?,Kanadensisk dollar,Amerikansk dollar,Peso,Pound
Valutor,Vilket land använder Peso som valuta?,Mexiko,Argentina,Chile,Colombia
Valutor,Vilken valuta används i Australien?,Australisk dollar,Pound,Euro,Yen
Valutor,Vilket land har valutan Krona?,Sverige,Norge,Danmark,Island
Valutor,Vilken valuta används i Ryssland?,Rubel,Hryvnia,Lari,Manat
Valutor,Vilket land använder Real som valuta?,Brasilien,Argentina,Peru,Venezuela
Valutor,Vilken valuta har Turkiet?,Lira,Dinar,Dirham,Rial
Valutor,Vilket land använder Rand som valuta?,Sydafrika,Botswana,Namibia,Zimbabwe
Valutor,Vilken valuta används i Thailand?,Baht,Ringgit,Rupiah,Dong
Valutor,Vilket land har valutan Shekel?,Israel,Libanon,Jordanien,Syrien
Valutor,Vilken valuta används i Malaysia?,Ringgit,Rupiah,Baht,Singapore dollar
Valutor,Vilket land använder Rupiah som valuta?,Indonesien,Malaysia,Filippinerna,Thailand
Valutor,Vilken valuta har Singapore?,Singapore dollar,Ringgit,Baht,Hongkong dollar
Valutor,Vilket land använder Dong som valuta?,Vietnam,Laos,Kambodja,Myanmar
Valutor,Vilken valuta används i Egypten?,Egyptiskt pund,Dinar,Dirham,Rial
Valutor,Vilket land har valutan Dinar?,Irak,Iran,Kuwait,Jordanien
Valutor,Vilken valuta används i Marocko?,Dirham,Dinar,Rial,Pound
Valutor,Vilket land använder Rial som valuta?,Iran,Saudiarabien,Oman,Qatar
Valutor,Vilken valuta har Norge?,Norsk krona,Svensk krona,Euro,Dansk krona
Valutor,Vilket land använder Krone som valuta?,Danmark,Norge,Sverige,Island
Valutor,Vilken valuta används i Island?,Isländsk krona,Norsk krona,Euro,Dansk krona
Valutor,Vilket land har valutan Forint?,Ungern,Polen,Tjeckien,Slovakien
Valutor,Vilken valuta används i Polen?,Zloty,Forint,Koruna,Leu
Valutor,Vilket land använder Koruna som valuta?,Tjeckien,Slovakien,Polen,Ungern
