Kategori,Fråga,Rätt svar,Fel svar 1,Fel svar 2,Fel svar 3,
geografi,Öresundsbron har denna maximala hastighet för tågtrafik,200 km/h,160 km/h,140 km/h,180 km/h,
geografi,AVE höghastighetståg når denna maximala hastighet i Spanien,300 km/h,250 km/h,320 km/h,280 km/h,
geografi,Frecciarossa höghastighetståg når denna hastighet i Italien,300 km/h,250 km/h,320 km/h,280 km/h,
geografi,ICE höghastighetståg når denna toppfart i Tyskland,330 km/h,280 km/h,300 km/h,250 km/h,
geografi,Hur många procent av jordens yta täcks av vatten?,71%,65%,80%,85%,
geografi,Vad heter den populära fjällstationen som är startpunkt för Kungsleden?,Abisko,Åre,Sälen,Riksgränsen,
geografi,"I Förenade arabemiraten, vilken stad är huvudstad?",Abu Dhabi,Ankara,Santo Domingo,Moskva,
geografi,Vad heter huvudstaden i Nigeria?,Abuja,Warszawa,Beirut,Kyiv,
geografi,Vad kallas den djupa havsgren mellan kontinentalsocklarna?,Abyssal slätt,Kontinentalhang,Oceangrav,Mittoceanrygg,
geografi,Vad heter huvudstaden i Ghana?,Accra,Aten,Sarajevo,Wellington,
geografi,Vad heter högsta berget i Anderna?,Aconcagua,Ojos del Salado,Huascarán,Chimborazo,
geografi,Denna ögrupp ligger mellan Indien och Sri Lanka,"Adamsbron",Laccadiverna,Andamanerna,Nikobarerna,
geografi,Vilken stad är huvudstad i Etiopien?,Addis Abeba,Thimphu,Santiago,Lissabon,
geografi,Denna färjelinje förbinder Italien med Albanien,Adria Ferries,Grimaldi Lines,Superfast Ferries,Minoan Lines,
geografi,Vilket hav gränsar Italien i öster?,Adriatiska havet,Joniska havet,Liguriska havet,Tyrrenska havet,
geografi,Vilket hav ligger öster om Italien?,Adriatiska havet,Egeiska havet,Tyrrenska havet,Medelhavet,
geografi,I vilken världsdel ligger Kongo-Kinshasa?,Afrika,Asien,Sydamerika,Europa,
geografi,Sahara ligger på denna kontinent,Afrika,Asien,Australien,Sydamerika,
geografi,Var ligger Taj Mahal?,Agra,Mumbai,Delhi,Jaipur,
geografi,Vad heter tjänsten där resenärer hyr privata boenden?,Airbnb,Couchsurfing,Booking.com,Tripmate,
geografi,Var hittar man Mount Denali?,Alaska,Colorado,Wyoming,Montana,
geografi,Vad heter USA:s största delstat?,Alaska,Texas,Kalifornien,Nevada,
geografi,I denna bergskedja ligger Mount McKinley,Alaska Range,Rocky Mountains,Coast Range,Cascade Range,
geografi,Vad heter Portugals största region?,Alentejo,Madeira,Algarve,Lissabonregionen,
geografi,Vilken portugisisk region är känd för sina korkträd?,Alentejo,Minho,Douro,Beiras,
geografi,Vad heter Egyptens näst största stad?,Alexandria,Aswan,Giza,Port Said,
geografi,Huvudstad i Algeriet?,Alger,Belgrad,Moskva,Sofia,
geografi,Vilket land har störst yta i Afrika?,Algeriet,Sudan,DR Kongo,Nigeria,
geografi,Vad heter Spaniens mest berömda borg i Granada?,Alhambra,Generalife,Alcázar,Escorial,
geografi,Vad heter appen som guidar turister i realtid på vandring?,AllTrails,Komoot,Relive,MapMyRun,
geografi,Var ligger kända Mont Blanc?,Alperna,Pyrenéerna,Apenninerna,Karpaterna,
