Kategori,Fråga,Rätt svar,Fel svar 1,Fel svar 2,Fel svar 3
sexandthecity,Vilket år sändes det allra första avsnittet av serien Sex and the City?,1998,1995,2000,2002
sexandthecity,Var utspelar sig Sex and the City-serien?,New York,Los Angeles,Chicago,Miami
sexandthecity,Vilka fyra huvudkaraktärer bildar serien Sex and the City?,Carrie, Miranda, Charlotte och Samantha,Buffy, Angela, Willow och Tara,Rachel, Monica, Phoebe och Joey,Leslie, Ann, April och Andy
sexandthecity,Vem spelade rollen som Carrie Bradshaw?,Sarah Jessica Parker,Kristin Davis,Cynthia Nixon,Kim Cattrall
sexandthecity,Hur får Carrie Bradshaw sin inkomst i början av serien?,Skriver krönikor som sex- och relationskolumnist,Äger en klädaffär,Designer,Advokat
sexandthecity,Namnge Carries ex-pojkvän som säger ”I’m not afraid of commitment”—men sedan gör han det ändå.,Mr. Big,Harry Goldenblatt,Aidan Shaw,Jack Berger
sexandthecity,Vilket modehus designade den berömda Carolina Herrera-klänningen Carrie bär i finalavsnittet?,Carolina Herrera,Versace,Dolce & Gabbana,Chanel
sexandthecity,Vilken karaktär är känd för sin lögn om att hon har en stamcellbehandling?,Charlotte York,Miranda Hobbes,Samantha Jones,Carrie Bradshaw
sexandthecity,Var arbetade Miranda Hobbes som advokat?,En advokatbyrå,Företagsledning,Juridisk rådgivare inom mode,Vårdsektorn
sexandthecity,Vilken matpreferens diskuterar Charlotte ofta när hon dejtar?,Hon är vegetarian,Dietist,Föredrar italienskt,Kär i snabbmat
sexandthecity,Vad heter Charlottes man?,Harry Goldenblatt,Mister Big,Aidan Shaw,Jack Berger
sexandthecity,För vilka ämnen skrev Carrie sina kolumner?,Säkerhet och mode,Relationer och sex,Politik och ekonomi,Kultur och teater
sexandthecity,Vilka skor är Carries signaturmärken?,Manolo Blahnik,Jimmy Choo,Christian Louboutin,Gucci
sexandthecity,Varför gör Carrie en ”selfish break-up” med Aidan?,Hon är rädd för att binda sig,Hans otrohet,Hennes karriär,Missförstånd mellan dem
sexandthecity,Vilken karaktär har en fysisk tortyr i form av en brännande kyla i sina händer?,Miranda Hobbes,Charlotte York,Samantha Jones,Carrie Bradshaw
sexandthecity,Under vilken säsong gifter sig Charlotte?,Säsong 6,Säsong 4,Säsong 5,Säsong 3
sexandthecity,Vem är Samantha Jones älskare som också har aids?,Richard Wright,Smith Jerrod,Jack Berger,Aidan Shaw
sexandthecity,Hur många säsonger hade serien Sex and the City ursprungligen?,6,5,7,8
sexandthecity,Vilket år hade den första Sex and the City-filmen premiär?,2008,2005,2010,2012
sexandthecity,Vad heter Carries första pojkvän i serien?,Aidan Shaw,Mr. Big,Harry Goldenblatt,Jack Berger
sexandthecity,Hur beskriver Carrie sin typiska Boston-pojkvän?,Stabil men tråkig,Lösaktig,Artig men tråkig,Charmig och kul
sexandthecity,Hur lyckas Carrie och Big slutligen få ihop det?,De gifter sig i slutet av filmen,Samsas efter många prövningar,De blir ihop i sista avsnittet,De förblir vänner
sexandthecity,Vad är Carries signaturring?,Ett diamantring från Mr. Big,Familjearv,Safir,En enkel guldring
sexandthecity,Vem spelar rollen som Charlotte York?,Kristin Davis,Kim Cattrall,Cynthia Nixon,Sarah Jessica Parker
sexandthecity,Varför flyttar Miranda Hobbes till Brooklyn?,För karriärsbyte,Relation,Renovering,Studier
sexandthecity,Vad är ett viktigt tema i Sex and the City-serien?,Vänskap och kärlek,Politiska konflikter,Krig och fred,Familjedrama
sexandthecity,Vem är Samantha Jones?,Sexguru och PR-kvinna,Modeskapare,Journalist,Advokat
sexandthecity,Vad heter Samantha Jones älskare i filmen “Sex and the City 2”?,Richard Wright,Harry Goldenblatt,Aidan Shaw,Jack Berger
sexandthecity,Vad är Carries favoritdrink i serien?,Cosmopolitan,Mojito,Margarita,Martini
sexandthecity,Vad är Mirandas favoritdryck?,Whiskey och cola,Vin,Bärs,Vodka
sexandthecity,Var bor Carrie Bradshaw under större delen av serien?,Upper East Side,Upper West Side,Greenwich Village,SoHo
sexandthecity,Vad heter Carries lägenhet i New York?,The Dakota,The Dakota House,Carrie’s Apartment,The Chelsea
sexandthecity,Vilken karaktär hade en relation med en man som var drygt 15 år yngre?,Carrie Bradshaw,Samantha Jones,Charlotte York,Miranda Hobbes
sexandthecity,Vilken parfym bär Carrie som ett slags signum?,Chanel No. 5,Dior J’adore,Viktor & Rolf Flowerbomb,Calvin Klein Euphoria
sexandthecity,Vad heter karaktären som är känd för sina frispråkiga kommentarer om sex?,Samantha Jones,Miranda Hobbes,Charlotte York,Carrie Bradshaw
sexandthecity,Var arbetar Samantha Jones?,PR-byrå,Advokatbyrå,Modeskapare,Jouralist
sexandthecity,Vilken modeikon är inspirerad av Carrie Bradshaw?,Anna Wintour,Naomi Campbell,Gigi Hadid,Kylie Jenner
sexandthecity,Vilken festival i New York spelas ofta upp i serien?,Fashion Week,Cannes Film Festival,Sundance,Venice Film Festival
sexandthecity,Vad gör Charlotte efter att hennes äktenskap slutar?,Hon tar hand om sin adoptivdotter,Köpstänger ett företag,Flyttar till Paris,Blir designer
sexandthecity,Vad är Mr. Bigs riktiga namn?,John James Preston,David North,Jack Berger,Aidan Shaw
sexandthecity,Vem är Jack Berger i relation till Carrie?,En pojkvän,Carries kollega,Mirandas vän,Samanthas bror
sexandthecity,Vem spelar rollen som Miranda Hobbes?,Cynthia Nixon,Kristin Davis,Kim Cattrall,Sarah Jessica Parker
sexandthecity,Varför bryter Carrie med Big första gången?,Han är rädd för engagemang,Hon är otrogen,Han flyttar utomlands,Samantha rekomenderar det
sexandthecity,Vad är betydelsen av "Carrie Bradshaw Diaries" inom serien?,Namnet på hennes kolumn,En bok hon skriver,En film inom serien,Samanthas dagbok
sexandthecity,Vilket ämne behandlas ofta i Mirandas advokatkarriär i serien?,Kvinnors rättigheter,Ekonomisk brottslighet,Klimatpolitik,Inrikespolitik
sexandthecity,Varför slutar Samantha Jones i serien?,Hon får cancer,Flyttar utomlands,Startar eget,Flyttar tillbaka till Texas
sexandthecity,Vilket företag ger Carrie sin första skribentplats?,New York Star,The New Yorker,Time Magazine,Vogue
sexandthecity,Vilken film följer Carries och vänninornas äventyr i Abu Dhabi?,Sex and the City 2,Sex and the City 1,Sex and the City: The Return,Sex and the City: After Hours
sexandthecity,Vem är den skådespelare som håller på med välgörenhet och miljöfrågor som Miranda Hobbes?,Cynthia Nixon,Kristin Davis,Kim Cattrall,Sarah Jessica Parker
sexandthecity,Vilken stil inspirerades Carrie Bradshaw av under seriens gång?,Eclectic and daring,Minimalistisk,Formell,Omgiven av färg
sexandthecity,Vad betyder titeln “Sex and the City” i relation till temat?,Kvinnors liv och kärlek i storstad,Sexindustrin i New York,Modet i städer,Familjeliv i New York
sexandthecity,Vad heter Carries katt i serien?,Fat Bob,Mittens,Socks,Lucky
sexandthecity,Vad är Charlottes största dröm i livet?,Att bli mamma,Blatten och modekarriär,Att bli advokat,Att gifta sig med Big
sexandthecity,Vad är Mirandas jobb i serien?,Advokat,Designer,Businesswoman,Läkare
sexandthecity,Vem spelar Carrie Bradshaw i "Sex and the City"?,Sarah Jessica Parker,Kristin Davis,Cynthia Nixon,Kim Cattrall
sexandthecity,Vilket yrke har Carrie Bradshaw i serien?,Sex- och relationskolumnist,Modeskapare,Advokat,Journalist
sexandthecity,Vad heter Carries största kärlek som hon har ett komplicerat förhållande till?,Mr. Big,Aidan Shaw,Harry Goldenblatt,Jack Berger
sexandthecity,Vilken karaktär är känd för sin frispråkighet och sexuell självständighet?,Samantha Jones,Charlotte York,Miranda Hobbes,Carrie Bradshaw
sexandthecity,Vad heter Charlottes make?,Harry Goldenblatt,Aidan Shaw,Mr. Big,Jack Berger
sexandthecity,Vad jobbar Miranda Hobbes med?,Advokat,Modeskapare,Journalist,Egenföretagare
sexandthecity,Vad heter Carries första pojkvän i serien?,Aidan Shaw,Mr. Big,Jack Berger,Steve Brady
sexandthecity,Var bor Carrie Bradshaw?,New York City,Los Angeles,Chicago,Miami
sexandthecity,I vilken säsong gifter sig Charlotte?,Säsong 6,Säsong 5,Säsong 4,Säsong 3
sexandthecity,Vilken känd modeskapare designade Carries bröllopsklänning?,Vivienne Westwood,Carolina Herrera,Versace,Alexander McQueen
sexandthecity,Vem spelar Samantha Jones?,Kim Cattrall,Cynthia Nixon,Kristin Davis,Sarah Jessica Parker
sexandthecity,Vad heter filmen där de fyra vännerna åker på semester till Abu Dhabi?,Sex and the City 2,Sex and the City 1,Sex and the City: The Return,Sex and the City: After Hours
sexandthecity,Vad heter Charlottes dotter?,Rose,Helen,Lily,Emily
sexandthecity,Vilken drink är Carries signaturdrink?,Cosmopolitan,Martini,Margarita,Mojito
sexandthecity,Vem är Mirandas partner och pappa till hennes barn?,Steve Brady,Mr. Big,Harry Goldenblatt,Aidan Shaw
sexandthecity,Vad heter Carries katt som hon har i serien?,Fat Bob,Mittens,Socks,Whiskers
sexandthecity,Vem spelar Miranda Hobbes?,Cynthia Nixon,Kim Cattrall,Kristin Davis,Sarah Jessica Parker
sexandthecity,Var träffar Carrie och Mr. Big varandra första gången?,På en bar,På en fest,På gatan,I en bokhandel
sexandthecity,Vad jobbar Charlotte York med?,Art Dealer,Advokat,Journalist,Modeskapare
sexandthecity,Under vilken säsong avslöjar Samantha att hon har cancer?,Säsong 6,Säsong 5,Säsong 4,Säsong 3
sexandthecity,Vad heter mannen Samantha dejtar som har aids?,Richard Wright,Jack Berger,Steve Brady,Aidan Shaw
sexandthecity,Vad är Carries favoritmärke för skor?,Manolo Blahnik,Jimmy Choo,Christian Louboutin,Gucci
sexandthecity,Varför bryter Carrie upp med Jack Berger?,Han kallar henne för ”Karry”,Han ljuger,Han flyttar,Han sviker henne
sexandthecity,Vem spelar Charlotte York?,Kristin Davis,Kim Cattrall,Cynthia Nixon,Sarah Jessica Parker
sexandthecity,Vad heter filmen där Carrie och Mr. Big gifter sig?,Sex and the City,Sex and the City 2,Sex and the City: The Movie 3,Sex and the City: Wedding
sexandthecity,Vem hjälper Charlotte att bli gravid?,Doctor Paul,Doctor Steve,Doctor Harry,Doctor Jack
sexandthecity,Varför överger Charlotte sin förstfödda biologiska son?,På grund av adoptionsproblem,På grund av sjukdom,På grund av otrohet,På grund av ekonomiska problem
sexandthecity,Vem är kärlekspartnern i Charlottes andra äktenskap?,Harry Goldenblatt,Aidan Shaw,Jack Berger,Steve Brady
sexandthecity,Vad heter Carries syster?,Maggie,Corinne,Susan,Karen
sexandthecity,Vilket år hade premiär för första Sex and the City-filmen?,2008,2010,2006,2012
sexandthecity,Vad heter Carries ex-pojkvän som äger en konstgalleri?,Aidan Shaw,Big,Jack Berger,Steve Brady
sexandthecity,Vad heter platsen där de fyra vännerna ofta möts för att umgås?,New York City Bar,Manhattan Café,Brooklyn Diner,SoHo Lounge
sexandthecity,Vad är Mirandas favoritdryck?,Whiskey,Vin,Margarita,Mojito
sexandthecity,Vem har designat den vita klänningen Carrie bar i stadens bröllop?,Vivienne Westwood,Carolina Herrera,Chanel,Dolce & Gabbana
sexandthecity,Varför är Aidan och Carries förhållande komplicerat?,Aidan vill ha barn, Carrie håller på sin karriär,De bor långt ifrån varandra,Aidan sviker Carrie ekonomiskt
sexandthecity,Vem spelar rollen som Jack Berger?,Ron Livingston,Chris Noth,David Eigenberg,Willie Garson
sexandthecity,Vad är Charlottes favoritblomma?,Tulpan,Ros,Lilja,Orkidé
sexandthecity,Varför avslutar Samantha sin relation med Richard Wright?,Han dör i aids-relaterad sjukdom,Han flyttar till Europa,Hon är otrogen,Han sviker henne ekonomiskt
sexandthecity,Vem är Carries bästa vän och redaktör?,Magda,Maggi,Kristen,Maggie
sexandthecity,Vilar Carrie bröllopsklänningen i verkligheten i vilken stad?,New York,Paris,Rome,Milan
sexandthecity,Vilken karaktär är känd för sitt motto ”The most important thing in life is your friends”?,Charlotte York,Carrie Bradshaw,Miranda Hobbes,Samantha Jones
sexandthecity,I vilken del av serien finns en ikonisk scen där Carrie står på en bänk med paraply?,Säsong 2,Säsong 4,Säsong 6,Säsong 1
sexandthecity,Vem är Mr. Bigs bästa vän och advokat?,Jack Berger,Steve,Harry Goldenblatt,Aidan
sexandthecity,Vilket var Mirandas jobbtitel?,Advokat,PR-kvinna,Modeskapare,Journalist
sexandthecity,Vad heter namn på Charlottes adoptivdotter?,Rose,Daisy,Lily,Mary
sexandthecity,Vilket år hade premiär för Netflix reboot-serien ”And Just Like That…”,2021,2020,2019,2022
sexandthecity,Vad tar Carrie ofta på sig som ett mode-statement?,Snygga skor,Modiga hattar,Excentriska smycken,Unika väskor
sexandthecity,Vad heter krogen där vännerna ofta hänger?,Polo Bar,Cheers,SoulCycle,Baaren
sexandthecity,Varför kallas Carrie ibland ”Sex and The City's fashion icon”?,På grund av sina klädval,Hon är designer,Hennes kärlek till skor,Hennes modellkarriär
sexandthecity,Vad heter den bok Carrie Bradshaw publicerar under seriens gång?,“Carrie’s Chronicles”,“Sex and the City: My Life”,“The New York Letters”,“Confessions of a Sex and the City Girl”
sexandthecity,Vilken designer gör den gnistrande bröllopsklänningen Samantha Jones bär i filmen?,Zac Posen,Carolina Herrera,Alexander McQueen,Versace
sexandthecity,Vem är författaren bakom boken som serien baseras på?,Candace Bushnell,Maggie Friedman,Nancy Packer,Karen Leigh Hopkins
sexandthecity,Vilka två karaktärer är först med att få barn i serien?,Miranda och Charlotte,Carrie och Samantha,Miranda och Samantha,Charlotte och Carrie
sexandthecity,Vad heter skådespelaren som spelar Richard Wright i serien?,James Remar,Chris Noth,David Eigenberg,Willie Garson
sexandthecity,Vilken säsong introduceras Carries ex-pojkvän Jack Berger?,Säsong 5,Säsong 4,Säsong 6,Säsong 3
sexandthecity,Vad är det fullständiga namnet på Mr. Big?,John James Preston,James John Preston,John Edward Preston,Edward James Preston
sexandthecity,Vad är Mirandas specialitet inom advokatyrket?,Kvinnors rättigheter,Huvudjuridik,Fastighetsrätt,Miljörätt
sexandthecity,Vilket år och i vilket avsnitt föds Mirandas son Brady?,2003, “The Baby Shower”,2002, “Splat!”,2003, “The Real Me”,2004, “An American Girl in Paris”
sexandthecity,Vad heter modehuset som designade Carries berömda röda klänning i säsong 2?,Carolina Herrera,Versace,Oscar de la Renta,Chanel
sexandthecity,I filmen ”Sex and the City 2” vilket land reser vännerna till?,Abu Dhabi,Paris,Rom,Barcelona
sexandthecity,Vad heter Charlottes hund som följer med på många äventyr?,Elizabeth,Oprah,Lucky,Mittens
sexandthecity,Vilken av karaktärerna jobbar för ett konstgalleri?,Charlotte York,Miranda Hobbes,Carrie Bradshaw,Samantha Jones
sexandthecity,Vad heter restaurangen där Samantha träffar Richard Wright?,Club VIP,The Four Seasons,The Polo Bar,Balthazar
sexandthecity,Hur många år gick serien ”Sex and the City” innan den första filmen kom ut?,7 år,5 år,10 år,8 år
