Kategori,Fråga,Rätt svar,Fel svar 1,Fel svar 2,Fel svar 3
ww2,Vilket år startade andra världskriget?,1939,1940,1941,1938
ww2,Vilket land invaderades av Tyskland den 1 september 1939?,Polen,Frankrike,Norge,Danmark
ww2,Vad hette den brittiske premiärministern som ledde landet under krigets stora del?,Winston Churchill,Neville Chamberlain,Clement Attlee,Lloyd George
ww2,Vad kallades Tysklands snabba anfallsmetod i början av kriget?,Blitzkrieg,Total war,Trench war,Guerilla
ww2,Vad var Operation Barbarossa?,Tysklands invasion av Sovjetunionen,Tysklands invasion av Polen,Frankrikes invasion av Nordafrika,USAs invasion av Italien
ww2,Vad hette Japans attack mot USA 7 december 1941?,Pearl Harbor,Midway,Guadalcanal,Hiroshima
ww2,Vilket år gick USA officiellt in i kriget?,1941,1940,1942,1939
ww2,Var hölls de stora krigsrättegångarna efter kriget?,Nürnberg,Berlin,London,Paris
ww2,Vad hette Nazitysklands diktator?,Adolf Hitler,Hermann Göring,Joseph Goebbels,Heinrich Himmler
ww2,Vad hette ledaren för Sovjetunionen under andra världskriget?,Josef Stalin,Lenin,Khrusjtjov,Trotsky
ww2,Vad hette USAs president under största delen av kriget?,Franklin D. Roosevelt,Harry S. Truman,Dwight Eisenhower,Woodrow Wilson
ww2,Vem var premiärminister i Storbritannien när kriget började?,Neville Chamberlain,Winston Churchill,Clement Attlee,Stanley Baldwin
ww2,Vad hette Frankrikes general som senare blev president efter kriget?,Charles de Gaulle,Philippe Pétain,Jean Moulin,Foch
ww2,Vilket land kapitulerade först för Tyskland 1940?,Danmark,Norge,Belgien,Frankrike
ww2,Vad hette organisationen som skulle förhindra krig innan FN skapades?,Nationernas Förbund,EU,NATO,OSSE
ww2,Vad hette Tysklands flygvapen?,Luftwaffe,Kriegsflieger,Aeroflot,Sturzkampf
ww2,Var skedde evakueringen av brittiska soldater 1940?,Dunkerque,Normandie,Rotterdam,Marseille
ww2,Vad hette den tyska planerade invasionen av Storbritannien?,Operation Sea Lion,Operation Barbarossa,Operation Market Garden,Operation Torch
ww2,Vad hette det hemliga projektet som utvecklade atombomben?,Manhattanprojektet,Trinityprojektet,Los Alamosprojektet,Projekt Atom
ww2,Vilket år slutade kriget i Europa?,1945,1944,1946,1943
ww2,Vad kallas Hitlers bok där hans ideologi beskrivs?,Mein Kampf,Der Führer,Das Reich,Mein Leben
ww2,Vem var kung i Storbritannien under andra världskriget?,George VI,Edward VIII,George V,Elizabeth II
ww2,Vad var namnet på Tysklands största koncentrationsläger?,Auschwitz,Dachau,Treblinka,Buchenwald
ww2,Vad hette SS-ledaren som organiserade förintelsen?,Heinrich Himmler,Adolf Eichmann,Hermann Göring,Joseph Goebbels
ww2,Vilket land angrep Sovjetunionen tillsammans med Tyskland 1939?,Polen,Finland,Norge,Belgien
ww2,Vad kallades den brittiska kampen mot bombningarna 1940–41?,The Blitz,The Hammer,The Air War,Battle Fever
ww2,Vad hette sjöslaget där USA stoppade Japan 1942?,Midway,Iwo Jima,Okinawa,Coral Sea
ww2,Vad var kodnamnet för invasionen i Normandie?,Operation Overlord,Operation Neptune,Operation Torch,Operation Husky
ww2,Vilket datum började invasionen i Normandie?,6 juni 1944,1 maj 1944,14 juli 1944,1 augusti 1944
ww2,Vad hette den amerikanska general som blev överbefälhavare i Europa?,Dwight D. Eisenhower,George Patton,Omar Bradley,Douglas MacArthur
ww2,Vad hette samarbetesregeringen i Frankrike under kriget?,Vichyregimen,Tredje republiken,De Gaulles regering,Parisrådet
ww2,Vad hette ubåtskampanjen som Tyskland förde i Atlanten?,Slaget om Atlanten,Kalla sjökriget,U-båtsoffensiven,Operation Seehund
ww2,Vilket nordiskt land ockuperades av Tyskland april 1940?,Norge,Finland,Sverige,Island
ww2,Vem var ledaren för det italienska fascistpartiet?,Benito Mussolini,Victor Emmanuel III,Giovanni Gentile,Italo Balbo
ww2,Vad var namn på motståndsrörelsen i Jugoslavien?,Partisanerna,Ustasja,SS-Jugend,Miliz
ww2,Vem var den ledande brittiska fältmarskalken i Nordafrika?,Bernard Montgomery,Alan Brooke,Alexander Hamilton,Wavell
ww2,Vilket land tog över Berlin i april 1945?,Sovjetunionen,Storbritannien,Frankrike,USA
ww2,Vad hette det slag där Sovjet stoppade Tyskland 1942–43?,Stalingrad,Kursk,Moskva,Leningrad
ww2,Vad kallades jättebombplanen som USA byggde?,B-29 Superfortress,Liberator,Mustang,Lancaster
ww2,Vem var USAs president när atombomben fälldes?,Harry S. Truman,Roosevelt,Eisenhower,Hoover
ww2,Vad hette första staden i Japan som bombades med atombomb?,Hiroshima,Nagasaki,Tokyo,Yokohama
ww2,Vad hette andra staden i Japan som bombades?,Nagasaki,Hiroshima,Kyoto,Osaka
ww2,Vem var chef för Luftwaffe?,Hermann Göring,Heinrich Himmler,Joseph Goebbels,Albert Speer
ww2,Vad kallades de hemliga tyska kodmaskinerna?,Enigma,U-Boot,Panzer,Tiger
ww2,Vad hette kvinnorna som arbetade i USAs försvarsindustri och blev en symbol?,Rosie the Riveter,Nancy the Nurse,Wendy the Welder,Betty the Builder
ww2,Vilken konferens hölls 1945 där man delade upp Tyskland?,Jalta-konferensen,Potsdam,Teheran,Versailles
ww2,Vad hette Japans kejsare under andra världskriget?,Hirohito,Akihito,Showa,Taisho
ww2,Vad hette fartyget som sänktes i Pearl Harbor och blev en symbol?,USS Arizona,USS Missouri,USS Oklahoma,USS Enterprise
ww2,Vilket land var först med att befria Paris 1944?,Frankrike,USA,Sovjet,Storbritannien
ww2,Vad kallades den tyska planens attack mot London 1940?,Blitzen,Operation Sea Lion,Operation Eagle,Barbarossa
ww2,Vad hette den franska linjen av befästningar mot Tyskland?,Maginotlinjen,Siegfriedlinjen,Hindenburglinjen,Versailleslinjen
ww2,Vilken amerikansk general blev mest känd för sina stridsvagnar i Europa?,George S. Patton,Dwight Eisenhower,Omar Bradley,MacArthur
ww2,Vad hette SS-officeren som kallas "Slaktaren från Lyon"?,Klaus Barbie,Adolf Eichmann,Heinrich Himmler,Rudolf Höss
ww2,Var skedde den stora luftstriden mellan Storbritannien och Tyskland 1940?,Slaget om Storbritannien,Operation Cobra,Slaget om Ardennerna,Slaget vid Kursk
ww2,Vad hette Norges kung under kriget?,Haakon VII,Olav V,Oscar II,Karl Johan
ww2,Hur många gånger försökte Tyskland invadera Sovjet?,En, Två,Tre,Fyra
ww2,Vad var kodnamnet för de allierades invasion i Nordafrika?,Operation Torch,Operation Market Garden,Operation Husky,Operation Neptune
ww2,Vem var ledare för Fria Frankrike från London under kriget?,Charles de Gaulle,Philippe Pétain,Jean Moulin,Pierre Laval
ww2,Vilket land var först med att kapitulera till Tyskland?,Danmark,Norge,Belgien,Frankrike
ww2,Vad hette Japans attackplan mot Pearl Harbor?,Operation Z,Operation Tokyo,Operation Sunrise,Operation Sun
ww2,Vad hette den sovjetiska staden Leningrad idag?,Sankt Petersburg,Kiev,Volvograd,Minsk
ww2,Vad hette det tyska slagskepp som sänktes 1941?,Bismarck,Tirpitz,Scharnhorst,Prinz Eugen
ww2,Vem var kejsare i Etiopien som störtades av Mussolini?,Haile Selassie,Mohammed V,Idris I,Farouk
ww2,I vilket land låg koncentrationslägret Treblinka?,Polen,Tyskland,Ungern,Österrike
ww2,Vad hette det amerikanska flygplan som fällde atombomben över Hiroshima?,Enola Gay,Bockscar,Superfortress,Lucky Lady
ww2,Vem var SS-officer som ansvarade för deportationer av judar?,Adolf Eichmann,Heinrich Himmler,Hermann Göring,Joseph Mengele
ww2,Vem var ledare för den tyska krigsmarinen?,Erich Raeder,Karl Dönitz,Guderian,Speer
ww2,Vilken finsk stad bombades kraftigt under vinterkriget?,Helsingfors,Rovaniemi,Tammerfors,Åbo
ww2,Vilket land invaderade Italien 1943 efter Mussolinis fall?,De allierade,Tyskland,Sovjet,Spanien
ww2,Vad hette Tysklands främsta stridsvagn?,Tiger,Puma,Jaguar,Leopard
ww2,Hur många stormakter ingick i axelmakterna?,Tre,Fyra,Fem,Sex
ww2,Vad kallades den hemliga brittiska basen där Enigma koden knäcktes?,Bletchley Park,Whitehall,Fort Knox,Downing Street
ww2,Vilken amerikansk general blev högsta befäl på Filippinerna?,Douglas MacArthur,Omar Bradley,George Patton,Eisenhower
ww2,Vad hette Japans mest kända självmordspiloter?,Kamikaze,Shogun,Samurai,Shinto
ww2,Vad kallades de specialbyggda konstgjorda hamnarna i Normandie?,Mulberryhamnar,Liberty docks,Atlantic bases,Harbor Lanes
ww2,Vilket år föll Berlin?,1945,1944,1946,1947
ww2,Vem efterträdde Franklin Roosevelt som president?,Harry S. Truman,Eisenhower,Hoover,Johnson
ww2,Vad hette Slaget i Ardennerna också?,Battle of the Bulge,Big Push,Winter War,Red Storm
ww2,Vem var chef för SS-säkerhetstjänst och dödades i Prag 1942?,Reinhard Heydrich,Heinrich Himmler,Adolf Eichmann,Jodl
ww2,Vilket motstånd kallades den franska underjordiska rörelsen?,Maquis,Partisanerna,FNL,Red Front
ww2,Vilket nordiskt land stred mot Sovjet i vinterkriget 1939–40?,Finland,Norge,Sverige,Danmark
ww2,Vem ledde Operation Barbarossa?,Adolf Hitler,Göring,Keitel,Rommel
ww2,Vem var general och kallades "Ökenräven"?,Erwin Rommel,Heinz Guderian,Albert Kesselring,Hermann Göring
ww2,Vem var USA:s general i havskriget i Stilla havet?,Chester Nimitz,Douglas MacArthur,George Patton,Omar Bradley
ww2,Vem var känd som Tysklands propagandaminister?,Joseph Goebbels,Himmler,Göring,Speer
ww2,Vad kallades USAs strategi mot Japan i Stilla havet?,Island Hopping,Sea Lion,Pacific Storm,Rolling Thunder
ww2,Vad hette Japans attack mot Kina 1937?,Marco Polo Bridge Incident,Nanking strike,Shanghai conflict,Beijing incident
ww2,Hur många soldater evakuerades från Dunkerque?,Ca 330 000,100 000,500 000,250 000
ww2,Vad var kodnamnet för invasionen av Sicilien?,Operation Husky,Operation Torch,Operation Neptune,Operation Overlord
ww2,Vad hette diktatorn i Spanien som höll landet neutralt?,Francisco Franco,Salazar,Perón,Mussolini
ww2,Vad hette Hitlerjugends paramilitära grupp?,HJ,SA,SS,SD
ww2,Vem var britternas prinsessa som tjänstgjorde under kriget?,Elizabeth II,Anne,Margaret,Victoria
ww2,Vad hette Tysklands riksdagshus som brann 1933?,Reichstag,Bundestag,Hofburg,Kanzleramt
ww2,Vilket land ockuperades av Sovjet 1939 i Baltikum?,Estland,Norge,Bulgarien,Grekland
ww2,Vilket land bytte sida 1943 efter Mussolinis fall?,Italien,Ungern,Rumänien,Slovakien
ww2,Vad hette tidningen som Nazisterna använde för propaganda?,Der Stürmer,Völkischer Beobachter,Das Reich,Mein Wort
ww2,Vad hette den polske judiska pianisten vars liv blev film?,Władysław Szpilman,Jan Karski,Mordechai Anielewicz,Adam Czerniaków
ww2,Var inträffade det stora judiska upproret 1943?,Warszawas getto,Kraków,Wilna,Budapest
ww2,Vem var premiärminister i Storbritannien när kriget slutade?,Clement Attlee,Churchill,Chamberlain,Macmillan
ww2,Var hölls fredskonferensen sommaren 1945?,Potsdam,Jalta,Teheran,San Francisco
ww2,Vad hette den sovjetiska marskalken som tog Berlin?,Georgij Zjukov,Konstantin Rokossovskij,Malinovskij,Vorosjilov
ww2,Vad var namnet på den amerikanska bombningen av Dresden?,Operation Thunderclap,Operation Firestorm,Blitz Europe,Stormcloud
ww2,Hur många judar mördades under Förintelsen?,Ca 6 miljoner,3 miljoner,10 miljoner,8 miljoner
ww2,Hur många stormakter bildade FN efter kriget?,Fem,Sex,Fyra,Sju
ww2,Vem var kejsare i Japan under kriget?,Hirohito,Akihito,Taisho,Showa
ww2,Vad hette USAs första atombombstest?,Trinityproject,Manhattanproject,Little Boy,Fat Man
ww2,Vad hette den tyska spionen som också var dansare?,Mata Hari,Clara Immerwahr,Greta Garbo,Leni Riefenstahl
ww2,Vad hette det sista stora tyska pansarslaget i öst 1943?,Kursk,Stalingrad,Leningrad,Moskva
ww2,Vad hette USA:s general som ledde invasionen på D-dagen?,Dwight Eisenhower,Omar Bradley,George Patton,Chester Nimitz
