Kategori,Fråga,Rätt svar,Fel svar 1,Fel svar 2,Fel svar 3
NFL,Vilket år grundades NFL?,1920,1919,1921,1922
NFL,Vilken quarterback har vunnit flest Super Bowl-titlar?,Tom Brady,Joe Montana,Johnny Unitas,Peyton Manning
NFL,Vilket lag vann den första Super Bowl?,Green Bay Packers,Kansas City Chiefs,New York Jets,Dallas Cowboys
NFL,Vem har det officiella rekordet för flest career rushing yards?,Emmitt Smith,Walter Payton,Jim Brown,Barry Sanders
NFL,Vilket år hölls AFL-NFL fusionen?,1970,1969,1971,1968
NFL,Vilken spelare kallas "The GOAT" i modern tid?,Tom Brady,Peyton Manning,Aaron Rodgers,Drew Brees
NFL,Vilket lag har vunnit flest Super Bowl-titlar?,New England Patriots,Pittsburgh Steelers,Dallas Cowboys,San Francisco 49ers
NFL,Vem var den första spelaren som rustade för över 2000 yards på en säsong?,Eric Dickerson,O.J. Simpson,Jim Brown,Walter Payton
NFL,Vilket år introducerades sudden death overtime?,1974,1972,1976,1978
NFL,Vilken wide receiver har flest career receptions?,Jerry Rice,Randy Moss,Larry Fitzgerald,Calvin Johnson
NFL,Vilket lag spelade i fyra raka Super Bowls och förlorade alla?,Buffalo Bills,Denver Broncos,Minnesota Vikings,Atlanta Falcons
NFL,Vem är den yngste spelaren att vinna Super Bowl MVP?,Ben Roethlisberger,Tom Brady,Russell Wilson,Patrick Mahomes
NFL,Vilket lag flyttade från Los Angeles till St. Louis och sedan tillbaka?,Los Angeles Rams,Los Angeles Chargers,Oakland Raiders,Seattle Seahawks
NFL,Vilken linebacker har flest career sacks i NFL-historien?,Bruce Smith,Reggie White,Kevin Greene,Chris Doleman
NFL,Vilket år spelades den första Monday Night Football-matchen?,1970,1969,1971,1972
NFL,Vem har passat för flest yards i en enda säsong?,Peyton Manning,Drew Brees,Tom Brady,Dan Marino
NFL,Vilket lag har den längsta vinstserien i NFL-historien?,New England Patriots,Miami Dolphins,Chicago Bears,San Francisco 49ers
NFL,Vilken coach har vunnit flest Super Bowl-titlar?,Bill Belichick,Vince Lombardi,Chuck Noll,Joe Gibbs
NFL,Vilket lag vann Super Bowl med den största poängmarginalen?,San Francisco 49ers,Chicago Bears,Washington Redskins,Dallas Cowboys
NFL,Vem var den första afroamerikanske quarterbacken att vinna Super Bowl?,Doug Williams,Warren Moon,Randall Cunningham,Michael Vick
NFL,Vilket år introducerades two-point conversion?,1994,1992,1996,1998
NFL,Vilken running back hade flest touchdowns på en säsong?,LaDainian Tomlinson,Shaun Alexander,Marshall Faulk,Priest Holmes
NFL,Vilket lag har spelat i flest Super Bowls utan att vinna?,Buffalo Bills,Minnesota Vikings,Denver Broncos,Atlanta Falcons
NFL,Vem är den äldsta spelaren att starta i Super Bowl?,Tom Brady,Brett Favre,Peyton Manning,Johnny Unitas
NFL,Vilket år flyttade Oakland Raiders till Las Vegas?,2020,2019,2021,2018
NFL,Vilken wide receiver har flest receiving yards i en enda match?,Calvin Johnson,Jerry Rice,Josh Gordon,Antonio Brown
NFL,Vilket lag har den längsta playoff-torka i NFL?,Cleveland Browns,Detroit Lions,Buffalo Bills,Minnesota Vikings
NFL,Vem var den första spelaren att ha 1000 receiving yards på en säsong?,Don Hutson,Raymond Berry,Steve Largent,Lance Alworth
NFL,Vilket år introducerades instant replay?,1986,1984,1988,1990
NFL,Vilken kicker har längsta field goal i NFL-historien?,Justin Tucker,Matt Prater,Sebastian Janikowski,Jason Elam
NFL,Vilket lag har flest division-titlar i NFL-historien?,Dallas Cowboys,Green Bay Packers,New England Patriots,Pittsburgh Steelers
