Kategori,Fråga,Rätt svar,Fel svar 1,Fel svar 2,Fel svar 3
motor,Vilket märke tillverkar modellen Mustang?,Ford,Chevrolet,Dodge,Pontiac
motor,Vad står BMW för?,Bayerische Motoren Werke,Bavarian Motor Works,Berlin Motor Works,Baden Motor Werke
motor,Vilket italienskt märke har en springande häst som logotyp?,Ferrari,Lamborghini,Maserati,Alfa Romeo
motor,Vad heter Porsches mest kända modell?,911,356,Boxster,Cayenne
motor,Vilket land kommer märket Volvo från?,Sverige,Norge,Danmark,Finland
motor,Vad kallas Volkswagens mest ikoniska modell?,Beetle,Golf,Passat,Bus
motor,Vilket märke äger Bugatti idag?,Volkswagen Group,Ferrari,Mercedes,Peugeot
motor,Vad heter Maseratis drevilkssymbol?,Trident,Spear,Fork,Arrow
motor,Vilket företag tillverkar Corvette?,Chevrolet,Ford,Dodge,Cadillac
motor,Vad står SAAB för?,Svenska Aeroplan Aktiebolaget,Swedish Auto and Boat,Scandinavian Automobile Association,Swedish Advanced Auto Brand
motor,Vilket märke har fyra ringar som logotyp?,Audi,Olympus,BMW,Mercedes
motor,Vad heter Lamborghinis flaggskepp?,Aventador,Huracán,Gallardo,Murciélago
motor,Vilket land kommer Koenigsegg från?,Sverige,Tyskland,Italien,Storbritannien
motor,Vad heter McLarens mest producerade bil?,McLaren F1,McLaren P1,McLaren 720S,McLaren Senna
motor,Vilket märke tillverkar GT-R?,Nissan,Toyota,Honda,Mazda
motor,Vad kallas Teslas första produktionsbil?,Roadster,Model S,Model 3,Model X
motor,Vilket år grundades Ferrari?,1947,1945,1950,1952
motor,Vad heter grundaren av Ferrari?,Enzo Ferrari,Ferruccio Lamborghini,Alfieri Maserati,Ferdinand Porsche
motor,Vilket märke tillverkar Defender?,Land Rover,Range Rover,Jeep,Toyota
motor,Vad heter Rolls-Royces flaggskeppsmodell?,Phantom,Ghost,Wraith,Dawn
motor,Vilket företag äger märket Bentley?,Volkswagen Group,BMW,Mercedes,Tata Motors
motor,Vad kallas den mest extrema McLaren?,Senna,P1,F1,720S
motor,Vilket märke har en bull som logotyp?,Lamborghini,Ferrari,Pagani,Koenigsegg
motor,Vad heter Porsche SUV?,Cayenne,Macan,Panamera,Taycan
motor,Vilket land kommer Pagani från?,Italien,Tyskland,Storbritannien,Frankrike
motor,Vad heter den första elbilen från Porsche?,Taycan,Mission E,e-tron,EQS
motor,Vilket märke tillverkar Veyron?,Bugatti,McLaren,Koenigsegg,Pagani
motor,Vad står AMG för?,Aufrecht Melcher Großaspach,Advanced Mercedes Group,Auto Motor Group,Austrian Motor Guild
motor,Vilket företag äger Jaguar?,Tata Motors,Ford,BMW,Volkswagen
motor,Vad heter Aston Martins mest kända modell?,DB11,Vantage,DBS,Rapide
motor,Vem är den mest framgångsrika Formel 1-föraren genom tiderna?,Lewis Hamilton,Michael Schumacher,Ayrton Senna,Alain Prost
motor,Vilket team har vunnit flest konstruktörsmästerskap i F1?,Ferrari,McLaren,Williams,Mercedes
motor,Vad heter F1-banan i Monaco?,Circuit de Monaco,Monte Carlo Circuit,Monaco Grand Prix Circuit,Principality Circuit
motor,Vilket år dog Ayrton Senna?,1994,1993,1995,1992
motor,Vad heter den snabbaste F1-banan?,Monza,Spa,Silverstone,Suzuka
motor,Vem vann första F1-VM?,Giuseppe Farina,Juan Manuel Fangio,Alberto Ascari,Mike Hawthorn
motor,Vilket team kör Lewis Hamilton för?,Mercedes,Ferrari,Red Bull,McLaren
motor,Vad heter F1-banan i Sverige?,Inte finns någon,Anderstorp,Knutstorp,Falkenberg
motor,Vilket land arrangerar den första F1-tävlingen på säsongen?,Bahrain,Australien,Monaco,Storbritannien
motor,Vad kallas F1-bilens främre vinge?,Front wing,Nose cone,Splitter,Air dam
motor,Hur många poäng får man för en F1-seger?,25,20,15,10
motor,Vad heter den äldsta F1-tävlingen?,British Grand Prix,Monaco Grand Prix,Italian Grand Prix,French Grand Prix
motor,Vilket team hade den dominerande perioden 2010-2013?,Red Bull,Mercedes,Ferrari,McLaren
motor,Vem är den yngste F1-världsmästaren?,Sebastian Vettel,Lewis Hamilton,Max Verstappen,Fernando Alonso
motor,Vad heter den mest prestigefulla rallysprinten?,WRC,ERC,Rally Dakar,Pikes Peak
motor,Vilket land är starkast inom rally?,Frankrike,Finland,Sverige,Norge
motor,Vem är den mest framgångsrika rallyföraren?,Sébastien Loeb,Sébastien Ogier,Marcus Grönholm,Petter Solberg
motor,Vad heter den svenska rallystjärnan?,Marcus Grönholm,Petter Solberg,Richard Burns,Stig Blomqvist
motor,Vilket märke dominerade rally på 1980-talet?,Audi,Lancia,Toyota,Subaru
motor,Vad kallas rallyns hårdaste etapp?,Dakar Rally,Monte Carlo Rally,Safari Rally,RAC Rally
motor,Vilket land arrangerar Rally Finland?,Finland,Sverige,Norge,Estland
motor,Vad heter co-driverns uppgift?,Pacenotes,Navigation,Timing,Communication
motor,Vilket märke vann mest under WRC:s guldålder?,Lancia,Audi,Toyota,Subaru
motor,Vad kallas den farligaste rallygruppen?,Group B,Group A,Group N,WRC
motor,Vem är MotoGPs mest framgångsrike förare?,Valentino Rossi,Giacomo Agostini,Mick Doohan,Marc Márquez
motor,Vilket märke dominerar MotoGP idag?,Ducati,Honda,Yamaha,Suzuki
motor,Vad heter den mest prestigefulla motorcykeltävlingen?,Isle of Man TT,MotoGP,Superbike WM,Motocross VM
motor,Vilket land kommer Valentino Rossi från?,Italien,Spanien,Frankrike,Storbritannien
motor,Vad kallas MotoGPs toppklass?,MotoGP,500cc,Premier Class,Grand Prix
motor,Hur många världsmästerskap har Valentino Rossi?,9,7,5,11
motor,Vad heter den gula hjälmen som Rossi är känd för?,The Doctor,Valentino,Il Dottore,Rossi
motor,Vilket märke körde Rossi mest framgångsrikt på?,Yamaha,Honda,Ducati,Aprilia
motor,Vad heter världens snabbaste motorcykel?,Kawasaki H2R,Suzuki Hayabusa,Ducati Panigale,BMW S1000RR
motor,Vilket märke tillverkar Fireblade?,Honda,Yamaha,Suzuki,Kawasaki
motor,Vad heter Le Mans 24-timmarslopp?,24 Heures du Mans,Le Mans Classic,Grand Prix of Endurance,French Endurance
motor,Vilket märke har vunnit mest på Le Mans?,Porsche,Ferrari,Ford,Audi
motor,Vad heter den mest kända Le Mans-segern?,Ford GT40 1966,Porsche 917,Ferrari 250,Jaguar D-Type
motor,Vilket år slutade Ford Ferraris dominans på Le Mans?,1966,1965,1967,1964
motor,Vad kallas toppklassen på Le Mans idag?,LMH,LMP1,GTE,GT3
motor,Hur långa är Le Mans-banan?,13.6 km,12.8 km,14.2 km,11.9 km
motor,Vad heter den berömda kurvan på Le Mans?,Mulsanne Straight,Porsche Curves,Dunlop Chicane,Indianapolis
motor,Vilket team äger Tom Kristensen?,Audi,Porsche,Bentley,Peugeot
motor,Vad kallas den amerikanska oval-serien?,NASCAR,IndyCar,CART,IRL
motor,Vad heter den mest prestigefulla NASCAR-tävlingen?,Daytona 500,Talladega,Indianapolis,Charlotte
motor,Vilket märke dominerar NASCAR?,Chevrolet,Ford,Toyota,Dodge
motor,Vad kallas NASCAR-säsongens slutspel?,Playoffs,Chase,Championship,Finals
motor,Hur många bilar startar typiskt i NASCAR?,40,36,43,32
motor,Vad heter IndyCars mest prestigefulla lopp?,Indianapolis 500,Long Beach,Detroit,St. Petersburg
motor,Vilket märke levererar motorer till IndyCar?,Honda och Chevrolet,Ford,Toyota,Chrysler
motor,Vad heter den kända motorcykeltillverkaren från Japan?,Honda,Yamaha,Suzuki,Kawasaki
motor,Vilket märke tillverkar Ninja?,Kawasaki,Honda,Yamaha,Suzuki
motor,Vad heter Harleys mest ikoniska modell?,Fat Boy,Sportster,Street Glide,Road King
motor,Vilket land kommer Ducati från?,Italien,Tyskland,Japan,Storbritannien
motor,Vad kallas den amerikanska chopper-kulturen?,Custom,Bobber,Cafe Racer,Streetfighter
motor,Vilket märke är känt för sina touring-motorcyklar?,BMW,Honda,Yamaha,Triumph
motor,Vad heter den brittiska klassiska motorcykeln?,Triumph,Norton,BSA,Vincent
motor,Vilket märke tillverkar Panigale?,Ducati,Honda,Yamaha,Aprilia
motor,Vad kallas motorcyklar anpassade för racing?,Superbike,Sportbike,Racing bike,Track bike
motor,Vilket märke äger Indian Motorcycle?,Polaris,Harley-Davidson,Victory,Can-Am
motor,Vad heter den svenska lastbilstillverkaren?,Scania,Volvo,MAN,Mercedes
motor,Vilket märke tillverkar Actros?,Mercedes-Benz,Volvo,Scania,MAN
motor,Vad kallas den största lastbilsmässan?,IAA Commercial Vehicles,Automechanika,SEMA,Geneva Motor Show
motor,Vilket land har störst lastbilsindustri?,Tyskland,Sverige,USA,Italien
motor,Vad heter Volvos lastbilsdivision?,Volvo Trucks,AB Volvo,Volvo Commercial,Volvo Heavy
motor,Vilket märke tillverkar Peterbilt?,PACCAR,Volvo,Daimler,Navistar
motor,Vad kallas de största lastbilarna?,Road train,Semi-truck,Articulated lorry,Heavy hauler
motor,Vilket land tillverkar Tatra-lastbilar?,Tjeckien,Slovakien,Polen,Ungern
motor,Vad heter den amerikanska lastbilskulturen?,Trucking,Big rig,18-wheeler,Semi culture
motor,Vilket märke tillverkar Unimog?,Mercedes-Benz,MAN,Iveco,DAF
motor,Vad heter världens första jetflygplan?,Heinkel He 178,Me 262,De Havilland Comet,Gloster Meteor
motor,Vilket företag byggde Concorde?,BAC/Aérospatiale,Boeing,McDonnell Douglas,Lockheed
motor,Vad heter världens största passagerarplan?,Airbus A380,Boeing 747,Antonov An-225,Boeing 777
motor,Vilket land tillverkar Saab flygplan?,Sverige,Norge,Finland,Danmark
motor,Vad heter den supersona bombplanet?,SR-71 Blackbird,B-2 Spirit,F-117,U-2
motor,Vilket företag tillverkar F-16?,General Dynamics,Lockheed Martin,Boeing,McDonnell Douglas
motor,Vad heter det svenska stridsflygplanet?,Gripen,Draken,Viggen,Lansen
motor,Vilket land tillverkar Eurofighter?,Europa,Tyskland,Storbritannien,Italien
motor,Vad heter världens snabbaste flygplan?,SR-71 Blackbird,MiG-25,F-15,F-22
motor,Vilket företag tillverkar Boeing 737?,Boeing,Airbus,McDonnell Douglas,Lockheed
motor,Vad heter världens lyxigaste kryssningsfartyg?,Symphony of the Seas,Titanic,Queen Mary 2,Allure of the Seas
motor,Vilket land byggde Titanic?,Storbritannien,USA,Frankrike,Tyskland
motor,Vad heter världens största containerfartyg?,Ever Given,Maersk Triple E,OOCL Hong Kong,MSC Gülsün
motor,Vilket företag äger Costa Cruises?,Carnival Corporation,Royal Caribbean,Norwegian,MSC
motor,Vad heter den svenska färjeredaren?,Stena Line,Viking Line,Tallink,DFDS
motor,Vilket land har störst handelsflotta?,Grekland,Liberia,Panama,Marshall Islands
motor,Vad heter världens djupaste ubåt?,Trieste,Alvin,Mir,Kaiko
motor,Vilket land byggde första kärnubåten?,USA,Sovjetunionen,Storbritannien,Frankrike
motor,Vad heter den svenska ubåtsklassen?,Gotland-klass,Stockholm-klass,Sverige-klass,Blekinge-klass
motor,Vilket märke utvecklade första fyrtakts-motorn?,Mercedes,Otto,Daimler,Benz
motor,Vem uppfann dieselmotorn?,Rudolf Diesel,Nikolaus Otto,Karl Benz,Gottlieb Daimler
motor,Vad står ECU för i bilar?,Electronic Control Unit,Engine Control Unit,Emission Control Unit,Electric Control Unit
motor,Vad kallas motorer med kompressor?,Supercharged,Turbocharged,Naturally aspirated,Hybrid
motor,Vilket bränsle används i F1?,E10,E85,100-oktan,Diesel
motor,Vad betyder VTEC?,Variable Valve Timing,Variable Turbo Engine Control,Valve Timing Electronic Control,Variable Twin Engine Cam
motor,Vilket märke utvecklade rotary-motorn?,Mazda,NSU,Wankel,Citroën
motor,Vad kallas elektriska bilars batteri?,Lithium-ion,Nickel-metal hydride,Lead-acid,Solid-state
motor,Vilket företag tillverkar Tesla Model S motor?,Tesla,Panasonic,Samsung,LG Chem
motor,Vad betyder kW i el-bilar?,Kilowatt,Kilowatt-hour,Kilovolt,Kiloamp
motor,Vad heter den första massproducerade hybridbilen?,Toyota Prius,Honda Insight,Ford Escape,Lexus RX
motor,Vilket märke lanserade första seriehybrid?,Toyota,Honda,Ford,GM
motor,Vad kallas regenerativ bromsning?,Energy recovery,Brake regeneration,Electric braking,Hybrid braking
motor,Vilket märke utvecklade första ABS-systemet?,Bosch,Mercedes,BMW,Continental
motor,Vad står ESP för?,Electronic Stability Program,Engine Safety Program,Emergency Stop Program,Electronic Speed Program
motor,Vilket år infördes första airbagen?,1981,1975,1985,1990
motor,Vad heter Euro NCAP-krashtestet?,European New Car Assessment,European Nuclear Car Assessment,Euro National Car Assessment,European New Crash Assessment
motor,Vilket märke introducerade första adaptiva farthållaren?,Mercedes,BMW,Audi,Volvo
motor,Vad kallas semi-autonoma körfunktioner?,Driver assistance,Autopilot,Self-driving,Autonomous
motor,Vilket märke var först med LED-strålkastare?,Audi,BMW,Mercedes,Lexus
motor,Vad betyder cW-värde?,Luftmotstånd,Vikt,Hastighet,Kraft
motor,Vilket märke har lägst cW-värde på en produktionsbil?,Mercedes EQS,Tesla Model S,BMW i8,Prius
motor,Vad kallas aktiv aerodynamik?,Adaptive aero,Dynamic aerodynamics,Variable aerodynamics,Smart aerodynamics
motor,Vem anses vara F1:s första superstjärna?,Juan Manuel Fangio,Alberto Ascari,Giuseppe Farina,Mike Hawthorn
motor,Vilket år började Ayrton Senna i F1?,1984,1983,1985,1982
motor,Vad hette Michael Schumachers första team?,Jordan,Benetton,Ferrari,Mercedes
motor,Vem är känd som "The Professor"?,Alain Prost,Niki Lauda,Jackie Stewart,Nigel Mansell
motor,Vilket år vann Niki Lauda sitt första VM?,1975,1976,1977,1974
motor,Vad hände Niki Lauda 1976?,Kraschade på Nürburgring,Vann VM,Slutade karriären,Bytte team
motor,Vem körde för McLaren under 1980-talet?,Alain Prost,Ayrton Senna,Niki Lauda,Nigel Mansell
motor,Vilket team körde Nigel Mansell för när han vann VM?,Williams,Ferrari,McLaren,Lotus
motor,Vem vann det första F1-VM för en konstruktör?,Alfa Romeo,Ferrari,Maserati,Mercedes
motor,Vilket år debuterade Ferrari i F1?,1950,1949,1951,1948
